,Measure,8CountsForRita,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G7,G,0.0,457.1089782714844,342.7414245605469,1094.8677978515625,596.9028930664062,766.5332641601562,3696.2275390625,1352.914794921875,1663.0457763671875,343.3638916015625,280.8586120605469,423.8785095214844,1907.0941162109375
1,2,G7,G,2.0,462.6423645019531,342.0852966308594,1090.022705078125,602.7925415039062,747.5331420898438,3654.370361328125,1356.8038330078125,1664.41455078125,344.3936462402344,289.6850891113281,429.4636535644531,1938.0108642578125
2,3,G7,G,4.0,462.6773376464844,342.1093444824219,1090.1019287109375,602.77685546875,747.5867309570312,3654.6572265625,1356.8165283203125,1664.2935791015625,344.3673095703125,289.6303405761719,429.4776306152344,1938.1387939453125
3,4,G7,G,6.0,462.6781005859375,342.1090393066406,1090.10107421875,602.7747802734375,747.5886840820312,3654.666748046875,1356.8170166015625,1664.29345703125,344.367431640625,289.6304626464844,429.4787902832031,1938.1416015625
4,5,C7,C,8.0,1819.2337646484375,375.7511291503906,322.4745788574219,769.388916015625,3795.978759765625,760.6914672851562,284.0340881347656,1446.2056884765625,399.015869140625,340.0389099121094,1702.3997802734375,830.7327270507812
5,6,C7,C,10.0,1802.2366943359375,393.5046081542969,296.6395568847656,779.1447143554688,3734.5234375,679.4740600585938,288.22967529296875,1512.6666259765625,403.2100830078125,338.4240417480469,1704.068359375,764.5652465820312
6,7,G7,G,12.0,517.1235961914062,356.2969665527344,1096.5731201171875,638.474853515625,832.532470703125,3697.147216796875,1365.48486328125,1692.1077880859375,344.799560546875,283.0349426269531,426.2630615234375,1885.6927490234375
7,8,G7,G,14.0,491.660888671875,346.0567321777344,1083.866455078125,614.7730102539062,760.57666015625,3658.435791015625,1360.5743408203125,1647.88427734375,341.9788513183594,292.1009826660156,441.37255859375,1943.86279296875
8,9,Db/Eb,Db,16.0,398.8578186035156,594.8853759765625,287.1739196777344,396.2326965332031,309.6974182128906,1131.5206298828125,224.275390625,116.32666015625,439.6004333496094,104.34326171875,56.0670051574707,88.61044311523438
9,9,C/D,C,17.0,548.1527709960938,216.84002685546875,244.84083557128906,293.3522033691406,1141.7503662109375,435.3330383300781,180.3571319580078,483.7711181640625,150.08436584472656,68.86426544189453,58.35487365722656,198.874755859375
10,10,Cmin7,C,18.0,573.3369750976562,171.53729248046875,304.3695983886719,1059.3895263671875,495.0457458496094,113.63965606689453,112.90164947509766,482.2265319824219,117.80615234375,119.84554290771484,574.615966796875,465.0843505859375
11,10,F7,F,19.0,578.2402954101562,159.98214721679688,246.92897033691406,1059.96240234375,578.3490600585938,460.4017333984375,114.19243621826172,162.74993896484375,199.06532287597656,517.3192138671875,177.619873046875,158.00572204589844
12,11,C,C,20.0,4718.083984375,1005.9066772460938,771.4658203125,3999.245361328125,10960.6572265625,2467.373779296875,854.0706176757812,4353.29052734375,1043.4139404296875,337.6653747558594,337.4847412109375,1392.8011474609375
13,13,G7,G,24.0,489.4308166503906,349.505615234375,1098.307861328125,654.2984619140625,792.1525268554688,3683.703125,1344.1881103515625,1649.90625,342.40625,280.9175720214844,426.1852111816406,1911.4468994140625
14,14,G7,G,26.0,469.9773864746094,342.471923828125,1085.3111572265625,599.136474609375,748.2666625976562,3650.577392578125,1358.848876953125,1649.9400634765625,342.1617736816406,293.8030700683594,427.4288635253906,1933.5255126953125
15,15,G7,G,28.0,463.4890441894531,341.1172180175781,1089.2930908203125,609.3167114257812,755.1399536132812,3660.259521484375,1357.662841796875,1655.4996337890625,343.6819152832031,292.3858947753906,430.6449279785156,1937.7113037109375
16,16,G7,G,30.0,461.6338806152344,342.8666076660156,1089.5047607421875,599.2083129882812,751.1395874023438,3656.054931640625,1353.3863525390625,1661.2171630859375,344.67236328125,290.2858581542969,430.5824279785156,1937.2354736328125
17,17,E7,E,32.0,1.83834707736969,2.0444836616516113,8.110357284545898,2.8827359676361084,3.608414649963379,12.125323295593262,2.4932706356048584,0.7369400858879089,0.3444467782974243,0.6339717507362366,1.573873519897461,6.980648517608643
18,17,F7,F,32.666666666666664,70.23049926757812,55.6721076965332,290.4046936035156,93.40926361083984,352.6369323730469,76.86901092529297,24.24220085144043,21.002988815307617,141.2018585205078,42.72726821899414,53.66998291015625,277.8172912597656
19,17,E7,E,33.333333333333336,30.3032283782959,13.780720710754395,38.43833541870117,60.010433197021484,120.45858764648438,34.512882232666016,12.683388710021973,11.822757720947266,35.892723083496094,19.011619567871094,19.149038314819336,61.36517333984375
20,18,Eb7,Eb,34.0,32.11561965942383,30.769411087036133,28.590482711791992,62.656402587890625,60.592166900634766,23.050371170043945,14.785082817077637,30.643217086791992,14.510003089904785,16.648672103881836,37.41640090942383,68.81615447998047
21,18,D7,D,34.25,42.67213439941406,54.13490676879883,44.38999557495117,33.44929885864258,35.611019134521484,28.250207901000977,65.462890625,52.437103271484375,27.024398803710938,52.523624420166016,31.720327377319336,22.357955932617188
22,18,Db7,Db,34.5,37.9618034362793,31.538841247558594,17.243520736694336,34.361270904541016,55.600833892822266,70.23831939697266,46.49333572387695,34.30184555053711,28.34541130065918,21.087791442871094,28.294357299804688,50.59726333618164
23,18,C7,C,34.75,19.205690383911133,29.4411563873291,32.91609573364258,52.30543899536133,63.19639205932617,53.2520637512207,40.59452438354492,50.33485794067383,18.541379928588867,23.503629684448242,39.720672607421875,35.38816452026367
24,18,Db7,Db,35.0,40.671573638916016,35.36913299560547,26.165739059448242,31.422327041625977,42.26240158081055,63.543304443359375,29.673507690429688,31.273839950561523,25.5775089263916,19.309171676635742,31.254812240600586,63.29893493652344
25,18,C7,C,35.25,30.473325729370117,36.58951187133789,20.389556884765625,38.748355865478516,82.63985443115234,45.30280685424805,20.054250717163086,32.1221923828125,18.376611709594727,12.127930641174316,40.05274963378906,50.94553756713867
26,18,Db7,Db,35.5,53.07037353515625,37.03376388549805,35.18795394897461,24.436037063598633,54.4093017578125,69.21393585205078,18.78170394897461,22.80742835998535,30.45319938659668,15.267814636230469,26.623306274414062,68.63831329345703
27,18,C7,C,35.75,34.80009078979492,56.5702018737793,24.60334014892578,55.86482620239258,80.43980407714844,52.660125732421875,37.4731559753418,37.21128845214844,18.71274185180664,11.452067375183105,44.00478744506836,50.5339241027832
28,19,G7,G,36.0,1906.2974853515625,1424.287109375,1337.2608642578125,966.2518920898438,2655.596435546875,4673.1845703125,1557.7984619140625,2379.299560546875,887.473876953125,573.4871826171875,1287.0244140625,3150.833740234375
29,20,G7,G,38.0,498.4364318847656,389.3870544433594,1096.397705078125,629.5480346679688,757.8963012695312,3686.9755859375,1428.1427001953125,1666.4150390625,357.3189697265625,321.827880859375,437.6636962890625,1828.49365234375
30,21,Db/Eb,Db,40.0,392.9372863769531,581.9094848632812,283.61859130859375,407.0711364746094,312.7174377441406,1126.14697265625,226.96522521972656,115.13470458984375,433.0164794921875,104.3107681274414,54.600162506103516,88.5597152709961
31,21,C/D,C,41.0,545.6228637695312,214.955810546875,244.29510498046875,289.0881042480469,1141.600830078125,432.2537536621094,177.8505401611328,477.9856262207031,149.75460815429688,69.57230377197266,58.17020034790039,197.6867218017578
32,22,Cmin7,C,42.0,574.0101928710938,171.8824462890625,305.63690185546875,1062.1329345703125,495.634521484375,114.55028533935547,113.70217895507812,483.0596008300781,117.7408676147461,120.4843521118164,571.5586547851562,464.8543701171875
33,22,F7,F,43.0,574.7323608398438,159.3699188232422,247.08079528808594,1060.3699951171875,578.5308227539062,461.1837463378906,116.478271484375,163.5618896484375,199.0972900390625,516.8987426757812,177.47801208496094,157.72645568847656
