,Measure,ALaMode,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmin7,F,0.0,6059.02880859375,1751.57421875,4277.73779296875,10005.990234375,3953.25,4803.1728515625,1518.22802734375,4579.98193359375,4938.16455078125,1186.6041259765625,765.481201171875,1407.3358154296875
1,3,Fmin7,F,4.0,6562.44775390625,1364.0479736328125,1668.07470703125,7914.201171875,3476.232666015625,3998.219970703125,912.5429077148438,1854.66357421875,4320.99560546875,959.2678833007812,505.0774230957031,1389.9537353515625
2,5,Fmin7,F,8.0,110980.9453125,20132.650390625,11530.9404296875,50414.61328125,20660.486328125,34379.22265625,9486.4677734375,21406.55078125,80040.25,16886.15234375,6132.0390625,19084.986328125
3,12,Gbmaj7,Gb,22.0,544.7374267578125,2107.459228515625,478.1693115234375,199.4097442626953,737.5275268554688,3797.330810546875,3240.806640625,547.1607055664062,345.1866455078125,739.310546875,2950.204833984375,541.6558227539062
4,13,Gbmaj7,Gb,24.0,7225.48974609375,34995.9140625,6889.46142578125,2008.4903564453125,6216.99267578125,31795.6328125,18134.607421875,3584.408447265625,3532.132080078125,9628.6259765625,47546.97265625,7860.15478515625
5,17,Fmin7,F,32.0,65489.69140625,12057.4677734375,7556.85546875,32079.7421875,13509.0908203125,21041.080078125,5754.01513671875,12398.5283203125,43980.87109375,9615.0703125,4402.95166015625,11459.3916015625
6,22,Gbmaj7,Gb,42.0,81854.9140625,197489.296875,34409.99609375,8175.86474609375,27076.619140625,141269.734375,70741.5234375,16448.638671875,35340.2421875,25647.361328125,95126.53125,23596.279296875
7,38,Fmin7,F,74.0,45511.26953125,8459.3544921875,5583.96533203125,23532.859375,10022.94140625,14948.49609375,4003.323486328125,8549.8623046875,29375.6640625,6536.97314453125,3159.688232421875,8061.248046875
8,42,Fmin7,F,82.0,45503.390625,8459.279296875,5587.373046875,23554.751953125,10023.15234375,14935.1572265625,4003.061767578125,8550.322265625,29374.865234375,6536.86767578125,3157.621337890625,8057.666015625
9,46,Gbmaj7,Gb,90.0,7309.10302734375,35214.77734375,6928.66015625,2060.47607421875,6306.85693359375,32183.287109375,18203.728515625,3569.951904296875,3524.681640625,9632.1708984375,47574.67578125,7867.74755859375
10,50,Fmin7,F,98.0,34221.42578125,6964.53955078125,5401.66650390625,23246.373046875,10043.6240234375,16159.0576171875,4373.47802734375,9123.8564453125,33506.74609375,6902.46435546875,3031.589599609375,6391.625
11,54,Fmin7,F,106.0,31830.140625,6457.271484375,9163.0595703125,46637.23828125,17700.404296875,22064.978515625,4538.87158203125,8093.30615234375,19825.5703125,4507.88720703125,2317.616943359375,6584.66162109375
12,62,Gbmaj7,Gb,122.0,3420.057373046875,15152.19921875,2775.856201171875,1080.0750732421875,4868.04052734375,26988.1875,14240.64453125,1956.8441162109375,1674.4532470703125,3271.489013671875,11851.8193359375,2140.306640625
13,66,Fmin7,F,130.0,53828.53125,12561.0341796875,15591.7978515625,77702.5625,29082.169921875,36407.91015625,7752.96142578125,13429.7314453125,32983.3984375,7773.59521484375,5481.20556640625,11250.69140625
