,Measure,Afrodisia,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Eb9,Eb,2.0,98.02033233642578,179.2009735107422,152.4940643310547,275.9542541503906,180.67724609375,782.6406860351562,159.7342987060547,296.6522521972656,1516.1435546875,387.6311340332031,445.3618469238281,90.68096923828125
1,3,Eb9,Eb,4.0,258.2803955078125,95.33322143554688,54.64994812011719,138.9456024169922,523.3814697265625,307.0777282714844,93.94903564453125,261.6925354003906,161.44895935058594,83.18952178955078,186.08917236328125,73.30674743652344
2,3,C7(#9),C,5.0,400.2998962402344,103.75382232666016,107.6822738647461,521.22412109375,296.6261291503906,288.7215881347656,69.53668975830078,118.60994720458984,325.70123291015625,137.03363037109375,375.5067443847656,131.26393127441406
3,4,Fmin7,F,6.0,718.94677734375,216.22743225097656,268.9711608886719,1226.9981689453125,451.9080810546875,635.1397094726562,97.42827606201172,75.2817611694336,52.0985107421875,47.19227600097656,100.52324676513672,148.28907775878906
4,6,Eb9,Eb,10.0,134.66064453125,302.2872009277344,203.7777099609375,335.7655334472656,204.7117462158203,955.4721069335938,183.76976013183594,314.5715026855469,1479.1678466796875,402.5663146972656,506.2921142578125,99.5963363647461
5,7,Eb9,Eb,12.0,145.94808959960938,144.4360809326172,372.6863098144531,161.06703186035156,161.4128875732422,635.1502075195312,156.38259887695312,80.15372467041016,300.1452331542969,129.9889678955078,103.8733901977539,413.6314392089844
6,7,Ddim7,D,13.0,402.1000061035156,113.0531005859375,146.53282165527344,521.4725341796875,212.552978515625,313.1358337402344,84.7650146484375,104.22541046142578,339.49127197265625,130.1426544189453,291.7512512207031,123.43844604492188
7,8,Fmin7,F,14.0,1901.16845703125,657.7743530273438,963.8115234375,3208.494384765625,928.7213745117188,2454.091552734375,366.033447265625,160.27435302734375,231.30299377441406,131.80419921875,108.34719848632812,397.2115173339844
8,12,C7sus(07),C,22.0,112.80664825439453,40.0727424621582,85.38528442382812,34.72968673706055,84.0278091430664,271.9598083496094,88.20370483398438,90.14783477783203,38.41950225830078,487.9910583496094,3244.955810546875,557.94091796875
9,13,C7,C,24.0,171.0928955078125,81.57190704345703,295.8931579589844,131.45364379882812,402.3808898925781,211.6551513671875,90.82464599609375,96.8077621459961,47.40007400512695,586.4175415039062,3327.171142578125,531.6964721679688
10,14,C7sus(07),C,26.0,123.96939086914062,47.534488677978516,226.86940002441406,100.21029663085938,98.0566635131836,169.9683074951172,471.3921203613281,3247.265869140625,859.0753784179688,104.11962127685547,86.87100982666016,114.58404541015625
