,Measure,AllBlues 1,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G7,G,0.0,5968.17822265625,2497.772705078125,6460.28466796875,2834.905029296875,3627.251708984375,15916.4970703125,5951.583984375,11743.19140625,2245.311767578125,1611.5364990234375,3009.328125,16832.705078125
1,5,G7,G,6.0,396.895263671875,243.11753845214844,699.3762817382812,430.7796325683594,513.6187744140625,2278.72705078125,1019.91845703125,1071.1534423828125,236.75474548339844,212.11663818359375,368.7917175292969,1770.2147216796875
2,6,G7,G,7.5,616.8591918945312,279.3884582519531,655.6355590820312,473.5672912597656,560.0174560546875,2221.445556640625,1076.596923828125,1200.3729248046875,269.8813171386719,181.1904296875,360.1180725097656,1742.5115966796875
3,7,G7,G,9.0,1655.8045654296875,746.3547973632812,1948.80029296875,1301.8038330078125,1540.6917724609375,6936.576171875,3014.968994140625,3535.6748046875,717.2478637695312,534.5303955078125,1001.5322265625,5048.56103515625
4,9,C7,C,12.0,1092.8641357421875,268.7536926269531,215.38819885253906,503.6700134277344,2359.214599609375,481.0628967285156,186.22996520996094,910.4995727539062,593.343505859375,2702.036865234375,1465.9632568359375,515.728515625
5,10,C7,C,13.5,1760.6094970703125,353.950927734375,219.53546142578125,528.6317749023438,2353.401611328125,450.2248229980469,211.29444885253906,1147.605224609375,298.24066162109375,227.8121337890625,1079.77001953125,605.3883666992188
6,11,G7,G,15.0,475.3619079589844,245.64892578125,636.3302612304688,446.6907958984375,646.9431762695312,2300.487548828125,1035.598388671875,1099.8544921875,261.2055358886719,296.8602294921875,400.1702880859375,1840.8944091796875
7,12,G7,G,16.5,302.2668762207031,227.85301208496094,782.6952514648438,426.5843200683594,509.9804382324219,2181.58740234375,1052.2491455078125,2899.1005859375,553.8705444335938,179.0431671142578,282.33282470703125,1192.4403076171875
8,13,D7(#9),D,18.0,1218.7962646484375,385.4053955078125,495.7295837402344,323.1995544433594,1109.3482666015625,2487.1572265625,1390.9010009765625,457.6040344238281,840.9679565429688,3414.5546875,713.0698852539062,380.4921875
9,14,Eb7(#9),Eb,19.5,128.01368713378906,344.4836120605469,221.2764892578125,183.21961975097656,123.61209869384766,372.4638671875,772.8662719726562,372.1353759765625,114.02645874023438,227.1085205078125,980.96435546875,205.3473663330078
10,14,D7,D,20.25,265.5885314941406,208.6898651123047,426.9391784667969,171.7459716796875,81.59982299804688,194.4619140625,753.0674438476562,192.581787109375,67.80272674560547,282.5575866699219,181.3840789794922,80.67645263671875
11,15,G7,G,21.0,457.6239013671875,353.1350402832031,667.9000244140625,444.7380676269531,619.5640258789062,2289.033447265625,1177.6212158203125,1091.5352783203125,784.0181274414062,4090.740966796875,899.3534545898438,1240.6402587890625
12,16,G7,G,22.5,316.41717529296875,259.2322998046875,701.4953002929688,419.3548889160156,604.0699462890625,2271.877197265625,907.150390625,1046.4661865234375,639.1669311523438,3080.635498046875,720.6875,1210.77783203125
13,17,G7,G,24.0,826.2910766601562,622.8353881835938,1966.1138916015625,1098.727294921875,1361.9063720703125,6856.01025390625,2401.46923828125,3204.502685546875,628.0399169921875,524.8366088867188,778.6973266601562,3591.576416015625
