,Measure,AllOfMe_C,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C6,C,0.0,7443.8046875,1649.4219970703125,808.8197631835938,2254.798583984375,11284.6953125,1883.82421875,1500.6356201171875,8914.7880859375,2329.31689453125,3614.019287109375,771.4760131835938,1967.45068359375
1,3,E7,E,4.0,1615.0390625,1059.2059326171875,5997.36181640625,3079.5966796875,10036.4501953125,1711.3035888671875,1077.2816162109375,1355.4725341796875,7568.18408203125,1450.6258544921875,1247.4930419921875,7673.068359375
2,5,A7,A,8.0,1183.27099609375,5301.97412109375,1250.4232177734375,1798.5445556640625,8849.455078125,2224.86962890625,1214.2735595703125,6900.021484375,4114.62158203125,14280.90625,2279.1591796875,737.0049438476562
3,7,Dmin7,D,12.0,5886.78369140625,2103.3984375,5768.08056640625,1323.26513671875,2210.001708984375,10735.7529296875,3335.238525390625,8911.876953125,2080.962646484375,4096.08935546875,812.5636596679688,1016.82763671875
4,9,E7,E,16.0,1173.9188232421875,1200.549560546875,7259.74267578125,3216.895751953125,9615.4658203125,1736.3734130859375,724.2391967773438,798.7118530273438,3827.1962890625,865.4370727539062,973.4401245117188,5430.06884765625
5,11,Amin7,A,20.0,5007.19140625,1269.226318359375,1961.47998046875,2084.25146484375,9416.9716796875,1635.1119384765625,952.9067993164062,4679.88134765625,2043.7230224609375,4538.9921875,960.5409545898438,1443.1529541015625
6,13,D7,D,24.0,6076.77783203125,2279.787841796875,5529.40234375,1235.49072265625,709.1693725585938,2026.4530029296875,10717.5341796875,1882.509765625,898.8726196289062,5431.716796875,4185.44091796875,2499.6455078125
7,15,Dmin7,D,28.0,1956.86376953125,792.102294921875,1949.3243408203125,464.1036682128906,974.6913452148438,3655.9775390625,841.7783203125,220.91294860839844,764.927001953125,4884.00341796875,769.0886840820312,344.1653747558594
8,16,G7,G,30.0,624.4560546875,362.6776123046875,1080.4417724609375,663.0817260742188,786.3298950195312,3673.463623046875,1584.3526611328125,1735.7064208984375,357.0223693847656,296.5990905761719,559.6837768554688,2815.767333984375
9,17,Cmaj7,C,32.0,8131.09423828125,1419.4537353515625,963.9213256835938,2229.670654296875,11439.7412109375,2338.37109375,1565.86572265625,8642.9345703125,1838.8424072265625,451.6111755371094,996.49072265625,6696.90087890625
10,19,E7,E,36.0,1557.54296875,1020.9000854492188,5758.990234375,3064.847900390625,10049.787109375,1769.6453857421875,1082.4246826171875,1354.3319091796875,7569.17236328125,1433.5108642578125,1179.1661376953125,7219.48583984375
11,21,A7,A,40.0,1184.26123046875,5301.10693359375,1249.8875732421875,1798.6688232421875,8854.14453125,2234.91455078125,1215.3895263671875,6903.09765625,4136.216796875,14427.9443359375,2300.971923828125,738.5907592773438
12,23,Dmin7,D,44.0,5886.76708984375,2103.967041015625,5775.271484375,1324.5953369140625,2210.26611328125,10738.8271484375,3336.628662109375,8912.8349609375,2081.77734375,4100.27783203125,813.0757446289062,1016.6245727539062
13,25,Fmaj7,F,48.0,2008.5330810546875,483.7367858886719,692.6387329101562,765.2177734375,3409.131103515625,1685.3634033203125,351.2159729003906,348.3279113769531,616.7118530273438,1836.7623291015625,404.9768981933594,523.6029663085938
14,26,Fmin6,F,50.0,2300.289794921875,804.4321899414062,3233.0078125,651.18310546875,833.4867553710938,3720.813720703125,724.5988159179688,302.2872619628906,1337.29638671875,518.912353515625,164.6599884033203,367.4080810546875
15,27,Cmaj7,C,52.0,617.1753540039062,152.0735626220703,99.64363861083984,277.4512634277344,1113.4595947265625,258.3253479003906,215.19239807128906,462.2038879394531,104.55267333984375,55.2243537902832,157.99913024902344,994.81298828125
16,27,Emin7(b5),E,53.0,171.14739990234375,143.6472930908203,685.640380859375,328.2426452636719,947.453125,204.9988250732422,167.58201599121094,562.6016235351562,133.59585571289062,68.81439971923828,103.3481216430664,593.65087890625
17,28,A7,A,54.0,504.2099304199219,1822.2440185546875,500.2915954589844,690.352783203125,2779.7421875,804.4627075195312,565.7197875976562,1996.4678955078125,946.0297241210938,1637.3651123046875,397.2369384765625,763.5538940429688
18,29,Dmin7,D,56.0,3213.943115234375,996.1022338867188,2017.896484375,530.6392211914062,915.5224609375,3605.364990234375,852.77392578125,420.5879211425781,356.1580505371094,1581.5316162109375,288.9168395996094,499.9959716796875
19,30,G7,G,58.0,496.0202331542969,361.3816833496094,1102.6932373046875,691.5346069335938,1316.849365234375,3779.364990234375,1371.103515625,1678.1590576171875,407.4744873046875,275.66217041015625,411.3800964355469,1915.4180908203125
20,31,Cmaj7,C,60.0,989.033203125,198.76800537109375,104.81731414794922,258.5668029785156,1109.742919921875,245.2576446533203,117.56140899658203,541.1649169921875,124.7444839477539,57.29952621459961,113.6435775756836,730.6428833007812
21,31,Ebdim7,Eb,61.0,582.6284790039062,187.93101501464844,280.5179748535156,983.9528198242188,379.4825439453125,294.4223937988281,1070.99267578125,281.75042724609375,99.54586029052734,445.2748718261719,117.28478240966797,129.970703125
22,32,Dmin7,D,62.0,606.5466918945312,257.3431091308594,615.6116333007812,444.0266418457031,337.9442138671875,1077.9150390625,404.4793395996094,82.49517059326172,79.89453125,365.1502380371094,87.37757110595703,121.78925323486328
23,32,G7,G,63.0,1706.04638671875,1019.7814331054688,3622.664306640625,1919.7645263671875,2219.154541015625,10471.396484375,3483.268310546875,4518.99365234375,941.129638671875,1205.2496337890625,1279.3421630859375,5800.88427734375
