,Measure,AllOfMe_F,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F6,F,0.0,7158.95654296875,2157.458984375,5970.33740234375,1309.648193359375,2477.543701171875,11109.24609375,1827.6951904296875,697.3849487304688,1304.03369140625,7413.71630859375,1316.05810546875,1122.1494140625
1,3,A7,A,4.0,1256.2908935546875,5787.81103515625,1295.51171875,1912.4378662109375,9050.72265625,2407.14794921875,926.5022583007812,4708.58740234375,3205.9404296875,7516.267578125,1270.9195556640625,747.6871948242188
2,5,D7,D,8.0,7118.853515625,2691.6318359375,7492.30810546875,1428.7327880859375,801.7565307617188,1990.0067138671875,10626.4365234375,2074.018798828125,971.2838745117188,5504.23681640625,1190.782958984375,1154.263427734375
3,7,Gmin7,G,12.0,1468.88232421875,1008.3500366210938,3022.409912109375,835.9766235351562,1948.60546875,9255.517578125,2908.503173828125,4855.6865234375,1074.5814208984375,2027.5474853515625,6756.962890625,1326.2713623046875
4,9,A7,A,16.0,1176.9195556640625,5275.1484375,1260.9967041015625,1862.1986083984375,8718.1259765625,2288.855224609375,1097.6749267578125,6198.3125,5898.02685546875,14265.28515625,2228.896484375,702.88525390625
5,11,Dmin7,D,20.0,6689.00537109375,2222.850830078125,5442.50927734375,1214.8544921875,2202.442138671875,10773.8681640625,2366.784912109375,1616.5501708984375,967.6057739257812,3665.394287109375,762.9098510742188,1087.8482666015625
6,13,G7,G,24.0,1243.4835205078125,948.6343383789062,3319.287109375,2228.49609375,3404.233154296875,11212.09375,3591.696044921875,4617.6064453125,1039.9066162109375,958.4971313476562,1213.4976806640625,5577.27587890625
7,15,Gmin7,G,28.0,191.9767303466797,436.1139831542969,1874.91015625,432.4945373535156,691.368896484375,3061.669921875,1098.4547119140625,1645.0167236328125,408.1916198730469,903.9937133789062,1996.404296875,390.0541687011719
8,16,C7,C,30.0,1801.9893798828125,376.082763671875,351.09130859375,819.2628784179688,3994.809814453125,827.9520874023438,285.62640380859375,1461.2364501953125,462.556396484375,354.3958740234375,1669.2589111328125,796.6926879882812
9,17,Fmaj7,F,32.0,7095.28662109375,1361.6104736328125,516.0548706054688,2024.0340576171875,10118.203125,5843.41796875,1026.5728759765625,1204.387451171875,2084.3330078125,7743.14111328125,1461.7952880859375,1565.2783203125
10,19,A7,A,36.0,1294.5992431640625,5789.47021484375,1273.3043212890625,1904.4691162109375,9077.19140625,2336.209716796875,907.741455078125,4704.146484375,3210.861083984375,7572.45654296875,1289.1649169921875,759.29150390625
11,21,D7,D,40.0,6845.744140625,2670.334716796875,7558.54638671875,1435.0650634765625,789.4616088867188,1974.5513916015625,10624.6875,2072.314453125,969.482177734375,5492.27197265625,1188.1181640625,1115.6480712890625
12,23,Gmin7,G,44.0,1480.3544921875,1010.1554565429688,3026.1982421875,835.8583374023438,1950.4136962890625,9265.1796875,2906.862548828125,4855.078125,1074.4891357421875,2025.8795166015625,6749.07177734375,1326.8414306640625
13,25,Bbmaj7,Bb,48.0,169.01480102539062,524.8488159179688,2046.9810791015625,490.7008972167969,707.4500122070312,2961.890625,766.156005859375,630.0392456054688,425.8839416503906,1744.3902587890625,2034.1927490234375,355.70703125
14,26,Bbmin6,Bb,50.0,487.4996337890625,1760.8040771484375,439.7035827636719,202.2265167236328,681.3809204101562,3132.543212890625,771.7915649414062,2022.6727294921875,597.1821899414062,583.3998413085938,1924.3797607421875,495.3117980957031
15,27,Fmaj7,F,52.0,598.9774780273438,144.56248474121094,80.08714294433594,232.36085510253906,1062.0985107421875,613.49560546875,126.813720703125,123.56973266601562,232.1139678955078,533.4572143554688,131.10279846191406,182.9607391357422
16,27,Amin7(b5),A,53.0,446.659423828125,134.22760009765625,79.78166961669922,200.9893798828125,876.76220703125,270.4706726074219,108.5467758178711,484.5617370605469,374.9055480957031,1480.3450927734375,291.9449157714844,166.3811798095703
17,28,D7,D,54.0,2647.459716796875,945.7734985351562,1988.6669921875,537.8159790039062,1444.6085205078125,1091.0162353515625,3833.153076171875,864.6849975585938,354.6338195800781,1331.1475830078125,326.4396057128906,466.7963562011719
18,29,Gmin7,G,56.0,250.46092224121094,338.41070556640625,1020.7416381835938,294.3245849609375,724.64453125,3189.2958984375,1120.869140625,1616.5166015625,398.25244140625,784.335693359375,1959.7071533203125,381.9450988769531
19,30,C7,C,58.0,1789.1142578125,387.6720275878906,336.1101379394531,781.9021606445312,3814.864990234375,783.96337890625,306.9502868652344,1448.4322509765625,449.2817687988281,723.0520629882812,1775.1663818359375,754.4266967773438
20,31,Fmaj7,F,60.0,611.5382690429688,143.46253967285156,68.11404418945312,235.04518127441406,991.762939453125,690.6268920898438,159.30311584472656,129.9553680419922,209.82786560058594,558.4755249023438,142.12905883789062,168.63970947265625
21,31,Abdim7,Ab,61.0,270.0587463378906,170.3051300048828,654.7117919921875,379.4652099609375,493.2128601074219,1281.2213134765625,323.2236328125,162.08126831054688,513.150390625,198.24131774902344,138.9345703125,592.0252075195312
22,32,Gmin7,G,62.0,91.90863037109375,112.5264892578125,393.8682556152344,173.2881622314453,241.20152282714844,855.099853515625,333.2315979003906,493.8791809082031,160.79119873046875,273.7821350097656,549.7599487304688,203.7632293701172
23,32,C7,C,63.0,5598.89794921875,1149.3995361328125,1232.9420166015625,2287.6494140625,11340.8701171875,3853.531494140625,1099.9327392578125,4577.92822265625,1230.7005615234375,984.565673828125,4919.22509765625,2347.011474609375
