,Measure,AlongCameBetty,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin7,C,0.0,5596.05517578125,1342.73291015625,2577.57080078125,9964.5693359375,2899.172119140625,653.4730834960938,874.2715454101562,4661.45947265625,949.9309692382812,1125.1612548828125,6089.31787109375,2299.434814453125
1,2,C#min7,C#,2.0,736.9077758789062,1551.8310546875,397.1344909667969,964.7205200195312,3146.5869140625,844.1122436523438,232.7606201171875,286.4083251953125,1325.21240234375,291.2326354980469,321.0959777832031,1668.5697021484375
2,2,F#7,F#,3.0,567.7434692382812,1758.18896484375,407.4945068359375,686.5236206054688,3189.127685546875,1672.7391357421875,1406.7991943359375,359.1121826171875,445.7088623046875,629.2142944335938,1849.6922607421875,587.3101806640625
3,3,Cmin9,C,4.0,5980.08740234375,3276.902587890625,8966.71875,11766.7470703125,5085.8603515625,1283.1375732421875,1708.9334716796875,4720.08203125,1129.6968994140625,1431.9739990234375,6414.62060546875,2587.776611328125
4,4,C#min,C#,6.0,128.4384307861328,90.95578002929688,137.00582885742188,783.258056640625,199.83018493652344,21.062780380249023,22.15827178955078,116.02771759033203,35.36286544799805,11.782025337219238,58.28993225097656,48.75700378417969
5,4,F#7,F#,7.0,155.77723693847656,555.4281005859375,117.54241180419922,276.0284118652344,1222.6173095703125,215.3373565673828,59.477142333984375,104.9344253540039,404.231201171875,66.31483459472656,25.337854385375977,38.2089958190918
6,5,Bmaj9,B,8.0,2791.1748046875,9119.08984375,3843.1240234375,11557.0859375,6584.466796875,4534.97021484375,17056.05078125,3149.9248046875,2200.472900390625,1923.4423828125,8345.7548828125,6987.20849609375
7,6,Bb7,Bb,10.0,727.0250854492188,1498.9580078125,6403.17236328125,1795.6611328125,2501.557861328125,9779.3046875,2692.893310546875,923.326416015625,4407.50732421875,4047.8818359375,15748.4287109375,2562.749267578125
8,7,Amaj7,A,12.0,1515.5230712890625,5297.9287109375,1503.16943359375,2339.719970703125,8912.4150390625,2861.725341796875,951.63037109375,1066.0081787109375,5498.73974609375,5428.82666015625,1077.102294921875,693.2888793945312
9,8,Ab7,Ab,14.0,1617.0657958984375,572.4586791992188,669.5227661132812,2362.740966796875,765.7041625976562,707.1389770507812,3424.697265625,1390.9383544921875,2057.010498046875,473.4105529785156,210.4089813232422,410.7026062011719
10,8,Ab7(#5),Ab,15.0,1573.2803955078125,514.4591064453125,679.1592407226562,2561.0498046875,804.6942749023438,881.3685913085938,3770.702880859375,1313.6192626953125,1592.5587158203125,352.5694885253906,173.2656707763672,366.7669372558594
11,9,Abmin7,Ab,16.0,2271.729736328125,876.1871948242188,2180.728759765625,9545.7568359375,1623.8892822265625,2382.835205078125,13495.8212890625,3566.688720703125,5262.04736328125,1153.778076171875,1524.6429443359375,5950.00146484375
12,10,Amin7,A,18.0,1639.74755859375,384.1647033691406,234.12745666503906,751.2911987304688,2777.462158203125,555.5435791015625,352.057861328125,1528.841796875,810.3403930664062,1667.5501708984375,457.4878234863281,768.4201049804688
13,10,D7,D,19.0,2221.658935546875,962.4867553710938,1854.45263671875,456.470703125,684.3998413085938,949.3047485351562,3440.3896484375,805.0982055664062,303.1731262207031,1327.968505859375,303.5151062011719,435.42041015625
14,11,Abmin7,Ab,20.0,1391.78369140625,772.3344116210938,2571.036865234375,9104.8359375,1667.62451171875,2389.273193359375,13484.0068359375,3644.029052734375,5228.06103515625,1365.0303955078125,1597.3177490234375,5599.73583984375
15,12,Amin7,A,22.0,1779.69287109375,445.5127868652344,299.1802062988281,829.497314453125,2824.754638671875,581.4706420898438,617.2791137695312,1699.5699462890625,914.2969360351562,1637.6505126953125,493.5413513183594,1103.6343994140625
16,12,D7,D,23.0,284.5638122558594,63.30393981933594,39.0710334777832,208.8701629638672,499.4359130859375,104.5013656616211,62.9885139465332,139.66444396972656,41.0254020690918,36.99457931518555,13.727068901062012,97.2505874633789
17,13,Gmaj7,G,24.0,2938.48046875,1493.5372314453125,3575.298583984375,2014.9710693359375,1013.326904296875,2562.78076171875,14807.0087890625,7250.64404296875,2742.826416015625,12437.2939453125,2970.2333984375,6233.13427734375
18,14,B7,B,26.0,2247.16552734375,1178.8663330078125,2467.320068359375,10802.22265625,1951.5748291015625,2246.471923828125,12726.2451171875,3462.984619140625,1122.105712890625,4606.80810546875,2642.52978515625,8845.451171875
19,15,Emin7,E,28.0,1258.03515625,1507.46923828125,8421.9873046875,3596.525390625,10592.8515625,2036.7969970703125,2172.2880859375,5797.34375,1504.7198486328125,753.8407592773438,1200.0330810546875,6320.74267578125
20,16,A7,A,30.0,509.5028381347656,1702.0616455078125,603.265625,815.75927734375,2545.461181640625,821.2748413085938,662.5557861328125,1716.0023193359375,930.3139038085938,1591.0755615234375,431.292724609375,712.8275756835938
21,16,Dmin13,D,31.0,62.50851058959961,230.24522399902344,63.65336608886719,123.49307250976562,471.0817565917969,99.01315307617188,44.284175872802734,119.38188934326172,42.71616744995117,30.68671226501465,12.864775657653809,55.225582122802734
22,17,Dmin7,D,32.0,15589.2451171875,3830.538818359375,6537.7109375,2461.091796875,7471.24267578125,12589.3515625,3326.914306640625,2655.653076171875,1688.609375,4831.48876953125,1312.5118408203125,4526.41650390625
23,18,G7,G,34.0,1836.6812744140625,1187.0008544921875,3338.507568359375,1982.0665283203125,2659.056884765625,11283.9482421875,4377.328125,5518.46533203125,2249.14892578125,1399.0499267578125,1307.6182861328125,5687.84228515625
24,19,Bmin7,B,36.0,429.9041442871094,795.3779907226562,2969.077880859375,958.94189453125,322.1000671386719,885.5595703125,3749.6337890625,691.9345703125,335.7701721191406,1686.6534423828125,709.3862915039062,1795.111328125
25,19,E7,E,37.0,607.6589965820312,419.9150695800781,2339.299560546875,1211.6231689453125,3091.925048828125,699.3493041992188,585.474853515625,330.4140319824219,1435.17236328125,424.4277648925781,527.59130859375,2899.822021484375
26,20,Amin7,A,38.0,8947.5078125,1756.7200927734375,959.1307983398438,2240.383056640625,9984.634765625,1972.6676025390625,1284.820556640625,5865.66845703125,2986.351806640625,6573.02392578125,1528.6883544921875,3204.544677734375
27,21,F#min7,F#,40.0,1116.4302978515625,2037.1168212890625,578.5870971679688,700.5330200195312,2578.79736328125,1241.9747314453125,1519.02294921875,674.5276489257812,804.567138671875,1614.6827392578125,419.8253479003906,297.09375
28,21,B7,B,41.0,469.1080017089844,641.9596557617188,707.826416015625,3320.6923828125,1119.5885009765625,898.49853515625,3877.57421875,730.360595703125,303.8371276855469,1389.0947265625,734.1500854492188,1682.8553466796875
29,22,B7,B,42.0,1231.081787109375,1206.9002685546875,2458.151611328125,11358.7353515625,2137.049560546875,2393.71142578125,13628.1123046875,2567.577880859375,1067.0997314453125,4943.650390625,2244.454345703125,5492.20361328125
30,23,Gmin7,G,44.0,656.2611083984375,1082.671875,3540.3046875,1216.6856689453125,2174.252685546875,9828.873046875,3570.8876953125,5140.36279296875,1326.2437744140625,3901.8046875,18038.7890625,3246.898193359375
