,Measure,Ambidextrous,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F7,F,0.0,2514.0361328125,562.8587036132812,787.7229614257812,3517.0,2931.19140625,5013.2099609375,1000.3153686523438,535.7626953125,625.1412353515625,1877.0284423828125,532.2924194335938,675.9119262695312
1,2,F7,F,2.0,2218.750244140625,533.8864135742188,699.09375,3172.376953125,1603.3389892578125,1464.08203125,320.092041015625,455.821533203125,540.427001953125,1663.94970703125,451.4991455078125,574.9672241210938
2,3,F7,F,4.0,2565.494873046875,571.9793701171875,737.611083984375,3121.241455078125,2876.669677734375,5003.30810546875,1006.924072265625,551.6324462890625,624.9513549804688,1882.9705810546875,545.0057983398438,687.5375366210938
3,4,F7,F,6.0,2218.833251953125,533.9601440429688,699.42578125,3174.694091796875,1603.8035888671875,1464.2149658203125,320.1141662597656,455.9035949707031,540.4502563476562,1663.9517822265625,451.5418395996094,574.9904174804688
4,5,Bb7,Bb,8.0,385.1210021972656,532.8375244140625,2431.28564453125,1827.8624267578125,1139.6278076171875,3394.7724609375,846.5896606445312,432.9783630371094,1786.0682373046875,2279.17236328125,7526.14013671875,1242.3275146484375
5,6,Bb7,Bb,10.0,282.1866760253906,448.7984313964844,1997.9991455078125,571.2280883789062,937.149169921875,4330.537109375,1000.2518920898438,314.02899169921875,1533.8011474609375,1010.7457885742188,2440.93896484375,429.1274719238281
6,7,Bb7,Bb,12.0,329.2081604003906,512.1024780273438,2120.955322265625,607.1084594726562,926.3250122070312,3389.249267578125,832.6181030273438,372.0537414550781,1679.25732421875,2247.9462890625,7382.171875,1202.0806884765625
7,8,Bb7,Bb,14.0,288.2419738769531,445.5953063964844,1992.541015625,512.2871704101562,940.5020141601562,4366.7841796875,1003.77587890625,311.29034423828125,1534.0296630859375,1005.4736328125,2434.39306640625,428.630859375
8,9,F7,F,16.0,5381.537109375,1120.99462890625,861.348876953125,3437.004150390625,1914.5982666015625,1956.3648681640625,517.2970581054688,533.8972778320312,1105.9927978515625,3635.468994140625,744.797119140625,989.8843383789062
9,10,F7,F,18.0,2409.874755859375,498.1343688964844,661.2847900390625,3275.33203125,1676.1695556640625,1416.8319091796875,301.3440246582031,380.0058898925781,601.8080444335938,2027.9404296875,476.5743408203125,640.7977905273438
10,11,F7,F,20.0,5406.39013671875,1126.1165771484375,862.3171997070312,3364.640625,1804.0543212890625,1462.6866455078125,418.4549865722656,477.3677978515625,828.2339477539062,3561.385986328125,719.722412109375,978.4695434570312
11,12,F7,F,22.0,2399.757568359375,497.1690368652344,673.3102416992188,3276.340576171875,1676.7041015625,1423.5899658203125,299.8915100097656,379.528076171875,595.641845703125,1999.7943115234375,468.93896484375,639.1264038085938
12,13,Bb7,Bb,24.0,345.3392028808594,807.78857421875,4764.7998046875,1005.5029907226562,903.5231323242188,3707.229736328125,886.19287109375,360.9349365234375,1455.8287353515625,936.3335571289062,1998.8125,398.6351318359375
13,14,Bb7,Bb,26.0,251.2472686767578,574.909912109375,2303.5947265625,536.4113159179688,653.2539672851562,3157.258544921875,803.7119140625,288.62713623046875,1429.0418701171875,936.504150390625,1967.6326904296875,357.1954650878906
14,15,Bb7,Bb,28.0,335.23699951171875,799.944091796875,4636.15380859375,909.9013061523438,805.527587890625,3444.5595703125,871.9641723632812,367.79443359375,1493.9583740234375,940.6076049804688,2039.5438232421875,398.7596130371094
15,16,Bb7,Bb,30.0,253.02061462402344,577.2880249023438,2303.214599609375,511.1971435546875,663.6089477539062,3178.548583984375,805.0195922851562,287.5594482421875,1425.9210205078125,930.452392578125,1967.0537109375,357.1436462402344
16,17,C,C,32.0,142171.1875,29013.796875,21204.775390625,85196.8984375,233069.578125,95314.53125,26549.431640625,97550.3515625,43488.0390625,103593.6328125,202360.375,59664.65234375
17,43,F7,F,84.0,578.4068603515625,143.4082794189453,225.80560302734375,1001.9970703125,549.4154052734375,396.6622314453125,103.23925018310547,119.05858612060547,189.3740234375,527.949462890625,148.3176727294922,153.76515197753906
18,43,Fsus,F,85.0,23351.814453125,4396.611328125,3389.083984375,12708.05859375,13743.375,63435.51171875,9109.3232421875,1993.05810546875,1437.39453125,4438.87744140625,21323.845703125,6244.625
19,51,Bb7,Bb,100.0,0.0035974793136119843,0.0011996846878901124,0.004023396875709295,0.01481306180357933,0.00816625077277422,0.028757190331816673,0.0053040883503854275,0.0007674602675251663,0.0005528031615540385,0.001074416097253561,0.002916945843026042,0.0011330499546602368
20,51,Bbsus,Bb,101.0,265.5353698730469,403.0635070800781,2057.841064453125,6096.33642578125,1939.6993408203125,6374.78564453125,1081.5723876953125,254.10218811035156,696.47705078125,1236.0115966796875,4333.51416015625,703.3107299804688
