,Measure,AppointmentInGhana,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bbmaj7,Bb,0.0,164.92994689941406,507.5760192871094,1961.5457763671875,474.2928161621094,742.8252563476562,2961.732177734375,704.7029418945312,160.36500549316406,332.008544921875,1937.2384033203125,2104.294189453125,353.2423400878906
1,2,E7(#9),E,2.0,486.3868408203125,522.5753173828125,2230.387939453125,1542.8582763671875,1572.3226318359375,531.3862915039062,828.4526977539062,2439.280517578125,2009.5050048828125,602.8490600585938,566.2955932617188,2291.305908203125
2,3,D7(#9),D,4.0,2028.3572998046875,544.9890747070312,594.7754516601562,481.6034240722656,1751.9820556640625,4432.98291015625,2409.464599609375,622.3909912109375,623.1681518554688,1981.7550048828125,509.0000305175781,511.759033203125
3,4,G13,G,6.0,2733.327392578125,816.9238891601562,1135.031005859375,845.06689453125,2061.341796875,3882.441650390625,1541.63232421875,1904.6314697265625,662.684814453125,1275.707275390625,629.725341796875,2263.06787109375
4,5,Bbmaj7,Bb,8.0,222.34910583496094,522.6720581054688,1934.7584228515625,475.8265075683594,735.9024047851562,2916.7509765625,730.8599243164062,167.0381622314453,338.4008483886719,1919.3154296875,2106.88623046875,415.5587463378906
5,6,E7,E,10.0,460.9093933105469,425.1156311035156,2427.737060546875,1041.2552490234375,3347.1796875,711.8102416992188,300.7388610839844,714.98681640625,1482.3470458984375,336.6703186035156,367.97216796875,2065.971435546875
6,7,D7,D,12.0,1981.990234375,792.75537109375,1782.78076171875,457.9525451660156,407.496337890625,1235.2659912109375,3863.557373046875,683.9133911132812,263.0609436035156,1344.1015625,310.2442932128906,391.1376037597656
7,8,G13,G,14.0,2397.6806640625,739.6736450195312,1075.6253662109375,839.693115234375,2035.0406494140625,3915.391357421875,1469.87646484375,1891.8702392578125,677.9234008789062,1316.5594482421875,632.4291381835938,2261.845947265625
8,9,Bb,Bb,16.0,131289.921875,101107.84375,388800.75,92046.3984375,180785.953125,763928.5625,279874.40625,335585.5,108589.8125,442201.125,1362809.0,262367.84375
9,37,Gmin7,G,72.0,4517.46826171875,9553.50390625,37826.34765625,8675.6865234375,21601.380859375,116895.1875,29501.376953125,42762.28515625,9081.4931640625,17475.060546875,49092.375,9189.560546875
10,53,Bbmaj7,Bb,104.0,162.2938995361328,497.1849670410156,1958.3154296875,468.4703369140625,706.2052612304688,2934.1962890625,701.8949584960938,160.07333374023438,301.6224060058594,1686.62060546875,2028.2330322265625,342.860595703125
11,54,E7(#9),E,106.0,480.8077392578125,512.1425170898438,2272.080322265625,1536.6185302734375,1552.63671875,510.6910705566406,772.1019897460938,2002.45263671875,1883.6837158203125,586.2279663085938,560.3867797851562,2286.769775390625
12,55,D7(#9),D,108.0,1997.41455078125,534.2300415039062,594.4536743164062,455.3501892089844,1680.18701171875,4142.6240234375,2329.61376953125,609.7882690429688,622.057861328125,1916.81884765625,484.6758117675781,515.8806762695312
13,56,G13,G,110.0,2732.314697265625,816.0307006835938,1120.038330078125,741.900146484375,1373.3243408203125,3731.9775390625,1534.52197265625,1883.6812744140625,602.6798706054688,1249.66357421875,627.7245483398438,2247.465087890625
14,57,Bbmaj7,Bb,112.0,220.07568359375,511.8349304199219,1940.9451904296875,469.1224060058594,701.4304809570312,2888.934814453125,728.4884643554688,167.13958740234375,306.8948669433594,1685.12841796875,2034.57080078125,404.4767150878906
15,58,E7,E,114.0,451.5647888183594,422.9739685058594,2461.114501953125,1033.8463134765625,3325.777099609375,701.38916015625,238.4888153076172,256.1752014160156,1374.9075927734375,321.8182678222656,363.5512390136719,2059.553466796875
16,59,D7(#9),D,116.0,1943.0244140625,560.141845703125,653.59326171875,464.7149658203125,1714.9483642578125,4129.05078125,2297.6748046875,573.4229125976562,624.230224609375,1886.0616455078125,476.8674621582031,503.1703186035156
17,60,G13,G,118.0,2743.075439453125,811.5535278320312,1094.144287109375,754.2074584960938,1418.3450927734375,3730.9150390625,1536.6773681640625,1908.0899658203125,611.650146484375,1250.5086669921875,628.6013793945312,2285.121337890625
18,61,Gmin7,G,120.0,437.8759765625,574.5945434570312,1883.12548828125,516.6580200195312,1172.933349609375,5757.89453125,1896.16455078125,3048.639892578125,692.0968627929688,1292.8148193359375,3576.451416015625,762.695068359375
