,Measure,Arriving Soon,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Cmin7,C,2.0,40325.78125,18429.166015625,82123.9765625,30653.884765625,7910.12255859375,5797.92822265625,9290.6474609375,38379.26953125,11252.1767578125,26504.275390625,16938.521484375,9193.19140625
1,15,Cmin7,C,28.0,23791.4296875,4181.23046875,3202.3974609375,9696.7705078125,2131.5458984375,2017.3157958984375,5193.41357421875,32632.013671875,5240.92724609375,822.5798950195312,2193.876220703125,3958.2685546875
2,20,Cmin7,C,38.0,22136.064453125,7602.25732421875,28865.900390625,21415.283203125,4712.14208984375,1844.5521240234375,3481.5361328125,13812.5380859375,4226.626953125,10692.1787109375,5099.24755859375,4206.79150390625
3,28,Dmin7,D,54.0,1248.1234130859375,496.4310302734375,992.37841796875,190.41693115234375,303.1561584472656,1831.7611083984375,337.6652526855469,87.88961791992188,118.9485855102539,606.7947387695312,97.40670013427734,196.83665466308594
4,29,G7,G,56.0,307.6914367675781,231.26002502441406,496.235107421875,325.1978454589844,443.8627014160156,2501.243408203125,1012.16943359375,867.1032104492188,273.5134582519531,228.2703094482422,302.7121887207031,1063.0655517578125
5,30,Cmin7,C,58.0,5459.48193359375,1264.466064453125,3248.611083984375,9891.6103515625,2462.36767578125,1084.0789794921875,803.056640625,4287.2470703125,843.7167358398438,896.7059936523438,4117.70556640625,1890.6595458984375
6,33,Cmin7,C,64.0,24796.193359375,5525.08642578125,10691.873046875,53420.99609375,13892.171875,2722.624755859375,4094.928955078125,22702.767578125,4225.568359375,4456.97021484375,24999.4140625,9593.28125
7,41,Ebmin7,Eb,80.0,65.44703674316406,296.2120056152344,125.0570068359375,474.7568054199219,86.63998413085938,95.2232666015625,609.640869140625,123.96227264404297,28.44260597229004,81.9236068725586,342.71826171875,49.28298568725586
8,41,Ab7,Ab,81.0,276.0162658691406,82.61882781982422,96.5862045288086,446.3924865722656,153.1727752685547,110.72870635986328,641.5418701171875,216.66148376464844,228.09771728515625,47.405277252197266,45.08003616333008,58.37083435058594
9,42,Dmin7,D,82.0,344.4150085449219,188.67222595214844,331.0653991699219,148.24525451660156,133.11170959472656,614.1378784179688,163.19798278808594,37.00407791137695,33.051483154296875,152.25416564941406,31.70336151123047,56.62162780761719
10,42,G7,G,83.0,96.47307586669922,58.15592956542969,155.6651153564453,98.46703338623047,115.17914581298828,598.8367309570312,198.2027587890625,238.8929443359375,83.82325744628906,75.78296661376953,72.97765350341797,328.8438415527344
11,43,Cmin7,C,84.0,1328.3839111328125,304.2686462402344,758.8753051757812,3056.533447265625,932.6621704101562,765.225830078125,377.2434387207031,1540.5030517578125,321.53955078125,347.866943359375,1543.9052734375,786.69873046875
