,Measure,Asmara,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin7,C,0.0,4832.4326171875,1102.1171875,2144.78369140625,9403.0107421875,2773.3466796875,566.0733032226562,798.8305053710938,4405.8115234375,847.0841674804688,952.0857543945312,5262.17529296875,1954.3096923828125
1,3,Abmaj7,Ab,4.0,4927.32373046875,1175.3646240234375,1754.0716552734375,7733.205078125,2383.870361328125,553.6549682617188,1007.4328002929688,5320.57275390625,4664.48291015625,821.2938842773438,426.9519958496094,1340.8162841796875
2,5,Cmin7,C,8.0,4822.31298828125,1105.7445068359375,2130.90234375,9257.3623046875,2749.6142578125,567.3178100585938,805.34521484375,4427.421875,849.30078125,953.5927124023438,5263.431640625,1968.6644287109375
3,7,Abmaj7,Ab,12.0,4927.494140625,1175.3980712890625,1753.0657958984375,7727.880859375,2383.219970703125,553.6863403320312,1007.279052734375,5320.53515625,4663.9658203125,821.2377319335938,426.8973083496094,1340.7664794921875
4,9,Cmin7,C,16.0,4822.31494140625,1105.745361328125,2130.899658203125,9257.376953125,2749.621826171875,567.3222045898438,805.3473510742188,4427.42919921875,849.3017578125,953.5961303710938,5263.43798828125,1968.6619873046875
5,11,Abmaj7,Ab,20.0,4927.5048828125,1175.3984375,1753.0599365234375,7727.86083984375,2383.214111328125,553.6856079101562,1007.2802734375,5320.5517578125,4663.97705078125,821.2369995117188,426.903076171875,1340.7652587890625
6,13,Cmin7,C,24.0,4822.3193359375,1105.743896484375,2130.894775390625,9257.365234375,2749.625732421875,567.3195190429688,805.3447875976562,4427.40869140625,849.2971801757812,953.594482421875,5263.4345703125,1968.6658935546875
7,15,Abmaj7,Ab,28.0,4927.49853515625,1175.4072265625,1753.0657958984375,7727.875,2383.209228515625,553.6868286132812,1007.277099609375,5320.5458984375,4663.97802734375,821.2363891601562,426.9029235839844,1340.7579345703125
8,17,Fmin7,F,32.0,5950.27392578125,1249.900390625,1636.7955322265625,7814.322265625,3410.598876953125,3965.906982421875,872.1937866210938,1733.5028076171875,4301.85986328125,951.6946411132812,495.9932556152344,1285.2923583984375
9,19,Ebmaj7,Eb,36.0,387.014404296875,1166.5582275390625,7440.26171875,9838.7197265625,1664.0771484375,440.1780700683594,762.8666381835938,4271.7568359375,834.0200805664062,1009.0571899414062,5170.53466796875,1066.884765625
10,21,Fmin7,F,40.0,5948.09423828125,1251.0064697265625,1637.9990234375,7823.46923828125,3415.546630859375,3957.438720703125,872.6445922851562,1732.4833984375,4301.171875,947.2994995117188,457.231689453125,1276.0667724609375
11,23,Ebmaj7,Eb,44.0,386.9045715332031,1167.1912841796875,7445.21728515625,9839.259765625,1664.1644287109375,440.3477478027344,762.9299926757812,4271.75244140625,834.0906372070312,1011.01025390625,5182.6474609375,1068.310302734375
12,25,Fmin7,F,48.0,5948.07958984375,1251.0010986328125,1637.9986572265625,7823.466796875,3415.530029296875,3957.435546875,872.6467895507812,1732.4822998046875,4301.17822265625,947.3038940429688,457.2326965332031,1276.06640625
13,27,Ebmaj7,Eb,52.0,386.904052734375,1167.1923828125,7445.23095703125,9839.2763671875,1664.1640625,440.3447570800781,762.9285278320312,4271.7548828125,834.090087890625,1011.0093383789062,5182.66845703125,1068.3101806640625
14,29,Fmin7,F,56.0,5948.07763671875,1251.000244140625,1638.0001220703125,7823.50341796875,3415.551025390625,3957.4345703125,872.64453125,1732.4873046875,4301.18115234375,947.3045043945312,457.235595703125,1276.0675048828125
15,31,Bb7,Bb,60.0,225.71775817871094,431.5948791503906,2001.6656494140625,504.2298583984375,638.6929931640625,2964.504150390625,731.1764526367188,274.07269287109375,1367.7320556640625,882.0977172851562,1949.0277099609375,348.5384826660156
16,32,Gbmaj7,Gb,62.0,963.9502563476562,3924.359375,810.7882690429688,332.0902404785156,1253.01123046875,6620.892578125,3687.39453125,571.3602905273438,497.356201171875,1019.89990234375,3620.953369140625,679.7665405273438
