,Measure,AzuleSerape,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,5,F,F,8.0,2007.1395263671875,566.2783813476562,126.48062133789062,197.2388916015625,546.6141967773438,2260.08935546875,395.7138366699219,313.4306945800781,308.0444641113281,903.2769165039062,210.5465087890625,314.2556457519531
1,6,F7,F,10.0,2378.110595703125,504.993896484375,672.0802001953125,3318.658935546875,1705.7757568359375,1598.9736328125,325.3639831542969,371.655517578125,562.7688598632812,2112.020751953125,550.9049072265625,519.4965209960938
2,7,Eb7,Eb,12.0,736.0546875,2239.729736328125,1054.0303955078125,3137.026123046875,702.1091918945312,341.861083984375,318.2491760253906,1757.96923828125,468.8215026855469,386.0102233886719,1943.4859619140625,509.947021484375
3,8,F7,F,14.0,2119.182373046875,492.5247497558594,674.3126831054688,3252.927978515625,1662.65380859375,1466.6058349609375,312.0131530761719,397.1878356933594,567.4443969726562,2110.166015625,540.2982788085938,465.9031677246094
4,9,Eb7,Eb,16.0,723.4683227539062,2235.285400390625,1053.1014404296875,3137.533935546875,690.7449340820312,273.9281005859375,309.03729248046875,1763.7857666015625,470.5589599609375,379.2865295410156,1938.2916259765625,506.8955993652344
5,10,Emin7,E,18.0,126.65003204345703,133.22401428222656,677.2223510742188,373.468994140625,1021.4031372070312,205.61810302734375,114.43720245361328,450.7892761230469,134.3457489013672,260.1275939941406,165.4108428955078,583.4037475585938
6,10,A7,A,19.0,11.96593189239502,7.096035003662109,29.541854858398438,71.13367462158203,176.08245849609375,34.64471435546875,10.346179962158203,48.86345291137695,14.864182472229004,30.58207893371582,20.305070877075195,41.8093376159668
7,11,Dmin,D,20.0,180.21148681640625,727.9370727539062,293.7887268066406,279.5836486816406,1257.0101318359375,564.8883056640625,194.00274658203125,576.4707641601562,242.4285430908203,335.3539123535156,71.21076202392578,83.41548156738281
8,12,Gmin7,G,22.0,185.9036865234375,349.1982421875,1114.7388916015625,326.08599853515625,722.0205078125,2868.369384765625,1015.8521118164062,1659.4368896484375,412.1341857910156,821.080810546875,1987.0872802734375,377.088134765625
9,13,C7,C,24.0,2227.197998046875,616.324462890625,383.2703552246094,878.9655151367188,3901.322998046875,801.4765625,307.09393310546875,1664.4326171875,521.51220703125,365.7730407714844,1707.408203125,838.7369995117188
10,14,F,F,26.0,2714.018798828125,566.5718383789062,132.5890350341797,171.0727081298828,789.1731567382812,3529.035400390625,596.3974609375,190.08143615722656,263.4541320800781,1400.169921875,303.1266784667969,425.2772216796875
11,15,Gmin7,G,28.0,241.0259246826172,337.320556640625,1096.2509765625,326.0583801269531,630.7774658203125,2952.112548828125,1138.990478515625,2391.989013671875,596.2030639648438,733.9796752929688,1913.8885498046875,392.4650573730469
12,16,C7,C,30.0,1983.6163330078125,431.5772399902344,331.551513671875,767.69287109375,3798.249755859375,767.6174926757812,282.9690856933594,1458.99560546875,410.4040832519531,347.8534851074219,1695.5130615234375,785.123779296875
13,17,Fmaj7,F,32.0,2085.5595703125,433.5472106933594,202.5188751220703,699.376953125,3342.624267578125,1643.658203125,317.4035339355469,373.65771484375,690.58740234375,2325.343505859375,538.3438110351562,511.5881042480469
14,18,Emin7,E,34.0,139.87738037109375,130.39247131347656,666.7965698242188,332.2191162109375,1024.1361083984375,226.2928924560547,117.51679229736328,461.0282897949219,109.86736297607422,65.13459777832031,101.703857421875,558.6280517578125
15,18,A7,A,35.0,20.93073081970215,13.915294647216797,33.927608489990234,53.16267776489258,166.42315673828125,40.82221603393555,40.90904235839844,248.98492431640625,68.17212677001953,19.333393096923828,13.803067207336426,47.40366744995117
16,19,Dmin7,D,36.0,2580.22607421875,1237.3677978515625,1934.4320068359375,540.3333129882812,1676.38427734375,3994.826171875,908.210205078125,590.1747436523438,374.3504638671875,1422.0771484375,324.6083679199219,455.5826721191406
17,20,G7,G,38.0,547.6492919921875,379.8721618652344,1075.918212890625,610.0978393554688,850.4220581054688,3954.203857421875,1416.6204833984375,1713.12939453125,362.9540710449219,360.3075866699219,441.8326721191406,1959.2828369140625
18,21,Gmin7,G,40.0,188.9964599609375,340.7093811035156,1049.4976806640625,292.8367004394531,649.9137573242188,2992.8662109375,1064.615478515625,1731.5435791015625,457.8514099121094,1057.24365234375,2031.2408447265625,421.7160339355469
19,22,Eb7,Eb,42.0,699.6179809570312,2180.041259765625,1080.5802001953125,3193.659423828125,696.8384399414062,296.5962219238281,299.8439025878906,1661.0206298828125,464.0794372558594,383.5810241699219,1927.5548095703125,496.9919128417969
20,23,F7,F,44.0,2072.6669921875,492.3735046386719,674.4799194335938,3247.453369140625,1644.6103515625,1315.2608642578125,298.1822814941406,400.8144836425781,575.3245849609375,2115.86328125,541.4869995117188,471.1269836425781
21,24,Eb7,Eb,46.0,722.59619140625,2270.81982421875,1067.7374267578125,3141.823974609375,691.6305541992188,291.6626892089844,311.3306579589844,1760.1458740234375,470.8134460449219,382.2663269042969,1951.3790283203125,505.5282287597656
22,25,F7,F,48.0,2094.945068359375,493.1278076171875,686.9454956054688,3250.5888671875,1645.3646240234375,1356.7293701171875,298.3121337890625,398.4434509277344,569.6476440429688,2106.215576171875,537.965576171875,461.1129150390625
23,26,Eb7,Eb,50.0,717.33544921875,2220.741943359375,1051.639892578125,3136.9248046875,688.6378784179688,265.2308654785156,308.1417236328125,1763.72265625,471.0579833984375,378.8582458496094,1938.748046875,508.3387756347656
24,27,Emin7,E,52.0,127.19599151611328,134.34825134277344,686.0269165039062,374.9370422363281,1021.2734985351562,204.5377655029297,114.23921966552734,451.0453796386719,134.38661193847656,259.9407653808594,165.83106994628906,587.8860473632812
25,27,A7,A,53.0,157.3084259033203,535.6190795898438,158.29493713378906,196.27781677246094,782.23974609375,243.14552307128906,126.66189575195312,597.503173828125,327.8932800292969,544.7432861328125,135.58779907226562,116.5654067993164
26,28,Dmin7,D,54.0,615.0371704101562,308.52557373046875,538.378662109375,155.45040893554688,441.3255615234375,1119.1280517578125,272.241455078125,111.47875213623047,97.91059112548828,420.7486877441406,107.48999786376953,125.44451141357422
27,28,G7,G,55.0,222.6949920654297,146.05369567871094,413.7642517089844,242.68296813964844,292.9317321777344,1043.2745361328125,445.7234191894531,480.4305419921875,128.9316864013672,148.95533752441406,158.26678466796875,560.4900512695312
28,29,Gmin7,G,56.0,265.6047058105469,364.62939453125,1247.01708984375,335.7055969238281,666.7439575195312,2885.911865234375,1015.1788940429688,1615.9384765625,398.6952209472656,769.405029296875,1997.4713134765625,678.2352905273438
29,30,F,F,58.0,4214.31689453125,854.1320190429688,296.1165466308594,270.2611389160156,1369.8421630859375,7025.62890625,1122.1258544921875,299.9832458496094,452.3078308105469,2515.74755859375,515.3234252929688,727.225830078125
