,Measure,Ballad,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,3,Ebmin7,Eb,4.0,102.00133514404297,552.1724853515625,332.6120300292969,908.6038208007812,182.90185546875,311.859130859375,1054.9957275390625,203.14280700683594,58.535003662109375,211.458740234375,1321.1339111328125,223.40406799316406
1,3,Db,Db,5.0,192.4019012451172,592.0540771484375,163.6388702392578,297.7399597167969,257.75323486328125,1129.4990234375,331.46917724609375,96.54873657226562,404.1809997558594,90.99127197265625,101.63995361328125,50.1327018737793
2,4,Db,Db,6.0,162.5482635498047,450.0896301269531,109.56991577148438,115.06978607177734,242.60951232910156,1053.5679931640625,213.45494079589844,84.656494140625,405.6674499511719,80.40862274169922,31.174657821655273,36.992801666259766
3,4,Ab,Ab,7.0,542.6040649414062,197.40228271484375,209.46337890625,772.8224487304688,268.9839782714844,325.6664733886719,118.22579956054688,251.88856506347656,542.0742797851562,291.9256896972656,1219.1602783203125,297.1728210449219
4,5,Ebmin7,Eb,8.0,683.3285522460938,712.55419921875,400.97216796875,1123.2691650390625,221.3278045654297,285.3470764160156,1090.332275390625,234.7234344482422,75.55812072753906,122.41246795654297,608.4891357421875,187.63938903808594
5,5,Db/Eb,Db,9.0,78.06501007080078,221.698486328125,102.826904296875,323.46466064453125,133.6286163330078,413.09130859375,231.52581787109375,62.663177490234375,123.75115203857422,35.906333923339844,50.0306396484375,18.420682907104492
6,6,Db/Eb,Db,10.0,192.3909454345703,506.7478942871094,245.0377197265625,413.45556640625,326.2924499511719,1096.5938720703125,225.2819061279297,110.55370330810547,437.6671447753906,108.36264038085938,65.48861694335938,46.64095687866211
7,6,Ab/Eb,Ab,11.0,58.168514251708984,83.64017486572266,77.37266540527344,155.9298553466797,65.44783782958984,299.0538635253906,90.23043823242188,118.8714828491211,82.703369140625,227.2672882080078,1381.1690673828125,201.6465301513672
8,7,Ebmin7,Eb,12.0,676.4020385742188,714.6492309570312,318.2726135253906,891.1144409179688,166.3102569580078,275.96063232421875,1091.328125,235.4199981689453,111.32723236083984,115.7156982421875,543.9768676757812,218.37327575683594
9,7,Db,Db,13.0,205.32643127441406,600.2992553710938,164.47193908691406,287.4779357910156,263.4044189453125,1149.089599609375,338.41973876953125,99.63299560546875,412.4114074707031,83.99555969238281,47.69602966308594,40.8323860168457
10,8,B/Eb,B,14.0,119.63280487060547,108.2192153930664,173.1814727783203,455.4168701171875,144.626708984375,298.49908447265625,226.16542053222656,84.8861312866211,73.9701919555664,88.066162109375,250.97203063964844,544.08740234375
11,8,Db7,Db,15.0,254.02037048339844,502.7109680175781,144.0115509033203,168.26560974121094,274.9028015136719,1128.8680419921875,321.3038024902344,111.43058013916016,446.1302185058594,115.33016204833984,138.94053649902344,538.3638916015625
