,Measure,BeautifulLove,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Emin7(b5),E,0.0,50.554996490478516,284.05322265625,2028.5863037109375,309.9837951660156,61.66921615600586,24.21855926513672,27.262025833129883,16.173967361450195,44.07521057128906,58.13100051879883,18.219295501708984,24.145761489868164
1,2,A7,A,2.0,81.06103515625,112.35409545898438,549.790771484375,290.1701965332031,1365.8135986328125,199.6272430419922,93.10637664794922,529.5275268554688,338.3338317871094,1421.46923828125,267.6114807128906,500.7079162597656
2,3,Dmin7,D,4.0,537.530029296875,2414.198974609375,3244.543701171875,1114.0169677734375,3920.247802734375,908.0816040039062,418.7430725097656,1574.7535400390625,710.2234497070312,636.4406127929688,144.6676483154297,278.3470764160156
3,5,Gmin7,G,8.0,16.11667823791504,22.497262954711914,44.61094665527344,13.466339111328125,49.572017669677734,278.60174560546875,92.5007553100586,363.0663146972656,69.7927474975586,29.679349899291992,5.496175765991211,6.872395992279053
4,6,C7,C,10.0,46.819644927978516,97.40845489501953,359.8836669921875,79.91657257080078,241.3865966796875,1290.218017578125,273.3130187988281,352.2248229980469,74.1089096069336,201.0273895263672,379.75634765625,104.59656524658203
5,7,Fmaj7,F,12.0,746.0478515625,135.4672088623047,150.2797393798828,265.6561584472656,1469.6434326171875,364.106201171875,335.7129211425781,2078.529541015625,560.0247192382812,1237.3275146484375,594.4747924804688,212.25718688964844
6,8,Emin7(b5),E,14.0,269.6873779296875,48.5977668762207,12.950461387634277,71.94102478027344,384.9838562011719,168.63314819335938,25.603513717651367,31.41484260559082,84.51232147216797,304.7750244140625,51.64432907104492,55.098690032958984
7,8,A7,A,15.0,45.36104965209961,9.352930068969727,4.408065319061279,12.73618221282959,81.32719421386719,42.86049270629883,6.095813751220703,4.248900890350342,2.6141979694366455,5.155306816101074,2.7269906997680664,9.74504566192627
8,9,Dmin7,D,16.0,169.46347045898438,275.1243591308594,548.7766723632812,355.99951171875,1523.9862060546875,314.0386962890625,170.67662048339844,711.13720703125,576.1021728515625,2561.499267578125,447.263427734375,586.3222045898438
9,10,Gmin7,G,18.0,804.2615356445312,373.1352233886719,1079.441162109375,216.10874938964844,447.4833068847656,1416.3331298828125,287.07623291015625,79.12885284423828,120.49435424804688,637.7324829101562,120.63359832763672,169.6742401123047
10,11,Bb7,Bb,20.0,68.36138916015625,115.8241958618164,355.5537414550781,83.38884735107422,278.69390869140625,1452.1954345703125,314.3659362792969,349.3709411621094,89.55550384521484,826.0613403320312,5047.3642578125,768.59619140625
11,12,A7,A,22.0,39.73299789428711,99.94840240478516,476.4153137207031,111.30724334716797,291.6179504394531,1299.0311279296875,241.80360412597656,79.8541488647461,292.7020568847656,212.0518341064453,389.8512268066406,89.49297332763672
12,13,Dmin7,D,24.0,151.4682159423828,644.9694213867188,131.0226287841797,200.6149139404297,1122.57763671875,344.8735046386719,136.02455139160156,566.4021606445312,229.1134033203125,222.10572814941406,42.93446731567383,59.06307601928711
13,14,G7(#11),G,26.0,691.3955688476562,237.22584533691406,632.1585083007812,124.32584381103516,309.2197570800781,1351.5318603515625,226.64276123046875,46.2633171081543,322.3734130859375,2188.35791015625,305.6903381347656,136.55006408691406
14,15,Emin7(b5),E,28.0,421.5267028808594,2260.212158203125,567.0242919921875,115.88665008544922,249.5242919921875,1375.5958251953125,341.6004638671875,436.0155944824219,107.10176849365234,115.96138763427734,158.03488159179688,610.3482055664062
15,16,A7,A,30.0,76.18690490722656,187.8765411376953,921.1245727539062,326.8739929199219,1277.7296142578125,298.8244323730469,112.77127838134766,521.0300903320312,142.8833770751953,26.740455627441406,73.7430191040039,427.1334228515625
16,17,Dmin7,D,32.0,44.89809799194336,176.62298583984375,42.11541748046875,58.90317153930664,305.7728576660156,65.17247772216797,39.86207962036133,174.55274963378906,72.7122802734375,72.99697875976562,15.80890941619873,21.762353897094727
17,17,B7,B,33.0,9.244450569152832,32.25456237792969,71.62239074707031,31.9711856842041,70.50636291503906,35.10956573486328,164.4788055419922,1178.8631591796875,192.13377380371094,9.414981842041016,5.2851033210754395,13.97134017944336
18,18,Bb7,Bb,34.0,216.42454528808594,74.59881591796875,186.93731689453125,38.16101837158203,93.02853393554688,377.6988220214844,72.78155517578125,17.163915634155273,101.46231842041016,667.7982788085938,94.18824005126953,49.74893569946289
19,18,A7,A,35.0,95.32146453857422,324.2738952636719,553.2413940429688,459.71923828125,99.5648193359375,132.7362518310547,424.1524353027344,92.8599853515625,40.91835021972656,115.20670318603516,69.2911605834961,176.90135192871094
20,19,Dmin7,D,36.0,8504.9580078125,14969.7119140625,18855.76953125,8953.0009765625,26207.765625,26875.783203125,7068.17724609375,11065.578125,7593.6171875,13617.1650390625,4568.20263671875,4208.0439453125
