,Measure,Bemsha Swing,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bbmaj7,Bb,0.0,20.292482376098633,7.389685153961182,2.075667142868042,5.731119632720947,23.1005859375,139.4396209716797,26.442888259887695,19.111604690551758,14.589550971984863,28.067337036132812,5.401051998138428,3.5353782176971436
1,1,G7,G,1.0,10.833386421203613,38.91216278076172,200.296142578125,39.61315155029297,72.89057159423828,357.8279724121094,65.72307586669922,11.644865989685059,30.62164878845215,210.81072998046875,445.8822326660156,74.16446685791016
2,2,Gbmaj7,Gb,2.0,157.5296630859375,122.89180755615234,348.8565979003906,198.0132293701172,245.1271209716797,954.7789916992188,426.8363342285156,473.1932373046875,125.15152740478516,120.6917495727539,150.47314453125,553.0606079101562
3,2,B7,B,3.0,99.982666015625,250.2743682861328,102.12942504882812,83.24272918701172,101.18486785888672,417.321533203125,248.9861602783203,189.55419921875,1110.8927001953125,319.7707214355469,439.4336853027344,170.83641052246094
4,3,Bbmaj7,Bb,4.0,42.614776611328125,54.32344436645508,140.21365356445312,626.84130859375,126.4654769897461,153.46116638183594,422.0949401855469,116.13863372802734,35.37424087524414,115.89031982421875,93.21460723876953,176.1224365234375
5,3,Db7,Db,5.0,32.882728576660156,113.6151351928711,191.77052307128906,109.16604614257812,106.17354583740234,366.867919921875,106.33055877685547,61.36228942871094,159.79002380371094,917.973876953125,256.1048278808594,87.55451202392578
6,4,C7,C,6.0,259.86944580078125,499.3670349121094,143.2864532470703,122.90888214111328,223.87774658203125,998.820556640625,221.5342559814453,89.1025619506836,420.64794921875,143.68101501464844,289.8763732910156,653.6846923828125
7,4,B7,B,7.0,214.9599609375,96.15393829345703,27.839021682739258,77.76326751708984,435.0912780761719,251.99749755859375,67.08541107177734,192.4418182373047,72.67478942871094,36.753509521484375,145.95594787597656,121.43714141845703
8,5,Bbmaj7,Bb,8.0,111.86589813232422,46.91920471191406,83.17033386230469,382.9414978027344,155.3868865966797,258.82977294921875,424.9822692871094,103.4108657836914,44.53303146362305,126.3614273071289,78.65865325927734,212.880859375
9,5,Gmin7,G,9.0,29.616514205932617,54.964412689208984,231.67333984375,113.97384643554688,95.3804931640625,355.2001647949219,80.48503112792969,26.9061279296875,41.57489013671875,192.75567626953125,235.0947265625,75.8300552368164
10,6,Gbmaj7,Gb,10.0,69.2490005493164,109.8096923828125,330.48870849609375,124.6985855102539,202.62535095214844,809.3412475585938,350.1650390625,463.0891418457031,148.39376831054688,275.1519470214844,570.4038696289062,139.3214569091797
11,6,B7,B,11.0,77.40956115722656,244.5360870361328,103.92626953125,91.33422088623047,107.2276611328125,418.8949890136719,239.3065185546875,190.3375244140625,1110.5924072265625,316.2020568847656,451.51708984375,95.94610595703125
12,7,Bbmaj7,Bb,12.0,46.24491882324219,54.141971588134766,139.65269470214844,624.4485473632812,127.39983367919922,154.2063751220703,424.8360595703125,117.23126220703125,35.60660171508789,115.64990234375,95.1337661743164,189.8944854736328
13,7,Ab7,Ab,13.0,33.8707275390625,113.49616241455078,191.668212890625,109.52783966064453,107.15796661376953,367.9214782714844,106.22112274169922,61.24324417114258,160.38633728027344,918.8368530273438,256.6590576171875,88.63333129882812
14,8,Gb7,Gb,14.0,219.5384521484375,66.00115966796875,115.18557739257812,366.6091003417969,90.96319580078125,116.54303741455078,363.8152770996094,113.85445404052734,98.27437591552734,65.2787857055664,180.02635192871094,66.7466812133789
15,8,B7,B,15.0,80.60001373291016,228.62001037597656,56.06806564331055,131.98033142089844,398.0119323730469,184.95680236816406,201.72300720214844,40.55875778198242,52.81424331665039,64.96566009521484,142.11448669433594,55.095577239990234
16,9,Ebmaj7,Eb,16.0,150.52197265625,158.4633026123047,276.7940368652344,976.3084106445312,242.1476287841797,310.3715515136719,1102.6549072265625,222.28492736816406,111.57061004638672,634.3223266601562,1383.8963623046875,697.5469360351562
17,9,Cmin7,C,17.0,36.58203125,64.57438659667969,273.4063415527344,408.9265441894531,92.4997787475586,51.91354751586914,157.9849395751953,175.45310974121094,30.032014846801758,48.4067268371582,174.58824157714844,117.08489990234375
18,10,Bmaj7,B,18.0,515.7984619140625,140.63694763183594,285.722412109375,951.7116088867188,306.8796691894531,83.73783874511719,103.07040405273438,446.4093017578125,116.62540435791016,211.65684509277344,697.568603515625,277.5223083496094
19,10,E7,E,19.0,147.65689086914062,241.182373046875,112.89110565185547,386.1857604980469,89.5262451171875,90.47067260742188,401.1731262207031,116.70830535888672,102.4869613647461,57.64628982543945,177.1326141357422,206.0308837890625
20,11,Ebmaj7,Eb,20.0,77.3194351196289,67.3072280883789,244.7255096435547,200.810302734375,413.4950866699219,69.12227630615234,55.42893600463867,205.46478271484375,1286.8526611328125,275.36773681640625,366.9724426269531,354.7259521484375
21,11,Gb7,Gb,21.0,37.201805114746094,186.754150390625,1139.1519775390625,518.5652465820312,129.95494079589844,37.108280181884766,61.6573371887207,280.3874206542969,67.10531616210938,56.32835006713867,163.62660217285156,71.71609497070312
22,12,F7,F,22.0,67.3628921508789,231.64427185058594,85.9153060913086,143.1382293701172,380.3568115234375,156.2947235107422,192.60801696777344,48.34071731567383,46.6091423034668,55.272464752197266,141.61279296875,57.90560531616211
23,12,B7,B,23.0,293.1239318847656,89.78813934326172,94.99624633789062,385.1407775878906,240.24822998046875,184.18853759765625,76.96731567382812,36.30093002319336,25.993730545043945,76.87852478027344,30.462013244628906,59.072940826416016
24,13,Bbmaj7,Bb,24.0,113.6119613647461,42.29370880126953,80.11702728271484,387.8787841796875,133.612060546875,245.713623046875,430.857177734375,99.11843872070312,39.33027267456055,118.34874725341797,70.16687774658203,180.6935577392578
25,13,Gmin7,G,25.0,29.640869140625,55.51531982421875,234.5456085205078,111.5406494140625,89.3551025390625,357.2679138183594,82.02816009521484,25.453622817993164,38.411865234375,217.95375061035156,440.3103942871094,103.85144805908203
26,14,Gbmaj7,Gb,26.0,68.21819305419922,111.71871948242188,334.8059997558594,128.59144592285156,216.1204071044922,819.06591796875,355.5293273925781,466.4110412597656,148.7796173095703,282.56256103515625,564.4478759765625,137.14212036132812
27,14,B7,B,27.0,77.1208267211914,245.1851348876953,105.97016143798828,89.92745208740234,102.32340240478516,423.1786804199219,244.7955780029297,189.69390869140625,1109.2940673828125,316.91278076171875,446.9619140625,92.98226165771484
28,15,Bbmaj7,Bb,28.0,45.840240478515625,54.30466079711914,140.65025329589844,625.0648803710938,127.20397186279297,152.58175659179688,424.3501892089844,117.34856414794922,34.5403938293457,112.94738006591797,94.3421859741211,185.42308044433594
29,15,Ab7,Ab,29.0,34.84185791015625,114.4123764038086,273.1450500488281,121.08673858642578,103.0836410522461,365.7383117675781,105.5834732055664,63.00184631347656,166.56944274902344,934.9231567382812,259.88385009765625,87.21823120117188
30,16,Gb7,Gb,30.0,220.7925567626953,66.69698333740234,115.60704803466797,368.8404541015625,91.13302612304688,117.49161529541016,364.0765075683594,113.5951919555664,100.64762115478516,64.85826110839844,174.5376739501953,65.45498657226562
31,16,F7,F,31.0,80.27108001708984,229.11029052734375,56.15286636352539,131.699462890625,397.7252197265625,182.2803192138672,199.80418395996094,40.28721618652344,51.41847229003906,64.09679412841797,141.84739685058594,54.721309661865234
32,17,Bbmaj7,Bb,32.0,308.1535949707031,93.3617935180664,92.50576782226562,398.1956787109375,257.42608642578125,367.4873962402344,129.74176025390625,61.228763580322266,37.94147491455078,99.35574340820312,34.47999954223633,59.8497314453125
33,17,Bmaj7(#11),B,33.0,1874.9097900390625,2271.545654296875,5824.77392578125,5768.01953125,4645.2119140625,16598.357421875,6500.47900390625,1809.3109130859375,2724.140625,14437.47265625,13564.2353515625,3350.739990234375
