,Measure,BigBlues,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F7(#9),F,0.0,2076.740478515625,474.4824523925781,734.356689453125,3409.080322265625,1747.2603759765625,1480.4779052734375,444.3909912109375,844.081298828125,3926.927978515625,2234.566162109375,489.3032531738281,520.4580688476562
1,2,Bb13,Bb,2.0,2169.517333984375,679.5328979492188,1317.3421630859375,2762.137939453125,1539.4091796875,1834.005859375,782.9702758789062,2061.052490234375,1877.5040283203125,830.786376953125,2588.932861328125,947.8947143554688
2,3,F7(#9),F,4.0,6252.05029296875,1385.2781982421875,2065.337646484375,10345.1201171875,4899.4912109375,4821.56494140625,1226.529052734375,1702.8575439453125,4744.1767578125,4948.76904296875,1695.7103271484375,1486.2862548828125
3,5,Bb13,Bb,8.0,6419.01416015625,1892.6827392578125,3664.545166015625,8769.2900390625,4620.97216796875,7657.21435546875,2554.725830078125,6087.25390625,5380.8369140625,1669.8492431640625,1379.2447509765625,1828.1278076171875
4,7,F7(#9),F,12.0,6070.67041015625,1327.8797607421875,2039.29296875,10303.55859375,4936.927734375,4278.21630859375,1173.75244140625,2544.18798828125,11957.1943359375,5906.98876953125,1213.1170654296875,1418.1612548828125
5,9,C7(#9),C,16.0,1776.8076171875,446.2455749511719,444.6100158691406,1669.76708984375,4027.128662109375,720.5053100585938,333.6886291503906,1679.2957763671875,444.0877380371094,358.0755615234375,1763.2435302734375,805.508544921875
6,10,Bb13,Bb,18.0,2166.89990234375,686.3325805664062,1330.384033203125,2778.826416015625,1566.5458984375,1824.6650390625,796.02978515625,2100.879638671875,1916.76416015625,812.927490234375,2424.95751953125,923.33447265625
7,11,F7(#9),F,20.0,2157.798095703125,498.2811584472656,740.7655639648438,3436.9921875,1767.1912841796875,1616.3465576171875,441.1053466796875,661.0078735351562,1868.4971923828125,1924.7615966796875,666.9098510742188,546.9131469726562
8,12,C7(#9),C,22.0,1723.5938720703125,389.8526306152344,332.04156494140625,1280.673583984375,3994.506103515625,765.5851440429688,325.7900695800781,1580.85498046875,428.7749938964844,351.9245300292969,1693.4583740234375,763.1080932617188
9,13,G7(#9),G,24.0,492.7411804199219,371.3487548828125,1190.7109375,699.6099243164062,855.7484741210938,3703.818115234375,1425.0992431640625,2071.87548828125,505.3120422363281,881.0446166992188,4627.06298828125,2500.136962890625
10,14,C13,C,26.0,744.5370483398438,565.2129516601562,1135.288330078125,916.5205078125,2287.818115234375,3399.314697265625,1282.3416748046875,1915.6304931640625,698.57861328125,1773.9940185546875,2135.585205078125,607.8599243164062
11,15,G7(#9),G,28.0,1254.75146484375,960.49169921875,3595.510009765625,1881.64306640625,2494.2587890625,10997.6015625,4767.44384765625,13740.5791015625,2534.50146484375,1518.4677734375,5650.47216796875,6393.41943359375
12,17,C13,C,32.0,1993.2813720703125,1518.30078125,3556.2607421875,2459.74169921875,6742.71484375,10342.91015625,4221.38623046875,10758.80078125,2769.7451171875,4951.09130859375,6121.50341796875,1860.703125
13,19,G7(#9),G,36.0,1253.6905517578125,951.568115234375,3254.759521484375,1635.6822509765625,2272.337890625,11127.29296875,3685.065185546875,4954.19970703125,1174.55224609375,2772.60546875,14676.4833984375,7362.3671875
14,21,D7(#9),D,40.0,1890.7598876953125,552.3504028320312,664.8305053710938,459.5723571777344,1721.7867431640625,4457.64794921875,2392.392822265625,580.7157592773438,625.0276489257812,2017.4000244140625,507.6661682128906,453.6954040527344
15,22,C13,C,42.0,728.0317993164062,580.33154296875,1153.8509521484375,892.0437622070312,2268.662353515625,3362.834716796875,1375.2730712890625,1977.8214111328125,691.6791381835938,1735.27734375,2216.14697265625,603.4755249023438
16,23,G7(#9),G,44.0,468.9595947265625,361.278564453125,1276.336669921875,707.0624389648438,929.5025024414062,3856.842529296875,1720.9483642578125,4594.6552734375,914.7727661132812,553.4701538085938,2066.389404296875,2242.109375
17,24,D7(#9),D,46.0,1861.0811767578125,512.9308471679688,589.7609252929688,423.3214111328125,1617.4947509765625,4052.337890625,2319.60791015625,644.5648193359375,632.650390625,1920.3792724609375,498.919921875,543.4939575195312
18,25,D7(#9),D,48.0,1918.40478515625,559.3363647460938,665.8217163085938,452.2972412109375,1673.4552001953125,4367.93896484375,2394.341552734375,577.9716186523438,622.4614868164062,2012.1563720703125,508.712890625,459.9364318847656
19,26,G13,G,50.0,2761.451904296875,815.4752807617188,1132.0966796875,739.8908081054688,1374.400390625,3740.109619140625,1536.0445556640625,1902.1580810546875,614.6162719726562,1256.615478515625,632.36474609375,2305.185791015625
20,27,D7(#9),D,52.0,4844.60546875,1560.70947265625,2942.7783203125,1399.4185791015625,4764.66259765625,12071.0166015625,6834.80126953125,1645.97412109375,1662.4422607421875,5342.02490234375,1311.125732421875,1364.3486328125
21,29,G13,G,56.0,6880.79052734375,2471.634521484375,6647.21484375,2540.2587890625,3545.240966796875,11238.9609375,3889.952392578125,5050.39892578125,1611.0771484375,3931.19921875,1779.0792236328125,6496.640625
22,31,D7(#9),D,60.0,5175.814453125,1448.1943359375,1647.1591796875,1232.3260498046875,4851.599609375,13033.9130859375,6833.59326171875,1591.13427734375,1590.6278076171875,4911.10205078125,1215.3177490234375,1219.3231201171875
23,33,A7(#9),A,64.0,2755.177978515625,2256.224365234375,505.5654296875,692.0823364257812,2798.341552734375,798.2373657226562,375.8006286621094,1686.2764892578125,945.4214477539062,1767.56591796875,405.29248046875,585.3706665039062
