,Measure,BirksWorks,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmin7,F,0.0,69.26245880126953,25.09589958190918,20.295005798339844,97.6946029663086,92.1049575805664,393.1452331542969,85.86762237548828,256.2850036621094,1480.3724365234375,367.1708984375,433.2162780761719,82.42742919921875
1,2,Gdim7,G,2.0,69.04474639892578,19.532915115356445,35.96603775024414,135.89517211914062,44.99856185913086,135.13833618164062,33.84798812866211,58.18544006347656,166.68136596679688,63.66654968261719,18.176897048950195,15.532652854919434
2,2,C7,C,3.0,80.35905456542969,362.9121398925781,158.18492126464844,174.0926513671875,664.3749389648438,255.73338317871094,84.56952667236328,337.1477355957031,241.2618408203125,258.01025390625,1105.9248046875,193.79603576660156
3,3,Fmin7,F,4.0,1085.4974365234375,333.06524658203125,155.0220947265625,599.2525634765625,2630.40966796875,702.7970581054688,251.06146240234375,1228.5377197265625,1725.8536376953125,563.7584228515625,1437.3837890625,570.51611328125
4,4,Cdim7,C,6.0,68.16281127929688,26.024072647094727,42.13710021972656,139.91273498535156,53.65376281738281,137.4808807373047,35.71104049682617,59.54079055786133,161.0948944091797,63.38154602050781,20.632585525512695,16.757543563842773
5,4,F7,F,7.0,290.4326477050781,94.8219985961914,109.24472045898438,571.0300903320312,197.55328369140625,134.2367706298828,699.6895141601562,163.82505798339844,64.32028198242188,216.6372528076172,62.86911392211914,69.9681167602539
6,5,Bbmin7,Bb,8.0,1307.9810791015625,318.666259765625,387.7438049316406,2110.516357421875,1024.2706298828125,1112.6119384765625,467.2981262207031,531.83984375,1677.4366455078125,995.2335815429688,616.8906860351562,335.7299499511719
7,6,Bbmin7,Bb,10.0,106.51721954345703,165.6089630126953,56.197021484375,183.6836700439453,196.2367401123047,797.1707153320312,180.19602966308594,330.2402038574219,1747.685546875,430.642822265625,464.8968200683594,93.84744262695312
8,7,Fmin7,F,12.0,99.66106414794922,158.91615295410156,50.64430236816406,127.8602523803711,165.52723693847656,805.6398315429688,162.506591796875,284.9012756347656,1634.3927001953125,393.7513732910156,429.7880859375,86.54498291015625
9,8,Fmin7,F,14.0,219.2562713623047,82.35579681396484,118.30982208251953,507.7983093261719,179.80712890625,504.3655700683594,117.1789321899414,309.242919921875,1544.8994140625,399.3144226074219,460.9152526855469,114.611328125
10,9,Abmin9,Ab,16.0,65.21598052978516,20.928430557250977,35.82985305786133,133.6549530029297,44.60853576660156,145.6288299560547,32.95450973510742,41.23805236816406,116.12125396728516,50.4073371887207,7.798076629638672,12.514347076416016
11,9,Db9,Db,17.0,80.7931137084961,47.08449935913086,131.3658905029297,532.7752075195312,99.11126708984375,184.13934326171875,789.8898315429688,169.65472412109375,296.10784912109375,432.5549621582031,2600.380126953125,834.81689453125
12,10,G7(b5),G,18.0,133.55963134765625,120.02330780029297,127.2625503540039,559.2942504882812,170.64549255371094,339.0417175292969,187.90541076660156,147.99948120117188,472.6202392578125,155.00648498535156,159.32681274414062,445.2020568847656
13,10,C7,C,19.0,82.3570785522461,53.05305099487305,217.89845275878906,251.04869079589844,209.64837646484375,880.2688598632812,245.91119384765625,269.0799865722656,92.32402801513672,253.2185516357422,1541.5911865234375,612.5099487304688
14,11,Fmin7,F,20.0,1042.5548095703125,248.3994903564453,244.34681701660156,778.451171875,2641.185791015625,1318.5108642578125,411.9823913574219,1163.7484130859375,612.2758178710938,368.0876159667969,1242.1302490234375,725.524658203125
15,12,Fmin7,F,22.0,1622.0789794921875,404.6330871582031,680.0127563476562,2591.675537109375,1146.4696044921875,1278.5880126953125,304.3793640136719,493.2375183105469,1009.8549194335938,263.2178649902344,217.46519470214844,436.6360778808594
