,Measure,BlackwidowBlues,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bmin7,B,0.0,121.01620483398438,193.76641845703125,603.3414916992188,236.01512145996094,87.94824981689453,247.5840301513672,1156.372314453125,213.3955078125,92.30724334716797,432.0052490234375,193.30137634277344,526.4152221679688
1,1,Cmaj7,C,1.0,653.9666137695312,148.7400665283203,139.6405792236328,283.1619567871094,1078.70166015625,234.0834503173828,246.1750946044922,456.5685119628906,99.55681610107422,67.33516693115234,170.45973205566406,1003.3801879882812
2,2,Bmin7,B,2.0,205.13853454589844,377.4365234375,651.619873046875,277.4478454589844,286.2758483886719,360.6090393066406,1264.24951171875,349.6975402832031,309.23883056640625,1592.8089599609375,341.8579406738281,499.8274841308594
3,2,Cmaj7(#11),C,3.0,145.40838623046875,44.98960494995117,116.48001861572266,73.94188690185547,65.49960327148438,71.16605377197266,243.3468475341797,72.70983123779297,25.759672164916992,49.22645950317383,140.6580810546875,774.4201049804688
4,3,Bmin7,B,4.0,123.62706756591797,234.61192321777344,705.63916015625,264.4430847167969,181.84498596191406,338.911865234375,1514.6951904296875,353.4693908691406,107.61074829101562,428.5571594238281,188.53919982910156,455.8541259765625
5,3,Cmaj7,C,5.0,610.4880981445312,149.17471313476562,164.1501922607422,291.6488342285156,1068.1463623046875,240.9111328125,258.8240661621094,478.4366149902344,102.37970733642578,68.49274444580078,176.84906005859375,1003.9716796875
6,4,Bmin7,B,6.0,169.79563903808594,223.80908203125,644.1113891601562,246.9825897216797,233.3941650390625,313.7525939941406,1189.7874755859375,271.75091552734375,99.96939086914062,423.4969787597656,169.67442321777344,461.8155517578125
7,4,Cmaj7,C,7.0,668.583740234375,153.26844787597656,146.132080078125,288.3439636230469,1091.9658203125,237.130615234375,250.3278350830078,469.8531799316406,100.62496185302734,67.02161407470703,170.1302490234375,1006.5219116210938
8,5,Bmin7,B,8.0,175.09996032714844,218.0542449951172,611.0574951171875,240.1370391845703,228.87855529785156,313.72015380859375,1183.4892578125,271.8884582519531,99.84033966064453,423.8001708984375,167.8427276611328,468.2921142578125
9,5,Cmaj7,C,9.0,37640.10546875,9536.6123046875,18384.126953125,17945.18359375,74790.8359375,16296.7080078125,24040.267578125,40121.4765625,13965.5517578125,27258.958984375,21731.865234375,75727.828125
10,14,Bmin7,B,26.0,120.49819946289062,194.50559997558594,602.2836303710938,236.20555114746094,88.17267608642578,245.22021484375,1157.6207275390625,214.0538330078125,93.13470458984375,429.7293395996094,195.02159118652344,525.9894409179688
11,14,Cmaj7,C,27.0,653.8104858398438,148.7091827392578,139.6294708251953,283.1636962890625,1078.5909423828125,234.0752410888672,246.2010498046875,456.6465148925781,99.5689926147461,67.334716796875,170.44544982910156,1003.2446899414062
12,15,Bmin7,B,28.0,172.63836669921875,218.19712829589844,616.8952026367188,240.47352600097656,227.59275817871094,313.7217712402344,1184.2540283203125,273.510986328125,99.95453643798828,423.6081237792969,168.37966918945312,468.274169921875
13,15,Cmaj7,C,29.0,4140.28857421875,740.43310546875,657.2205200195312,1502.6649169921875,7153.62890625,1355.0599365234375,1361.025634765625,2942.122314453125,701.3911743164062,378.4924011230469,1087.24658203125,6954.322265625
