,Measure,Blue Moon,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ebmaj7,Eb,0.0,5.346393585205078,3.944197416305542,10.302355766296387,2.4837236404418945,5.704460620880127,53.96150588989258,17.486223220825195,2.6288626194000244,8.194449424743652,200.2568817138672,1387.6142578125,204.97923278808594
1,1,Cmin7,C,1.0,11.55538272857666,53.65156936645508,256.56976318359375,388.36767578125,67.31792449951172,15.36684799194336,30.82928466796875,159.16796875,26.47026824951172,50.29816818237305,326.9837646484375,56.10751724243164
2,2,Fmin7,F,2.0,507.1643371582031,140.90159606933594,285.6562194824219,943.145751953125,291.42559814453125,71.30169677734375,94.452880859375,455.1452331542969,101.09616088867188,118.67176055908203,597.43310546875,239.9684600830078
3,2,Bb7,Bb,3.0,412.720703125,95.77616119384766,107.48392486572266,457.6095886230469,190.09814453125,258.2267150878906,87.86529541015625,198.93165588378906,384.3547668457031,366.7220764160156,1764.9969482421875,348.89794921875
4,3,Eb,Eb,4.0,95.1275634765625,63.19973373413086,270.8180847167969,219.6773681640625,115.56487274169922,387.9837951660156,95.58700561523438,206.6179962158203,1257.1370849609375,339.475341796875,522.2484741210938,91.53970336914062
5,3,Cmin7,C,5.0,20.69286346435547,22.88055419921875,106.3127212524414,392.1522216796875,76.52456665039062,87.57813262939453,46.83485794067383,157.0283660888672,38.66494369506836,39.49824142456055,206.70579528808594,37.07538986206055
6,4,Fmin7,F,6.0,503.8066101074219,142.87982177734375,289.2014465332031,939.0753784179688,293.44464111328125,94.64041900634766,98.35821533203125,456.3367004394531,103.749755859375,110.36078643798828,533.3640747070312,228.026123046875
7,4,Bb7,Bb,7.0,606.1569213867188,172.4654083251953,314.4590148925781,866.4428100585938,410.8463134765625,437.4443359375,311.0945129394531,1681.5517578125,799.57373046875,153.61427307128906,101.18167114257812,170.2809600830078
8,5,Eb,Eb,8.0,163.54237365722656,108.4620132446289,406.6853942871094,284.7012939453125,170.7888946533203,557.9222412109375,181.00877380371094,293.96795654296875,252.5293731689453,174.6002655029297,354.7146301269531,142.55569458007812
9,5,Cmin7,C,9.0,25.96070671081543,21.062421798706055,104.89956665039062,338.7253723144531,84.78211975097656,134.32644653320312,66.81144714355469,283.7572326660156,54.90659713745117,31.615449905395508,149.8588104248047,30.996063232421875
10,6,Fmin7,F,10.0,886.0530395507812,215.74224853515625,330.6790466308594,1421.6488037109375,389.5111999511719,249.5150909423828,158.8008575439453,749.576904296875,243.12049865722656,108.30089569091797,433.77734375,227.83740234375
11,7,Eb,Eb,12.0,47.12062072753906,18.520200729370117,43.70500564575195,204.5933837890625,54.84421920776367,54.61992263793945,20.221691131591797,31.17530632019043,6.56449556350708,8.97785758972168,44.652740478515625,20.34054183959961
12,7,Ab,Ab,13.0,15.7495698928833,15.751091003417969,73.5080795288086,328.00732421875,62.31471633911133,22.305997848510742,29.89390754699707,160.6069793701172,26.092803955078125,26.19315528869629,141.64109802246094,27.913286209106445
13,8,Eb,Eb,14.0,224.1533966064453,51.299072265625,80.49666595458984,342.0777587890625,74.57303619384766,12.56173038482666,8.513545989990234,50.382625579833984,84.56077575683594,12.360318183898926,11.328347206115723,40.11528396606445
14,8,Bb7,Bb,15.0,40.74225997924805,19.15926742553711,80.1785888671875,386.0467224121094,70.26398468017578,15.021133422851562,28.179391860961914,152.7684783935547,25.89664649963379,26.857398986816406,144.71194458007812,33.22428512573242
15,9,Eb7,Eb,16.0,92.02166748046875,151.82374572753906,618.0018310546875,199.6527557373047,200.92262268066406,896.2291870117188,269.0691223144531,114.05157470703125,493.9937438964844,466.759033203125,1825.9881591796875,319.2540588378906
16,9,Cmin,C,17.0,41.8619499206543,186.94390869140625,147.81968688964844,392.7342224121094,107.02767944335938,233.50048828125,62.8400993347168,162.15817260742188,52.66080093383789,41.94524002075195,183.21197509765625,38.988101959228516
17,10,Fmin7,F,18.0,209.41802978515625,58.33494567871094,97.22112274169922,361.9311828613281,82.60133361816406,35.86725616455078,35.91322708129883,181.88841247558594,30.24757957458496,6.311643123626709,14.72738265991211,40.77082443237305
18,10,Bb7,Bb,19.0,288.454345703125,66.36553192138672,101.96343231201172,354.6823425292969,122.4234848022461,201.69712829589844,49.387699127197266,94.73079681396484,144.50999450683594,212.89906311035156,1140.3468017578125,229.3240966796875
19,11,Eb7,Eb,20.0,74.67523956298828,53.968841552734375,238.6022186279297,162.50245666503906,108.54326629638672,391.9202880859375,103.8050537109375,204.4927520751953,1245.3284912109375,345.0010986328125,560.2103881835938,96.9050521850586
