,Measure,Blues after Dark II,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,F7,F,2.0,154.6727752685547,41.514347076416016,88.35263061523438,445.4857177734375,135.00491333007812,144.1183319091797,25.46898078918457,19.647539138793945,15.351590156555176,24.380128860473633,8.79110050201416,32.211029052734375
1,3,F7,F,4.0,579.9371948242188,133.7960205078125,127.80170440673828,480.5715026855469,225.83253479003906,360.2137756347656,259.0078125,269.23980712890625,137.65184020996094,437.0753479003906,140.12631225585938,431.954345703125
2,4,F7,F,6.0,153.30587768554688,40.130245208740234,83.13448333740234,415.191650390625,127.1028060913086,143.8446807861328,24.983144760131836,17.55788230895996,14.847430229187012,24.104639053344727,8.472896575927734,32.050682067871094
3,5,F7,F,8.0,182.99461364746094,54.8759880065918,114.74433135986328,491.3136291503906,172.553466796875,279.1617736816406,80.28184509277344,246.705322265625,1524.9598388671875,898.1611328125,4188.67919921875,610.955322265625
4,6,F7,F,10.0,154.23487854003906,40.42815017700195,83.28593444824219,415.58642578125,125.8352279663086,136.04605102539062,24.121397018432617,17.70557975769043,14.654186248779297,23.51544189453125,8.388736724853516,32.159603118896484
5,7,F7,F,12.0,770.3508911132812,155.02577209472656,124.81698608398438,492.5216979980469,197.74400329589844,277.8750305175781,93.7238998413086,270.39068603515625,1279.2294921875,792.524169921875,3478.522705078125,610.6216430664062
6,8,F7,F,14.0,154.59295654296875,40.45009994506836,83.23065948486328,415.5071716308594,125.7311782836914,136.0098114013672,24.125612258911133,17.676925659179688,14.592267036437988,23.52930450439453,8.412606239318848,32.23603439331055
7,9,F7,F,16.0,182.9930419921875,54.874664306640625,114.7443618774414,491.310302734375,172.55308532714844,279.17559814453125,80.28230285644531,246.70494079589844,1524.9683837890625,898.1721801757812,4188.69873046875,610.9597778320312
8,10,F7,F,18.0,154.232666015625,40.42757797241211,83.28548431396484,415.5825500488281,125.83499908447266,136.0453643798828,24.121408462524414,17.70565414428711,14.654641151428223,23.515527725219727,8.388646125793457,32.159671783447266
9,11,F7,F,20.0,770.3515625,155.02491760253906,124.81597900390625,492.5203552246094,197.74562072753906,277.8758239746094,93.72420501708984,270.3916931152344,1279.2264404296875,792.5209350585938,3478.507080078125,610.619873046875
10,12,F7,F,22.0,154.5925750732422,40.44974899291992,83.2305908203125,415.5047607421875,125.72978973388672,136.01014709472656,24.12565803527832,17.67689323425293,14.592510223388672,23.52930450439453,8.41239070892334,32.2363166809082
11,13,F7,F,24.0,271.8062438964844,69.93067932128906,140.8885955810547,505.7675476074219,152.38873291015625,254.7195281982422,321.94989013671875,110.4034194946289,198.03749084472656,359.4424743652344,1915.1405029296875,939.3090209960938
12,14,Bb7,Bb,26.0,14.699254035949707,23.398584365844727,136.9346923828125,71.18385314941406,90.5307388305664,520.5750732421875,85.21611785888672,15.002655029296875,48.37339782714844,34.32149887084961,108.74687957763672,22.38620948791504
13,15,F,F,28.0,310.76776123046875,73.21048736572266,52.851016998291016,155.26840209960938,185.5797576904297,900.370849609375,181.4124298095703,362.0504455566406,2071.548095703125,531.6395874023438,129.8750762939453,75.39222717285156
14,16,F7,F,30.0,318.45782470703125,62.87263107299805,103.5093765258789,483.8963317871094,145.6417694091797,192.2144775390625,37.08380126953125,24.324365615844727,20.311031341552734,41.18964385986328,14.626681327819824,71.3275146484375
15,17,F7,F,32.0,478.8193054199219,109.7083740234375,93.72702026367188,184.3527374267578,216.2904815673828,924.6801147460938,276.5569152832031,603.2683715820312,152.37913513183594,248.30963134765625,54.518611907958984,82.97201538085938
16,17,F,F,33.0,688.5315551757812,144.00035095214844,176.62646484375,620.2696533203125,372.1297302246094,444.7819519042969,184.1094512939453,492.56005859375,203.53150939941406,357.6954345703125,98.99877166748047,153.71595764160156
17,18,F7,F,34.0,488.8603210449219,143.4103240966797,104.18579864501953,279.17852783203125,246.12103271484375,878.39453125,255.4393310546875,600.4586791992188,148.8986053466797,251.5925750732422,53.328857421875,81.41352081298828
18,18,F,F,35.0,206.2730712890625,34.817142486572266,23.41460609436035,55.943904876708984,58.657562255859375,290.8539123535156,60.496952056884766,64.57455444335938,333.4639587402344,110.86929321289062,19.98992919921875,47.89475631713867
19,19,Bb7,Bb,36.0,563.040771484375,129.43626403808594,150.36666870117188,69.26912689208984,200.1796112060547,832.88037109375,162.8540802001953,51.51106262207031,100.2340087890625,267.1694641113281,104.4154281616211,100.09395599365234
20,19,F,F,37.0,439.7948913574219,111.25747680664062,150.35606384277344,702.361572265625,406.1186828613281,388.9573059082031,78.40502166748047,124.56526947021484,125.06399536132812,374.1207275390625,88.5715103149414,133.1311798095703
21,20,F7,F,38.0,320.7042541503906,92.77979278564453,238.97886657714844,605.7971801757812,236.85870361328125,481.1649475097656,153.7792205810547,409.244873046875,2463.651123046875,688.319091796875,1463.3282470703125,380.7447204589844
