,Measure,BluesInH,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,B13,B,0.0,34.50371551513672,68.2773208618164,32.394046783447266,36.60464096069336,96.42495727539062,93.39044189453125,422.9264221191406,89.2793960571289,269.3282165527344,1491.8023681640625,308.01544189453125,123.1069107055664
1,2,E7,E,2.0,278.5940856933594,330.14990234375,797.22802734375,425.3431701660156,494.3052673339844,179.91981506347656,260.7583923339844,71.8324203491211,113.57563018798828,132.06475830078125,247.04710388183594,1382.4056396484375
2,3,B13,B,4.0,104.3802719116211,144.69674682617188,262.4078063964844,157.07748413085938,444.2304382324219,152.52659606933594,400.5876159667969,98.87078857421875,314.8509826660156,1491.7161865234375,386.5457458496094,572.5184936523438
3,4,B13,B,6.0,70.00334930419922,264.65325927734375,250.6802215576172,324.1920166015625,592.2898559570312,217.7119598388672,740.6608276367188,2230.96875,499.7084045410156,104.89151763916016,110.44794464111328,92.650634765625
4,5,E9,E,8.0,327.9198303222656,356.0672302246094,981.36572265625,455.7300720214844,490.5958557128906,188.1580352783203,290.7085876464844,78.59918975830078,117.18942260742188,134.50758361816406,296.3274230957031,1745.6239013671875
5,6,E7,E,10.0,357.3346252441406,241.1349334716797,1050.9593505859375,329.1078186035156,360.5981140136719,130.7659149169922,291.4398193359375,74.69697570800781,79.62574005126953,99.48870086669922,301.8148498535156,1851.75048828125
6,7,B13,B,12.0,90.56378936767578,114.40459442138672,233.7125244140625,147.48985290527344,452.6536560058594,164.5338592529297,463.2471618652344,103.40705108642578,323.48236083984375,1525.3070068359375,385.1394958496094,517.6402587890625
7,8,B13,B,14.0,73.00613403320312,268.1304626464844,261.5716247558594,326.0736389160156,602.1797485351562,219.58851623535156,739.5665893554688,2229.1103515625,502.5907287597656,110.26844024658203,112.61425018310547,105.93816375732422
8,9,E9,E,16.0,339.1468811035156,358.926513671875,994.0215454101562,457.4683532714844,489.6623229980469,188.57916259765625,288.82391357421875,78.17566680908203,115.93997955322266,133.78805541992188,309.6822204589844,1833.359375
9,10,C#min7,C#,18.0,21.306013107299805,45.58194351196289,188.94140625,70.77478790283203,81.8338623046875,29.36924934387207,99.63379669189453,22.237913131713867,9.917601585388184,7.278005599975586,18.6060848236084,60.00376510620117
10,10,F#7sus(07),F#,19.0,133.4976043701172,360.4668884277344,103.39987182617188,148.61090087890625,673.0586547851562,183.1220245361328,196.2552032470703,74.8545150756836,241.47544860839844,55.192020416259766,96.77264404296875,368.9652404785156
11,11,B7,B,20.0,167.69532775878906,160.13438415527344,164.395751953125,51.05667495727539,69.52857208251953,77.34870910644531,127.68949127197266,23.64198875427246,24.284364700317383,23.905555725097656,110.93535614013672,509.7898254394531
12,11,E7,E,20.666666666666668,118.83773040771484,109.41918182373047,181.02012634277344,193.7760467529297,52.936187744140625,75.74553680419922,271.5786437988281,55.9608154296875,26.19573211669922,110.02906036376953,129.08387756347656,327.16265869140625
13,11,Fdim,F,21.33333333333333,43.05693054199219,43.8482551574707,139.7094268798828,252.7931365966797,193.7502899169922,77.59173583984375,236.11651611328125,62.3532829284668,94.10417938232422,68.61377716064453,50.84077453613281,122.34331512451172
14,12,B7,B,22.0,215.00453186035156,158.05027770996094,220.7469940185547,248.2593231201172,598.4647827148438,1030.6824951171875,281.603515625,86.84697723388672,362.0206298828125,138.93592834472656,156.92755126953125,870.9013061523438
15,12,F#9,F#,23.0,961.4996948242188,1910.31103515625,1668.9163818359375,8219.8740234375,4461.25830078125,4468.97314453125,9769.986328125,1783.38037109375,1741.0606689453125,3460.42578125,2620.19189453125,3706.528076171875
