,Measure,Bluesinthebasement,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C7,C,0.0,2004.5267333984375,333.1180725097656,64.17547607421875,101.98926544189453,367.219482421875,78.56983184814453,67.90961456298828,199.98292541503906,58.55613708496094,49.02200698852539,199.6317596435547,344.3136901855469
1,2,F7,F,2.0,1993.44775390625,473.2505798339844,905.3342895507812,3473.993408203125,2084.177490234375,1606.69970703125,949.8580932617188,4999.70458984375,1235.4775390625,1738.6240234375,474.2109375,522.2406616210938
2,3,C7,C,4.0,4419.48046875,777.233642578125,330.3568115234375,946.612548828125,3977.228759765625,739.0848999023438,315.74481201171875,1485.6746826171875,419.3557434082031,410.9925537109375,2102.612060546875,1157.7786865234375
3,4,C7,C,6.0,1744.9376220703125,405.4393005371094,499.90673828125,891.3777465820312,3875.017822265625,810.6441040039062,755.4346313476562,4760.70654296875,923.0507202148438,363.9464111328125,1731.5830078125,812.0559692382812
4,5,F7,F,8.0,5538.41455078125,996.7168579101562,806.625244140625,3411.09375,1923.7861328125,1460.8768310546875,365.0882568359375,457.8590087890625,566.0783081054688,1907.0811767578125,1693.8944091796875,1088.6900634765625
5,6,F7,F,10.0,2035.3565673828125,483.6158752441406,890.51318359375,3372.047607421875,1775.4854736328125,1568.7572021484375,902.4909057617188,4711.02734375,1198.6458740234375,1735.763671875,469.2371826171875,512.3516235351562
6,7,C7,C,12.0,4418.306640625,778.1790161132812,331.7282409667969,949.5122680664062,3979.120849609375,738.00048828125,313.7693786621094,1471.8946533203125,416.1101989746094,409.8810729980469,2094.46875,1156.2545166015625
7,8,Emin7,E,14.0,131.06402587890625,137.34127807617188,724.59716796875,357.5655212402344,1010.1875,265.7159118652344,218.6385955810547,1182.3250732421875,234.40843200683594,74.6695785522461,106.54257202148438,566.4954833984375
8,8,A7,A,15.0,190.7936248779297,566.3870239257812,178.80857849121094,246.9199676513672,823.2059936523438,367.1444091796875,176.12451171875,866.8491821289062,393.4369812011719,546.8900146484375,134.09487915039062,120.6730728149414
9,9,Dmin7,D,16.0,8010.67138671875,1919.56298828125,1914.2149658203125,521.3660278320312,1476.8212890625,3878.968017578125,939.64990234375,516.4362182617188,370.0086669921875,1454.52978515625,1716.53662109375,1395.9639892578125
10,10,G7,G,18.0,771.5309448242188,444.90380859375,1221.306640625,666.9553833007812,835.9306030273438,3697.2265625,1723.3125,4773.03955078125,875.0051879882812,343.8512268066406,474.2313537597656,1956.8631591796875
11,11,C7,C,20.0,2032.763671875,480.74072265625,322.0540466308594,799.1889038085938,3925.02734375,790.4721069335938,339.95709228515625,1532.6380615234375,426.9566650390625,427.2444763183594,2104.46533203125,842.12841796875
12,12,C7,C,22.0,19285.541015625,3480.665283203125,1335.458740234375,3071.66796875,15180.4951171875,2910.869873046875,1525.9951171875,6887.50634765625,2083.569580078125,1823.5902099609375,8723.2451171875,4861.8125
