,Measure,Bold and Black,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Gmaj7,G,0.0,403.5705871582031,387.7608947753906,1104.2496337890625,553.0547485351562,207.6266326904297,832.8408203125,4594.00634765625,2216.570068359375,336.1265563964844,259.9801025390625,504.5348815917969,1896.693359375
1,2,F#min7,F#,2.0,171.20237731933594,617.4507446289062,170.9769287109375,208.1262664794922,793.9580078125,409.87451171875,631.5645751953125,147.06048583984375,247.84288024902344,543.2431030273438,166.36965942382812,94.10491180419922
2,2,B7,B,3.0,71.71129608154297,120.15042877197266,128.01637268066406,425.20947265625,203.50755310058594,108.03520965576172,502.1911926269531,97.57746124267578,31.950090408325195,97.93085479736328,64.82840728759766,191.74488830566406
3,3,E7,E,4.0,391.16357421875,510.2228698730469,2616.852294921875,1280.35009765625,3613.9697265625,734.554931640625,772.6134643554688,372.294921875,1446.52587890625,389.1880798339844,332.9184265136719,1434.5985107421875
4,4,E7,E,6.0,423.5126953125,372.6717224121094,2098.644775390625,1085.3563232421875,3342.023681640625,584.2197265625,263.9033508300781,265.5392150878906,1394.2081298828125,321.5939636230469,330.6991882324219,1859.49755859375
5,5,Gmaj7,G,8.0,434.1700439453125,393.4535217285156,1039.6773681640625,578.258544921875,278.6753234863281,832.6119995117188,4618.23193359375,2227.725341796875,341.08013916015625,263.6871032714844,524.5277099609375,2014.0408935546875
6,6,F#min7,F#,10.0,171.1262664794922,618.8735961914062,169.14610290527344,213.4099884033203,800.5933227539062,409.8211669921875,630.8809204101562,147.68130493164062,250.96595764160156,541.4671020507812,166.76077270507812,95.60430908203125
7,6,B7,B,11.0,73.61739349365234,120.35653686523438,128.2563934326172,424.4416198730469,203.07823181152344,107.86870574951172,502.1933288574219,97.33724975585938,32.0861701965332,97.98944091796875,65.62477111816406,197.75425720214844
8,7,E7,E,12.0,391.5404968261719,510.8686218261719,2621.490234375,1281.1771240234375,3613.923828125,734.5004272460938,772.669189453125,372.6708679199219,1448.7015380859375,389.4949951171875,333.1074523925781,1436.212890625
9,8,F#7,F#,14.0,463.02587890625,2054.935302734375,445.2680358886719,742.612548828125,3576.460205078125,1655.5137939453125,1614.3365478515625,335.7916564941406,427.3367919921875,576.6464233398438,1966.6405029296875,448.9500427246094
10,9,G7,G,16.0,592.5126342773438,379.7616271972656,1045.38330078125,692.9253540039062,920.546630859375,3925.053466796875,1677.4515380859375,1774.7833251953125,470.1265869140625,757.235107421875,708.4321899414062,2848.9169921875
11,10,A7,A,18.0,446.9161682128906,1769.7332763671875,484.5652770996094,642.1873168945312,2839.9248046875,899.5388793945312,343.2037048339844,1610.2171630859375,907.270263671875,1658.9298095703125,334.2294921875,316.0975036621094
12,11,C/D,C,20.0,541.5731201171875,165.6069793701172,208.91310119628906,289.8050842285156,1155.6402587890625,247.88539123535156,154.7085723876953,509.118408203125,176.0144500732422,71.60160064697266,54.30051803588867,188.4244384765625
13,11,D7,D,21.0,699.565673828125,306.9085388183594,583.4140014648438,142.3107452392578,241.37681579589844,320.9042053222656,1108.07373046875,265.0520935058594,104.81348419189453,442.2065124511719,96.00808715820312,129.59906005859375
14,12,C9,C,22.0,511.854736328125,248.54205322265625,967.6072387695312,428.88623046875,1110.4561767578125,246.43341064453125,234.25294494628906,491.2204284667969,142.4575653076172,171.88507080078125,514.6643676757812,254.79148864746094
15,12,D9,D,23.0,510.3749084472656,179.72657775878906,206.2852020263672,237.34837341308594,870.1146850585938,325.4240417480469,522.1882934570312,229.6478271484375,232.7308807373047,599.956787109375,209.2010040283203,148.2720947265625
16,13,Gmaj7,G,24.0,825.3445434570312,413.1408996582031,1022.850830078125,613.5645751953125,724.7841186523438,986.3827514648438,4768.08935546875,2293.528076171875,408.8014831542969,405.069091796875,542.7167358398438,2433.065185546875
17,14,F#min7,F#,26.0,239.36180114746094,734.860107421875,193.1597137451172,210.46055603027344,777.3648071289062,381.172607421875,450.7681579589844,114.07894134521484,236.6012420654297,510.8162841796875,149.77166748046875,237.5257568359375
18,14,B7,B,27.0,144.6394805908203,206.93206787109375,251.5965118408203,1064.1717529296875,356.8472595214844,281.8505554199219,1204.311279296875,222.4581298828125,94.94585418701172,438.1733703613281,242.0374755859375,540.9229125976562
19,15,E7,E,28.0,794.1178588867188,1658.9644775390625,3917.830322265625,2065.093505859375,3514.917236328125,656.78759765625,573.6693725585938,310.6831359863281,1366.0472412109375,375.1800537109375,576.0194091796875,3373.462158203125
20,16,Bmin11,B,30.0,580.4741821289062,2210.400634765625,1100.5069580078125,1049.9483642578125,2985.822265625,1384.85693359375,1763.51708984375,507.7662353515625,952.9146118164062,1911.2525634765625,590.73583984375,793.2986450195312
21,17,Gmaj13,G,32.0,2606.385498046875,864.7822875976562,1103.9688720703125,851.7630004882812,1006.464111328125,903.7600708007812,4319.01953125,2335.588623046875,614.7615356445312,1257.85888671875,716.049560546875,2638.044921875
22,18,E7(#5),E,34.0,493.7547302246094,481.0346984863281,2674.4814453125,1147.57958984375,3357.510009765625,618.4037475585938,436.4990234375,362.4010009765625,1795.5489501953125,419.9788818359375,369.2364196777344,2063.723876953125
23,19,D7,D,36.0,559.6018676757812,304.0457763671875,883.91015625,216.56578063964844,131.8289031982422,257.4986877441406,1172.058349609375,226.94468688964844,100.18489837646484,532.2452392578125,125.0431900024414,131.00775146484375
