,Measure,BrainDamage,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bmin,B,0.0,353.1364440917969,440.6429443359375,2005.5301513671875,693.41943359375,158.0419158935547,695.050537109375,3912.868896484375,606.5516967773438,83.3292007446289,242.41908264160156,429.3707580566406,1827.0828857421875
1,2,Bmin,B,2.0,356.729736328125,436.212158203125,1962.9580078125,691.3662719726562,159.1785888671875,693.7064819335938,3962.256591796875,614.3820190429688,84.11954498291016,250.02256774902344,435.4010314941406,1855.9654541015625
2,3,E,E,4.0,389.0501403808594,95.4915542602539,145.8600616455078,688.2842407226562,3308.520751953125,580.5384521484375,226.3820037841797,246.70835876464844,1346.0040283203125,257.3116455078125,318.6332702636719,1904.40283203125
3,4,Bmin,B,6.0,374.0388488769531,444.8479919433594,2029.0782470703125,745.8903198242188,239.4193115234375,707.62744140625,4004.370849609375,626.2044067382812,90.3730239868164,243.95326232910156,450.4805908203125,1935.11865234375
4,5,E7,E,8.0,434.9600830078125,415.8486022949219,2417.801025390625,1039.5301513671875,3335.454345703125,589.4729614257812,255.24261474609375,259.43670654296875,1376.8780517578125,317.3793640136719,338.69732666015625,1916.6953125
5,6,Bmin7,B,10.0,385.1556701660156,547.8514404296875,1905.3328857421875,775.189208984375,328.4051818847656,758.7317504882812,4086.934326171875,703.4042358398438,268.5135803222656,1281.3272705078125,609.5988159179688,1955.1781005859375
6,7,E7,E,12.0,435.5798034667969,416.682861328125,2425.82080078125,1039.6619873046875,3337.960693359375,590.1322631835938,254.9012451171875,259.9010009765625,1379.8929443359375,319.27337646484375,339.2248840332031,1917.7691650390625
7,8,Bmin7,B,14.0,384.9818420410156,547.5556030273438,1905.4404296875,774.9010620117188,328.4422912597656,758.4757690429688,4087.172119140625,703.4260864257812,270.1597900390625,1288.6510009765625,611.0916137695312,1955.9185791015625
8,9,E7,E,16.0,435.5817565917969,416.6832580566406,2425.816162109375,1039.6605224609375,3337.9560546875,590.1316528320312,254.901611328125,259.900634765625,1379.8919677734375,319.2725830078125,339.2237548828125,1917.7716064453125
9,10,Bmin7,B,18.0,384.9815979003906,547.5582885742188,1905.4453125,774.898681640625,328.4420166015625,758.4800415039062,4087.1826171875,703.427978515625,270.1590881347656,1288.6490478515625,611.0910034179688,1955.91357421875
10,11,E7,E,20.0,435.5796203613281,416.6828918457031,2425.821044921875,1039.660888671875,3337.952880859375,590.1302490234375,254.89764404296875,259.900634765625,1379.8927001953125,319.27117919921875,339.2226867675781,1917.7708740234375
11,12,G7,G,22.0,479.9068603515625,338.2583923339844,1052.0941162109375,638.848876953125,836.015380859375,3713.082763671875,1378.0113525390625,1666.8426513671875,350.9560241699219,309.8432922363281,449.2717590332031,2019.3028564453125
12,13,G7,G,24.0,466.2919921875,338.50439453125,1056.749267578125,606.9391479492188,759.20263671875,3652.8076171875,1374.5382080078125,1669.6878662109375,346.5719909667969,281.7407531738281,424.5552978515625,1933.8758544921875
13,14,G7,G,26.0,461.2310791015625,339.8817443847656,1073.4390869140625,602.4308471679688,749.50439453125,3655.178955078125,1365.78466796875,1666.1090087890625,344.9685974121094,282.6055603027344,426.0660705566406,1924.2943115234375
14,15,G7,G,28.0,463.2293701171875,340.7869567871094,1083.3031005859375,601.3643798828125,750.3458862304688,3657.430419921875,1353.0091552734375,1663.95556640625,346.8742980957031,296.1318664550781,431.8984680175781,1944.8011474609375
15,16,G7,G,30.0,461.8837585449219,341.9187316894531,1086.5921630859375,602.172607421875,753.5441284179688,3654.014404296875,1355.48486328125,1664.0496826171875,344.11767578125,288.0118713378906,429.7277526855469,1935.1842041015625
16,17,G7,G,32.0,462.5327453613281,341.8963623046875,1089.154052734375,602.515625,750.8325805664062,3654.908203125,1358.5391845703125,1664.927734375,344.6861572265625,289.2096252441406,429.36083984375,1937.1221923828125
17,18,G7,G,34.0,462.3576354980469,341.999755859375,1089.7376708984375,602.7312622070312,749.85546875,3655.120849609375,1356.292724609375,1664.2637939453125,344.3752746582031,289.2327575683594,429.1803894042969,1936.5155029296875
18,19,G7,G,36.0,462.6557922363281,342.1142272949219,1090.1727294921875,602.9191284179688,749.0562133789062,3654.984375,1356.6754150390625,1664.1943359375,344.4355163574219,290.2365417480469,429.5684814453125,1938.1318359375
19,20,E7,E,38.0,437.0247802734375,449.6507873535156,2659.4140625,1059.0718994140625,3365.3115234375,702.703125,233.96348571777344,256.40716552734375,1377.1614990234375,319.2437438964844,337.1252746582031,1924.2406005859375
20,21,D7,D,40.0,2044.29638671875,792.9757690429688,1834.9844970703125,443.7820739746094,326.0671081542969,731.4741821289062,3772.735595703125,684.439697265625,246.9803009033203,1255.4556884765625,287.174072265625,374.7506408691406
21,22,E7,E,42.0,419.4849853515625,422.9529113769531,2461.071533203125,1060.1839599609375,3346.830078125,610.2072143554688,263.89837646484375,259.4942321777344,1375.2042236328125,319.5948791503906,312.8009033203125,1735.0733642578125
22,23,D7,D,44.0,2036.30517578125,788.4732055664062,1798.328125,428.6944885253906,316.2386779785156,732.502685546875,3874.802001953125,697.94189453125,249.63218688964844,1266.3988037109375,283.49969482421875,359.209716796875
23,24,E7,E,46.0,439.369384765625,417.80126953125,2418.705322265625,1052.239990234375,3340.344482421875,593.9094848632812,264.0663146972656,259.5700988769531,1375.5989990234375,320.22381591796875,335.721435546875,1886.4185791015625
24,25,D7,D,48.0,2034.6751708984375,789.193603515625,1810.5653076171875,429.6451416015625,313.6176452636719,728.0350952148438,3865.261962890625,696.1537475585938,249.33226013183594,1265.6136474609375,285.2049560546875,369.777099609375
25,26,E7,E,50.0,441.7171630859375,419.4317932128906,2431.29736328125,1055.6246337890625,3339.4638671875,591.0171508789062,263.6867370605469,260.1572265625,1376.50341796875,320.0804443359375,337.4701232910156,1904.7020263671875
26,27,D7,D,52.0,3921.3193359375,1444.0374755859375,3391.593505859375,756.6356811523438,544.9823608398438,1301.7882080078125,7183.400390625,1258.6375732421875,442.8764953613281,2308.759033203125,511.6879577636719,690.17919921875
