,Measure,BrazosRiverBreakdown,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmin7,F,0.0,5957.796875,1248.290283203125,1627.4295654296875,7762.92041015625,3402.36328125,3970.979248046875,865.57470703125,1691.376953125,4293.1591796875,951.9127807617188,472.8813781738281,1282.84912109375
1,3,Fmin7,F,4.0,46395.39453125,9287.8896484375,10951.8818359375,53906.97265625,21243.78515625,33146.65234375,7604.97119140625,18026.08984375,65116.21484375,21747.482421875,62571.19921875,17650.6171875
2,11,Bb7,Bb,20.0,1092.0384521484375,1215.3748779296875,5716.10595703125,1691.2530517578125,2006.64990234375,9336.8916015625,2213.260498046875,1735.1204833984375,9846.9677734375,3939.027099609375,10592.9931640625,1740.7598876953125
3,13,Fmin7,F,24.0,23986.080078125,5108.69091796875,7419.94921875,36236.33203125,13718.7802734375,17952.990234375,4053.1240234375,9568.8310546875,36801.9765625,7484.75244140625,2817.385498046875,5203.166015625
4,19,Bb7,Bb,36.0,278.2342224121094,429.7720947265625,2031.1253662109375,714.1511840820312,730.8330078125,3017.44921875,804.7106323242188,737.8374633789062,4532.06884765625,1407.734375,2407.219482421875,441.9166564941406
5,20,B,B,38.0,385.0213317871094,185.22145080566406,629.9603881835938,3395.268798828125,598.7338256835938,769.836669921875,3858.478759765625,1151.877197265625,3846.948486328125,772.3884887695312,881.5068969726562,1881.5443115234375
6,21,Fmin7,F,40.0,155.31858825683594,47.85248947143555,59.83781814575195,194.70872497558594,124.26561737060547,87.49164581298828,34.49286651611328,91.34735107421875,356.9361572265625,89.47052764892578,18.79602813720703,58.00395584106445
7,21,Fmin7,F,40.5,66.45568084716797,17.71721839904785,31.45262336730957,89.29202270507812,38.018096923828125,48.15035629272461,18.952314376831055,28.038137435913086,52.944217681884766,68.69923400878906,317.8849182128906,71.57511901855469
8,21,Emin7,E,41.0,171.9143524169922,59.77956771850586,79.2764663696289,206.3706512451172,120.0134048461914,107.59054565429688,34.00514602661133,65.73612213134766,108.64151763916016,80.7096939086914,304.33319091796875,107.10807037353516
9,21,Ebmin7,Eb,41.5,134.22314453125,66.60941314697266,216.7462921142578,152.39669799804688,249.4657745361328,82.2251968383789,27.0826473236084,100.92707061767578,56.19710159301758,18.448875427246094,31.440523147583008,152.6239776611328
10,22,Dmin7,D,42.0,2121.158935546875,1588.4599609375,1521.6978759765625,2143.343017578125,2138.462158203125,4958.1298828125,2745.355224609375,902.9013671875,412.62353515625,1526.21923828125,1136.6146240234375,772.960693359375
11,23,Dmin7,D,44.0,7.988860607147217,4.037269115447998,9.808433532714844,40.7841911315918,23.654037475585938,19.324716567993164,15.44113826751709,77.89586639404297,536.4393920898438,92.7071304321289,4.731013774871826,3.286823034286499
12,23,Dbmin7,Db,44.66666666666666,145.23748779296875,59.97099685668945,89.02603912353516,37.36787033081055,84.12417602539062,196.00315856933594,64.69986724853516,45.71844482421875,32.12845230102539,141.9335479736328,502.2693176269531,110.73194122314453
13,23,Cmin7,C,45.33333333333334,264.3436584472656,280.6783447265625,153.4197235107422,178.5972137451172,534.0056762695312,438.5528564453125,93.87197875976562,72.41597747802734,224.79429626464844,111.06810760498047,60.107635498046875,242.73744201660156
14,24,Gmin7,G,46.0,854.8012084960938,671.2975463867188,593.1653442382812,1926.4886474609375,1708.0406494140625,1471.2130126953125,442.4316101074219,947.2111206054688,444.8169250488281,400.708984375,989.652587890625,632.6213989257812
15,25,Ab,Ab,48.0,16461.298828125,3609.6611328125,4362.884765625,17824.53125,6137.41943359375,3712.8154296875,1723.8973388671875,5486.20849609375,18828.931640625,3553.346435546875,1393.13134765625,3074.019775390625
