,Measure,Brother Ray,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,G,G,1.5,1267.09130859375,290.7470703125,469.3819885253906,2119.013916015625,1080.4527587890625,881.7318725585938,320.2623596191406,624.91015625,2510.90966796875,1409.6094970703125,318.6541442871094,409.2383728027344
1,3,F7,F,3.0,272.0969543457031,309.155517578125,1252.8524169921875,476.3475646972656,409.6644287109375,1661.9383544921875,484.8665771484375,252.331787109375,937.6396484375,597.0541381835938,1213.2568359375,247.2577362060547
2,4,Bb7,Bb,4.5,1163.8131103515625,273.5106506347656,348.1320495605469,547.9012451171875,2351.37451171875,587.0991821289062,440.0812072753906,2615.975830078125,570.2164916992188,354.4819030761719,1702.0433349609375,597.3092651367188
3,5,C7,C,6.0,334.8182373046875,266.2117004394531,1258.7095947265625,258.37384033203125,190.0640869140625,202.53602600097656,492.0155334472656,2803.071533203125,421.6663513183594,160.73756408691406,412.3316345214844,1328.7801513671875
4,6,G,G,7.5,3913.422119140625,795.7763671875,745.2549438476562,236.8380126953125,584.9924926757812,2199.58154296875,460.3255920410156,316.2494201660156,254.44627380371094,1001.61279296875,937.6598510742188,727.7946166992188
5,7,F,F,9.0,147.92611694335938,275.8474426269531,1279.6812744140625,333.4695739746094,416.6084899902344,1700.1341552734375,466.4066162109375,219.48951721191406,933.5763549804688,631.5911254882812,1199.1644287109375,227.70042419433594
6,8,Bb7,Bb,10.5,1125.4039306640625,247.8281707763672,213.3769989013672,500.9610595703125,2344.117431640625,556.5679931640625,191.35853576660156,888.3367309570312,269.5519104003906,220.95533752441406,1033.8570556640625,489.750732421875
7,9,C7,C,12.0,324.018310546875,228.70361328125,1177.6005859375,246.00042724609375,188.84925842285156,152.54237365722656,217.64666748046875,933.70263671875,171.35223388671875,112.07965087890625,224.39007568359375,1295.2467041015625
8,10,G,G,13.5,1245.6278076171875,282.1282043457031,454.6045227050781,2139.208740234375,1134.984130859375,849.9192504882812,318.5022277832031,615.8912963867188,2452.510009765625,1402.8038330078125,337.7485046386719,407.0887145996094
9,11,F7,F,15.0,273.7393798828125,323.0754089355469,1339.5284423828125,427.6075744628906,401.74658203125,1610.5386962890625,474.8441162109375,243.2053985595703,935.3770141601562,613.0604858398438,1208.84375,241.04371643066406
10,12,Bb7,Bb,16.5,1171.6583251953125,277.3246765136719,356.9258728027344,551.784912109375,2350.70947265625,587.63232421875,440.3111572265625,2616.871826171875,570.4901123046875,357.6778869628906,1719.95556640625,599.9756469726562
11,13,C7,C,18.0,528.1446533203125,1251.7171630859375,837.4767456054688,1956.0447998046875,504.6387023925781,205.44676208496094,398.7628479003906,2466.037841796875,480.3861389160156,237.62559509277344,1220.9234619140625,327.6958923339844
12,14,Eb7,Eb,19.5,108.853515625,90.48751068115234,101.7542953491211,476.8687438964844,161.04689025878906,85.973388671875,24.46239471435547,85.6155014038086,16.896419525146484,12.500300407409668,56.16622543334961,25.628759384155273
13,16,E7sus(07),E,22.5,2064.294677734375,402.4280090332031,299.1668395996094,257.6474609375,968.906494140625,944.10205078125,293.4524841308594,463.1753234863281,231.45326232910156,573.1843872070312,2075.974609375,834.9777221679688
14,17,F7sus(07),F,24.0,324.8812561035156,259.902587890625,1439.4537353515625,303.8626403808594,151.46531677246094,337.0446472167969,497.8056335449219,2719.81005859375,507.9126892089844,157.6105499267578,214.17311096191406,1122.6510009765625
15,18,G,G,25.5,3265.552978515625,1873.93408203125,2139.611083984375,2400.672119140625,1261.9901123046875,1067.65771484375,395.5860900878906,1058.5098876953125,585.218505859375,1438.8414306640625,1521.1160888671875,870.3499145507812
16,19,F13,F,27.0,156.9361114501953,308.416259765625,1383.2252197265625,400.1783142089844,364.0668640136719,1588.46240234375,402.10009765625,71.19296264648438,103.51461791992188,486.8907165527344,1193.0032958984375,211.082763671875
17,20,Bb,Bb,28.5,1163.0535888671875,259.8964538574219,231.89752197265625,499.6669616699219,2334.624267578125,567.3201293945312,195.9730682373047,905.0545043945312,251.5606231689453,215.3315887451172,1039.93603515625,506.896484375
18,21,C7,C,30.0,394.7448425292969,273.4626159667969,1463.0966796875,332.62469482421875,265.8936462402344,200.18516540527344,399.3081359863281,2225.828857421875,403.6402893066406,177.40296936035156,429.3667297363281,1333.6259765625
