,Measure,CapeVerdeanBlues,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Eb,Eb,0.0,3005.50390625,955.8794555664062,2160.875244140625,9180.5771484375,1723.4786376953125,634.2691040039062,1703.9429931640625,10569.75390625,1688.8516845703125,1011.3110961914062,5311.58935546875,1677.45947265625
1,3,Cmin7,C,4.0,758.427734375,165.87403869628906,251.8142547607422,1264.1507568359375,308.4147033691406,49.273284912109375,116.0251693725586,683.5057983398438,111.49127960205078,83.34619140625,453.986572265625,222.8880157470703
2,4,Cmin(maj7),C,6.0,661.7544555664062,133.243896484375,251.98338317871094,1310.9775390625,299.7329406738281,46.1964225769043,109.49059295654297,630.43408203125,91.2867660522461,22.26818084716797,139.7510223388672,662.5424194335938
3,5,Cmin7,C,8.0,2528.072998046875,495.4516296386719,757.6494750976562,4120.08935546875,909.797119140625,133.51779174804688,321.3132019042969,2063.927978515625,346.0340270996094,206.78355407714844,1134.7110595703125,612.037109375
4,7,G7,G,12.0,131.93106079101562,93.14134979248047,351.9322204589844,146.8422393798828,253.38812255859375,1365.9560546875,338.2489013671875,403.8646545410156,80.27606964111328,86.04132843017578,148.17933654785156,649.0388793945312
5,8,Ab7,Ab,14.0,584.5944213867188,148.08258056640625,303.6963195800781,1275.6129150390625,302.12530517578125,276.99578857421875,1075.380615234375,303.3932800292969,256.2856750488281,46.09439468383789,57.45305252075195,134.65199279785156
6,9,G7,G,16.0,714.9458618164062,796.673583984375,4078.225830078125,1394.5494384765625,1432.28466796875,7829.70458984375,2216.849853515625,1818.5865478515625,442.4436340332031,1298.9923095703125,923.1021118164062,3427.280517578125
7,12,Ab7,Ab,22.0,569.5311889648438,138.4261016845703,261.6749267578125,1255.9793701171875,286.23907470703125,183.09642028808594,1018.4482421875,294.34375,254.20130920410156,42.94410705566406,47.31063461303711,103.89197540283203
8,13,G7,G,24.0,133.47059631347656,100.99053192138672,368.5319519042969,252.2915496826172,270.2046813964844,1365.1783447265625,399.1708068847656,438.3810729980469,89.9805908203125,87.2026138305664,142.70733642578125,598.0364990234375
9,14,Db7,Db,26.0,235.12486267089844,641.1121215820312,199.59571838378906,403.8578186035156,324.34210205078125,1496.3973388671875,293.7170715332031,176.31858825683594,336.9123840332031,90.02737426757812,146.80540466308594,466.5510559082031
10,15,Cmin7,C,28.0,781.4625854492188,192.9973602294922,255.0333709716797,1250.5960693359375,322.9988708496094,143.04537963867188,134.9102020263672,691.4192504882812,115.97075653076172,81.49507904052734,446.3637390136719,234.9547119140625
11,16,Cmin(maj7),C,30.0,654.2998046875,139.10548400878906,256.2777404785156,1313.4991455078125,304.5111389160156,85.12879180908203,116.35757446289062,627.6325073242188,94.01589965820312,24.058984756469727,131.52577209472656,610.2205200195312
12,17,Cmin7,C,32.0,174.01246643066406,43.81163024902344,84.50101470947266,369.1927490234375,100.5800552368164,21.372093200683594,38.1052131652832,193.39796447753906,59.51018142700195,33.77608871459961,150.1527862548828,59.69346618652344
13,17,Eb,Eb,33.0,262.14471435546875,153.07945251464844,772.989013671875,4036.787109375,643.8159790039062,185.38404846191406,582.1381225585938,3424.673583984375,775.284912109375,218.7794647216797,979.638427734375,278.7977600097656
14,19,Cmin7,C,36.0,174.3745574951172,42.12432861328125,79.88457489013672,357.7398986816406,98.05828857421875,17.579992294311523,34.730342864990234,186.02162170410156,29.901687622070312,27.27825164794922,144.70957946777344,57.87178039550781
15,19,Eb,Eb,37.0,306.4830627441406,334.9453430175781,1391.1298828125,5782.29541015625,1092.2689208984375,335.3711242675781,826.5610961914062,5032.818359375,866.114501953125,612.3779907226562,3538.577880859375,775.5849609375
16,21,Bb7,Bb,40.0,38.95802688598633,122.55722045898438,673.04931640625,184.77012634277344,243.2132568359375,1288.937744140625,238.94459533691406,90.3031997680664,276.1698303222656,426.7740478515625,1959.8758544921875,291.8552551269531
17,22,B7,B,42.0,120.5180435180664,60.08137512207031,266.764892578125,1346.8453369140625,234.53009033203125,301.86785888671875,1255.134765625,223.7570343017578,67.44000244140625,306.134765625,187.18658447265625,603.2415771484375
18,23,Bb7,Bb,44.0,44.29246520996094,122.9602279663086,675.2483520507812,179.55455017089844,245.7892303466797,1318.9447021484375,307.2727966308594,78.05033111572266,281.3357849121094,274.6452331542969,820.019775390625,179.76686096191406
19,24,Bb7,Bb,46.0,65.32711791992188,125.22509765625,691.506591796875,288.3847961425781,293.2331237792969,1331.356689453125,279.9976806640625,581.1014404296875,3873.1220703125,786.3590698242188,812.0632934570312,170.00401306152344
20,25,Cmin7,C,48.0,573.5162353515625,132.2605743408203,294.9165344238281,1305.4832763671875,312.44366455078125,147.61602783203125,350.7492370605469,2346.4287109375,355.1685791015625,78.72840118408203,423.4940185546875,178.91831970214844
21,26,Cmin(maj7),C,50.0,653.8738403320312,132.57420349121094,259.6060791015625,1313.765380859375,300.5684814453125,83.78404998779297,122.84075927734375,668.0626831054688,99.09738159179688,24.139244079589844,141.38681030273438,668.6544189453125
22,27,Cmin7,C,52.0,1602.1219482421875,369.9808044433594,1032.3399658203125,4169.22607421875,833.6427612304688,186.3617401123047,1050.6639404296875,7078.74560546875,1093.656494140625,217.87989807128906,1129.5789794921875,522.9859008789062
23,29,D7,D,56.0,1769.541015625,710.8564453125,2087.495849609375,408.7508239746094,95.54512786865234,471.2177734375,2949.719970703125,495.528564453125,202.51097106933594,1164.898681640625,241.1254425048828,305.2167663574219
24,31,Ab7,Ab,60.0,548.9329833984375,139.44448852539062,271.10009765625,1265.8365478515625,292.0320129394531,211.17088317871094,1031.88916015625,302.029541015625,260.5609436035156,54.07453536987305,47.43759536743164,98.93622589111328
25,32,G7,G,62.0,171.31263732910156,494.5928039550781,3137.822021484375,725.5154418945312,307.1811828613281,1420.6470947265625,452.74853515625,470.4790344238281,124.93655395507812,153.1342010498047,180.1845703125,614.0866088867188
26,33,Cmin7,C,64.0,575.677001953125,135.63833618164062,300.1365966796875,1289.4796142578125,312.544189453125,139.62745666503906,303.0768127441406,1700.1923828125,240.82861328125,88.02651977539062,439.5023193359375,192.85707092285156
27,34,Cmin(maj7),C,66.0,668.8986206054688,132.61050415039062,260.0824279785156,1321.3638916015625,302.85546875,88.48572540283203,129.79364013671875,691.8677368164062,98.6019515991211,21.62505531311035,159.1077423095703,801.7167358398438
28,35,Cmin7,C,68.0,171.7818603515625,42.051517486572266,83.82832336425781,371.2981872558594,100.07604217529297,19.38498878479004,35.02170181274414,184.26708984375,29.44769287109375,26.99409294128418,145.0032196044922,61.07925033569336
29,35,Eb,Eb,69.0,156.68548583984375,120.81299591064453,764.7310180664062,3872.9638671875,620.9446411132812,170.16941833496094,556.7821044921875,3416.594482421875,538.0670166015625,152.0194854736328,821.3106079101562,223.1073455810547
30,37,Cmin7,C,72.0,178.46434020996094,54.36642837524414,120.80352020263672,406.682373046875,120.6045913696289,31.976839065551758,62.510257720947266,308.3288269042969,54.116153717041016,34.68098831176758,159.81114196777344,77.31502532958984
31,37,Eb,Eb,73.0,184.8144073486328,52.26724624633789,56.749664306640625,308.7791442871094,70.13880157470703,24.320589065551758,38.218936920166016,145.4108428955078,24.817556381225586,17.8828182220459,83.4634780883789,55.75832748413086
32,38,Cmin7,C,74.0,748.5734252929688,167.087646484375,296.6065368652344,1287.917724609375,293.2702941894531,186.6273193359375,231.02491760253906,1245.957763671875,222.4838104248047,622.3876953125,4293.49072265625,744.1222534179688
33,39,Cmin(maj7),C,76.0,2049.93115234375,421.9190368652344,727.4934692382812,4001.339111328125,824.1627807617188,116.36490631103516,307.8738708496094,1808.7255859375,274.1098327636719,79.552001953125,426.9771728515625,1881.63525390625
34,41,Cmin7,C,80.0,2573.80517578125,500.0091552734375,740.766357421875,4027.19921875,899.6964721679688,133.4827117919922,321.8348083496094,2071.390869140625,347.593017578125,207.4281463623047,1136.2520751953125,610.6309204101562
35,43,G7,G,84.0,132.08348083496094,93.13581085205078,351.98681640625,146.4859619140625,253.4285125732422,1365.9710693359375,338.103759765625,403.7772521972656,80.23509216308594,85.95543670654297,148.1344757080078,651.1105346679688
36,44,Ab7,Ab,86.0,585.9605102539062,148.27169799804688,303.6996154785156,1275.5777587890625,302.2405700683594,277.0124206542969,1075.42236328125,303.4287109375,256.2979431152344,46.10257339477539,57.60957336425781,136.0624237060547
37,45,G7,G,88.0,397.9162902832031,385.0636901855469,1824.7666015625,670.1610717773438,790.0432739257812,4356.7861328125,1195.0032958984375,1046.23388671875,237.83631896972656,555.193359375,479.31005859375,1892.3822021484375
38,47,G7,G,92.0,131.6069793701172,97.45376586914062,346.7996826171875,126.38235473632812,251.13665771484375,1391.0948486328125,329.7494812011719,419.992919921875,90.58562469482422,101.9193344116211,138.1766815185547,604.8707275390625
39,48,Ab7,Ab,94.0,583.700927734375,147.9298095703125,302.33062744140625,1267.8428955078125,301.537109375,275.37957763671875,1070.1107177734375,299.1817321777344,256.8012390136719,45.810855865478516,54.845699310302734,132.02793884277344
40,49,G7,G,96.0,134.28074645996094,100.78964233398438,367.3740234375,251.4488983154297,270.5553894042969,1364.643310546875,397.8916931152344,438.1434020996094,89.76294708251953,86.5140380859375,143.39474487304688,603.3661499023438
41,50,Db7,Db,98.0,235.1272735595703,641.1090698242188,199.6075897216797,403.8670349121094,324.3372497558594,1496.3734130859375,293.7118835449219,176.31922912597656,336.9135437011719,90.02819061279297,146.80885314941406,466.5653991699219
42,51,Cmin7,C,100.0,875.3771362304688,195.8268280029297,254.38043212890625,1251.5985107421875,314.52679443359375,142.69700622558594,136.7200469970703,706.6825561523438,117.544921875,80.30191802978516,441.1466979980469,241.7881317138672
43,52,Cmin(maj7),C,102.0,640.6813354492188,137.97288513183594,256.3121032714844,1313.6348876953125,306.2841796875,85.32080841064453,116.26107788085938,627.3410034179688,94.03133392333984,24.10944175720215,131.78424072265625,608.6118774414062
44,53,Cmin7,C,104.0,16551.7109375,2737.23828125,2996.5546875,17240.845703125,3371.055419921875,653.8065795898438,1094.509033203125,6164.60595703125,951.1806030273438,684.19140625,4003.201416015625,3451.567138671875
45,59,Cmin7,C,116.0,3152.336181640625,503.7910461425781,472.1392517089844,2565.025634765625,570.35205078125,85.14679718017578,207.42132568359375,1187.4893798828125,179.4735565185547,124.70654296875,730.2512817382812,661.1874389648438
