,Measure,Caravan,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C7,C,0.0,3102.677001953125,582.0968627929688,302.9403076171875,818.558837890625,3840.531494140625,675.3566284179688,302.34161376953125,1735.1165771484375,465.3539123535156,343.9508972167969,1702.1392822265625,952.36181640625
1,2,Db7,Db,2.0,796.0802612304688,1696.83935546875,381.61767578125,277.6278991699219,784.65087890625,3842.579345703125,722.0385131835938,258.13653564453125,1271.3394775390625,298.3765563964844,351.9984436035156,1964.26708984375
2,3,C7,C,4.0,1821.00390625,488.1197814941406,293.1678466796875,765.5505981445312,3811.686279296875,764.6701049804688,284.7653503417969,1485.8126220703125,450.736572265625,343.388916015625,1686.5064697265625,807.4175415039062
3,4,C7,C,6.0,1933.49755859375,430.4837341308594,310.5294494628906,779.78369140625,3765.507568359375,831.9390258789062,352.0047912597656,1735.5084228515625,470.4926452636719,722.1679077148438,4427.85986328125,1196.9283447265625
4,5,C6,C,8.0,1900.8587646484375,518.7151489257812,257.3531188964844,746.6992797851562,3637.59375,788.4241333007812,366.7225341796875,1694.1290283203125,588.5797729492188,2031.8516845703125,5036.669921875,1283.1329345703125
5,6,Db7,Db,10.0,818.5478515625,1697.3875732421875,379.837646484375,276.9967346191406,784.8080444335938,3843.6298828125,722.8463745117188,259.40374755859375,1277.712890625,315.0944519042969,373.4459228515625,1966.9425048828125
6,7,C7,C,12.0,6533.533203125,1535.3533935546875,688.7954711914062,2103.8408203125,11258.42578125,2256.591796875,824.1043090820312,4566.53515625,1340.7633056640625,934.5991821289062,4670.34912109375,2323.653564453125
7,9,C7,C,16.0,1841.7188720703125,396.7497253417969,304.3953552246094,775.5700073242188,3789.431884765625,822.9749145507812,340.0326843261719,1686.52880859375,467.1111145019531,724.9775390625,4449.58154296875,1190.997802734375
8,10,Db7,Db,18.0,816.0712280273438,1696.53955078125,381.3882141113281,278.5787658691406,785.825927734375,3840.0029296875,721.30322265625,256.7259216308594,1269.0743408203125,299.5685729980469,360.8717956542969,1967.509765625
9,11,C7,C,20.0,6535.67236328125,1368.7425537109375,670.4347534179688,2119.92431640625,11249.234375,2250.359619140625,905.2935180664062,4574.82763671875,1265.6845703125,918.448486328125,4748.73681640625,2531.18798828125
10,13,Fmin6,F,24.0,16573.98828125,4382.35986328125,13626.6611328125,2970.058837890625,5016.7177734375,25860.353515625,4451.60888671875,2006.5625,7997.912109375,2057.766357421875,716.321533203125,2513.257568359375
11,17,F7,F,32.0,11234.6259765625,2340.007080078125,3299.491943359375,17314.2578125,7844.21728515625,8498.478515625,1588.0836181640625,1612.41162109375,1974.6907958984375,6964.80908203125,1721.29541015625,2264.281005859375
12,20,F7,F,38.0,2073.089111328125,457.8428955078125,668.1333618164062,3295.242919921875,1625.9439697265625,1383.1243896484375,292.8929748535156,352.2511291503906,511.5870056152344,1670.73974609375,419.4578552246094,464.2895812988281
13,21,Bb7,Bb,40.0,2127.153076171875,1379.6259765625,5786.416015625,1682.32275390625,2287.67236328125,9776.4287109375,2210.370849609375,1075.8306884765625,3728.404541015625,2328.214599609375,5310.21337890625,1119.6051025390625
14,23,Fmin7,F,44.0,5166.63671875,949.8623046875,629.1150512695312,2636.80859375,1169.1495361328125,1280.5313720703125,297.7530212402344,742.8333129882812,1702.08203125,383.6042175292969,203.60528564453125,985.88330078125
15,24,Bb7,Bb,46.0,327.14874267578125,428.7022705078125,2052.256103515625,578.9107055664062,715.0488891601562,3120.387939453125,772.9998168945312,289.99041748046875,1419.64794921875,868.0925903320312,1955.1595458984375,376.9231262207031
16,25,Eb7,Eb,48.0,1807.8690185546875,9046.095703125,5020.66015625,17640.728515625,3345.177734375,1608.0750732421875,1403.0023193359375,7703.56982421875,1639.58203125,1538.8892822265625,8599.6552734375,1935.1461181640625
17,28,Eb9,Eb,54.0,158.76890563964844,567.9492797851562,373.04833984375,383.8607177734375,289.91497802734375,948.1790161132812,304.0782470703125,498.1016540527344,184.8848419189453,217.01800537109375,583.2100219726562,140.63812255859375
18,28,Eb7(b9),Eb,55.0,134.21290588378906,541.7284545898438,496.4236755371094,563.3733520507812,1144.04052734375,536.6161499023438,291.784912109375,1258.7491455078125,325.2987365722656,216.2437286376953,598.8953247070312,180.538818359375
19,29,Abmaj7,Ab,56.0,8665.3662109375,2464.3271484375,2596.192626953125,10545.455078125,4464.19287109375,1269.7298583984375,1047.3624267578125,6290.79296875,7175.39111328125,1288.2802734375,637.0638427734375,1916.99365234375
20,31,C7,C,60.0,532.1119384765625,150.4833526611328,190.5446319580078,294.09027099609375,1103.2257080078125,223.69447326660156,239.2496795654297,1467.65576171875,311.3356018066406,129.9166717529297,529.6471557617188,266.8637390136719
21,31,Fmin6,F,61.0,81.11433410644531,20.764766693115234,70.60176086425781,55.74974060058594,171.65814208984375,56.67488098144531,172.6866455078125,1164.8321533203125,187.7589111328125,12.88237476348877,37.47701644897461,36.08147048950195
22,32,Ebdim7,Eb,62.0,711.6671752929688,212.97857666015625,417.6176452636719,974.4584350585938,248.71156311035156,605.0302124023438,1218.6326904296875,775.066162109375,251.4856414794922,457.5550231933594,112.11758422851562,121.87405395507812
23,32,C7,C,63.0,82.49665832519531,22.468055725097656,35.75837326049805,170.2962188720703,45.37051773071289,82.82548522949219,115.20430755615234,35.6675910949707,15.339825630187988,22.680585861206055,8.049394607543945,12.082289695739746
24,33,Gdim7,G,64.0,1753.4466552734375,427.5414123535156,130.41529846191406,417.557861328125,1781.6884765625,465.3919677734375,233.95379638671875,910.9472045898438,260.5086975097656,167.1212158203125,615.2876586914062,382.5195007324219
25,34,Db7,Db,66.0,787.8314819335938,1713.7027587890625,422.7734375,335.3338317871094,856.0922241210938,3620.818359375,716.3750610351562,265.6221618652344,1275.3779296875,309.2545166015625,374.9365234375,2039.0118408203125
26,35,Gdim7,G,68.0,1508.2208251953125,5910.97802734375,2433.245849609375,2048.0771484375,10630.1240234375,4119.35009765625,1421.318359375,4589.47412109375,1932.99462890625,1493.1719970703125,5244.70068359375,1298.6763916015625
27,37,Gdim7,G,72.0,403.8830261230469,1850.32568359375,850.8283081054688,713.5142211914062,3552.3095703125,1413.7520751953125,573.0838012695312,1728.5155029296875,636.2586669921875,1104.171875,5863.24609375,1055.177490234375
28,38,Abdim7,Ab,74.0,443.0550231933594,462.5227966308594,2192.08251953125,1213.8546142578125,895.292724609375,3818.039306640625,1009.885986328125,523.2879638671875,1627.89794921875,516.3690795898438,433.8224182128906,1843.2698974609375
29,39,Gdim7,G,76.0,1659.3740234375,3031.700439453125,1645.6463623046875,1183.2420654296875,5340.275390625,2404.16943359375,808.2593383789062,2639.2373046875,1006.1889038085938,760.41064453125,2799.475830078125,995.1370239257812
30,41,Gdim7,G,80.0,400.087890625,1837.4703369140625,940.4452514648438,727.1067504882812,3539.160888671875,1403.44140625,573.2860107421875,1744.2969970703125,650.1566772460938,1108.042724609375,5868.76123046875,1062.9879150390625
31,42,Db7,Db,82.0,776.2787475585938,1689.32861328125,381.3865051269531,283.8868713378906,815.48974609375,4036.440673828125,747.8894653320312,242.4842071533203,1273.3033447265625,297.8489074707031,360.6318664550781,2017.7681884765625
32,43,Gdim7,G,84.0,2106.41357421875,5420.787109375,2314.230712890625,2040.30712890625,10663.6806640625,4110.93701171875,1500.1937255859375,4822.3330078125,1727.9205322265625,1450.8695068359375,5329.603515625,1615.9869384765625
33,45,Fmin7,F,88.0,23291.783203125,4971.51513671875,6091.13525390625,30087.517578125,10945.23046875,15645.19140625,2815.754638671875,5400.75,12751.6318359375,3344.487548828125,1563.5628662109375,4474.61669921875
