,Measure,Centerpiece,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Ab7,Ab,2.0,61.063594818115234,21.101293563842773,39.10811996459961,227.15753173828125,80.58615112304688,209.66456604003906,101.71814727783203,232.23797607421875,1485.9267578125,254.0436553955078,14.084189414978027,21.88078498840332
1,3,Db7,Db,4.0,845.8195190429688,392.5522766113281,317.65045166015625,1261.2435302734375,544.6985473632812,1192.4412841796875,1856.72607421875,734.32470703125,1917.41162109375,503.1387939453125,592.3142700195312,293.6215515136719
2,4,Ab7,Ab,6.0,809.0416870117188,275.3054504394531,342.2736511230469,1378.5228271484375,448.1449279785156,462.1765441894531,1755.712890625,636.2034301757812,784.744384765625,166.7329559326172,163.61492919921875,211.8968505859375
3,5,Ab7,Ab,8.0,458.6567077636719,798.0321655273438,233.76502990722656,344.6180114746094,478.6498107910156,2290.064453125,490.2994079589844,384.9296875,1926.2064208984375,496.0667419433594,591.9959106445312,943.2811889648438
4,6,Db7,Db,10.0,116.3302993774414,196.83802795410156,87.25162506103516,414.794921875,239.5352020263672,831.450927734375,244.186279296875,931.6443481445312,6427.49755859375,1211.5723876953125,1383.9755859375,310.28387451171875
5,8,Ab7,Ab,14.0,802.556396484375,256.8697204589844,339.7180480957031,1373.31787109375,441.6627502441406,409.4819030761719,1738.9268798828125,633.3265991210938,773.7236328125,164.6671600341797,162.4259490966797,208.57745361328125
6,9,Ab7,Ab,16.0,332.6766357421875,807.4075317382812,242.5866241455078,327.87646484375,441.5100402832031,1975.9801025390625,429.6613464355469,389.6287536621094,1965.53466796875,706.5121459960938,1359.3465576171875,286.3778381347656
7,10,Bbmi7,Bb,18.0,211.1504669189453,962.7267456054688,500.494384765625,1543.43701171875,368.7363586425781,352.6992492675781,212.7844696044922,909.2362670898438,1790.5999755859375,443.4380798339844,856.0752563476562,223.9795379638672
8,11,Eb7,Eb,20.0,828.1807250976562,314.9111022949219,316.5283508300781,1248.6505126953125,473.5541687011719,735.200927734375,1716.3782958984375,765.4507446289062,2005.3597412109375,502.4888916015625,573.3104858398438,262.3553161621094
9,12,Ab7,Ab,22.0,202.856689453125,886.423828125,561.4403686523438,1737.666015625,371.1264953613281,178.5113525390625,279.0877380371094,767.8897094726562,188.61700439453125,184.1251678466797,915.7422485351562,245.49107360839844
10,13,Eb7,Eb,24.0,910.7389526367188,380.7969665527344,369.3684387207031,1416.8924560546875,526.3854370117188,725.5517578125,1863.7469482421875,1119.50830078125,4301.83837890625,891.9603881835938,628.3187866210938,537.2979125976562
11,14,Ab7,Ab,26.0,499.8144836425781,773.41650390625,239.88438415527344,386.2753601074219,448.8369445800781,1946.5731201171875,586.6824340820312,521.1488647460938,2631.66455078125,492.8065490722656,269.8964538574219,1438.2869873046875
12,15,Db7,Db,28.0,922.3707885742188,403.9505310058594,358.4932861328125,1436.896484375,556.0294799804688,838.0138549804688,1865.8173828125,1075.7066650390625,4261.78759765625,889.7505493164062,662.3726196289062,580.5614013671875
13,16,Ab7,Ab,30.0,1436.18896484375,366.8869934082031,337.1629638671875,1359.1783447265625,502.5957946777344,451.6801452636719,1784.7080078125,1188.5084228515625,3976.532958984375,722.7770385742188,353.493408203125,314.6976013183594
14,17,Ab7,Ab,32.0,574.2646484375,859.9324340820312,277.3152770996094,518.1028442382812,548.3167724609375,2342.396240234375,654.3480224609375,722.2490234375,4173.24755859375,871.6292114257812,687.5676879882812,1517.6466064453125
15,18,Db7,Db,34.0,303.5638427734375,397.7000427246094,172.34666442871094,540.5755004882812,273.6666259765625,922.784423828125,685.5264282226562,1246.3292236328125,7532.38623046875,1397.1826171875,1516.3204345703125,1280.177001953125
16,20,Ab7,Ab,38.0,1432.3568115234375,352.0230712890625,334.6142883300781,1354.4482421875,500.9195556640625,424.4411315917969,1772.1138916015625,1186.5535888671875,3957.896484375,717.516845703125,349.6484069824219,315.9879455566406
17,21,Ab7,Ab,40.0,402.2483825683594,861.3154296875,282.2694091796875,503.1565856933594,505.86083984375,1994.4967041015625,574.0545654296875,711.9240112304688,4181.54248046875,1082.7830810546875,1408.75048828125,549.5436401367188
18,22,Bbmi7,Bb,42.0,256.799072265625,982.1065063476562,531.4420166015625,1595.3172607421875,375.7198181152344,381.1737976074219,368.6778564453125,1043.841552734375,2341.271728515625,533.0304565429688,886.0615844726562,472.138916015625
19,23,Eb7,Eb,44.0,917.9415893554688,413.8589172363281,370.0513916015625,1415.5184326171875,532.7108764648438,761.1926879882812,1787.78515625,1106.4652099609375,4354.88916015625,900.2539672851562,634.593017578125,534.1668090820312
20,24,Ab7,Ab,46.0,1433.9122314453125,353.9825134277344,335.22540283203125,1354.3275146484375,501.333740234375,424.583984375,1772.77001953125,1194.6492919921875,3957.0009765625,716.775634765625,341.8370666503906,315.42474365234375
21,25,Ab7,Ab,48.0,70.4502944946289,19.806865692138672,51.2476692199707,278.7795715332031,52.13669204711914,32.78770446777344,116.12091827392578,26.03963279724121,12.28763198852539,4.77151346206665,15.761197090148926,17.798065185546875
