,Measure,Chameleon,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Bbmin7,Bb,2.0,1672.0025634765625,1156.2431640625,353.73388671875,85.27461242675781,121.0231704711914,471.5556945800781,115.30160522460938,95.24530029296875,92.45052337646484,50.42509841918945,114.55309295654297,258.1963195800781
1,3,Eb7,Eb,4.0,125.24642181396484,214.1298065185547,183.47607421875,462.6690368652344,146.1353302001953,184.9272003173828,359.6256103515625,1913.3509521484375,872.684326171875,276.33734130859375,150.6669158935547,160.1372833251953
2,4,Bbmin7,Bb,6.0,76.23918914794922,379.9530029296875,80.59555053710938,67.96442413330078,102.6617660522461,476.9510192871094,85.10572052001953,45.56349182128906,159.41407775878906,250.86810302734375,1175.8966064453125,223.83746337890625
3,5,Eb7,Eb,8.0,45.33451461791992,117.35782623291016,114.47435760498047,447.6300354003906,101.37250518798828,173.8206787109375,53.8128662109375,176.0562286376953,809.8466796875,419.4578857421875,1758.6873779296875,263.7945556640625
4,6,Bbmin7,Bb,10.0,32.186283111572266,167.7141876220703,41.92791748046875,57.706783294677734,87.11141967773438,436.6864929199219,72.76170349121094,26.563032150268555,71.53959655761719,21.75133514404297,24.395566940307617,8.384612083435059
5,7,Eb7,Eb,12.0,23.344970703125,107.7906265258789,94.22168731689453,393.9897155761719,72.75921630859375,72.39049530029297,17.740629196166992,50.56350326538086,15.523208618164062,13.731353759765625,53.65470504760742,11.216139793395996
6,8,Bbmin7,Bb,14.0,100.98419189453125,634.7617797851562,123.79352569580078,117.1913070678711,125.9370346069336,478.4379577636719,80.39765167236328,53.651119232177734,259.2799072265625,64.05329132080078,25.899232864379883,18.83307647705078
7,9,Eb7,Eb,16.0,65.69099426269531,226.8035430908203,129.39346313476562,448.8070983886719,103.27505493164062,176.79315185546875,54.3577880859375,177.1659393310547,815.6242065429688,477.6665344238281,2145.543212890625,320.3239440917969
8,10,Bbmin7,Bb,18.0,34.50370788574219,185.008056640625,44.53053665161133,57.161808013916016,87.12335968017578,439.7428283691406,82.50928497314453,24.714584350585938,70.73412322998047,24.513906478881836,42.90693664550781,10.104575157165527
9,11,Ebmin7,Eb,20.0,20.826993942260742,102.0172348022461,104.95442962646484,404.2436828613281,68.9884262084961,104.02489471435547,193.4691925048828,36.997188568115234,7.5498576164245605,12.290419578552246,53.68905258178711,10.726899147033691
10,12,Bb,Bb,22.0,1674.2362060546875,10255.9033203125,3134.869384765625,3764.429443359375,1665.8818359375,4230.97265625,1193.5025634765625,1834.1268310546875,8837.1611328125,2258.265380859375,3751.162109375,884.65478515625
11,16,Bbmin7,Bb,30.0,26.00425910949707,136.4899444580078,31.014381408691406,20.352880477905273,75.44644165039062,431.0703430175781,71.6157455444336,14.243000984191895,42.03598403930664,14.319564819335938,20.449586868286133,5.922891139984131
12,17,Eb7,Eb,32.0,23.308279037475586,107.63555145263672,94.93566131591797,393.9651794433594,72.95812225341797,72.49893951416016,17.805768966674805,50.42348861694336,15.519892692565918,13.7045316696167,53.53271484375,11.192078590393066
13,18,Bbmin7,Bb,34.0,23.64589500427246,115.82483673095703,32.083831787109375,54.6791877746582,83.39878845214844,427.9154357910156,71.00630950927734,23.80594825744629,43.078800201416016,14.442084312438965,21.73333740234375,6.208226680755615
14,19,Eb7,Eb,36.0,21.4300594329834,104.2693099975586,98.29959106445312,395.3666076660156,72.46961212158203,70.59268951416016,18.20647621154785,49.65177917480469,10.794921875,13.068706512451172,52.92999267578125,10.539737701416016
15,20,Bb,Bb,38.0,6322.58251953125,39503.1875,10452.595703125,11056.1787109375,5059.76904296875,11170.9814453125,2762.243896484375,5363.67041015625,22182.310546875,6779.81494140625,17033.931640625,3709.991455078125
16,28,Bbmin7,Bb,54.0,958.9931030273438,518.1566772460938,121.52678680419922,61.19148254394531,202.7159423828125,839.7157592773438,171.4164276123047,69.06647491455078,144.9395294189453,128.79296875,553.1702270507812,1132.677490234375
17,29,Db7sus(07),Db,56.0,2043.31494140625,1052.7158203125,159.92591857910156,91.62646484375,64.66742706298828,173.79685974121094,226.60325622558594,106.2298583984375,79.30006408691406,86.32693481445312,299.11700439453125,896.1652221679688
18,30,Bbmin7,Bb,58.0,1116.5093994140625,357.0208435058594,66.61113739013672,40.362735748291016,96.80713653564453,466.8775329589844,135.6917266845703,64.51898956298828,91.71704864501953,108.2251968383789,556.009765625,1176.2274169921875
19,31,Db7sus(07),Db,60.0,2011.4791259765625,904.546630859375,134.4524688720703,93.10063934326172,62.40386962890625,158.86126708984375,221.00732421875,102.5220947265625,67.00440216064453,79.93190002441406,300.5115051269531,886.6027221679688
20,32,Bbmin7,Bb,62.0,46.34596252441406,156.14126586914062,30.74567985534668,15.258570671081543,78.9486312866211,448.1947326660156,85.03951263427734,16.49431037902832,57.301761627197266,18.92454719543457,34.77260208129883,14.838272094726562
21,33,Db7,Db,64.0,30.77227020263672,136.02430725097656,23.086950302124023,10.888877868652344,75.40801239013672,448.4239501953125,79.7806625366211,11.176459312438965,44.8512077331543,17.304901123046875,26.560091018676758,47.61915969848633
22,34,Bbmin7,Bb,66.0,28.355262756347656,134.21856689453125,27.620981216430664,12.671597480773926,76.73285675048828,442.7330017089844,75.31861114501953,11.77568531036377,44.95052719116211,14.320807456970215,17.307758331298828,11.37662410736084
23,35,Db7,Db,68.0,27.400739669799805,130.50296020507812,26.860145568847656,11.460638999938965,74.29378509521484,445.411865234375,76.45689392089844,9.361132621765137,39.07123947143555,15.147006034851074,17.356836318969727,45.47789001464844
24,36,Bb,Bb,70.0,1801.02734375,11093.5390625,3181.34375,3370.955322265625,1601.8038330078125,4220.22607421875,869.95849609375,1789.9132080078125,8933.6328125,2304.235107421875,3993.081298828125,937.7948608398438
25,40,Bbmin7,Bb,78.0,28.08125877380371,135.39761352539062,28.202726364135742,12.31816577911377,76.37442016601562,442.1188049316406,73.6349105834961,11.66140079498291,45.580623626708984,14.394951820373535,16.33945655822754,9.444840431213379
26,41,Db7,Db,80.0,29.167388916015625,133.79367065429688,22.997529983520508,10.497937202453613,74.38542938232422,446.9866943359375,75.59901428222656,10.594717979431152,44.7567138671875,15.89302921295166,16.86423110961914,45.89287185668945
27,42,Bbmin7,Bb,82.0,28.292707443237305,135.72158813476562,27.428268432617188,12.187141418457031,76.33967590332031,442.9762878417969,73.87081146240234,11.70554256439209,45.45042419433594,14.222338676452637,15.9138765335083,10.96532154083252
