,Measure,Cinnamon and Clove,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Gmin7,G,0.0,177.40228271484375,313.2308654785156,1058.9464111328125,288.4632263183594,642.9236450195312,3008.175537109375,1044.4984130859375,1647.1524658203125,395.2286376953125,718.6580200195312,1928.3031005859375,366.0618591308594
1,2,Gmin/Gb,G,2.0,185.66644287109375,523.4641723632812,2856.29296875,510.7174987792969,273.3488464355469,675.1697998046875,1775.2525634765625,1744.3289794921875,357.4364318847656,393.9598083496094,1723.54541015625,391.1308898925781
2,3,Gmin/F,G,4.0,184.2095184326172,451.3204040527344,2682.7744140625,546.6898193359375,685.2498168945312,1372.4639892578125,512.4967651367188,1527.1683349609375,339.0160827636719,413.728271484375,1698.2098388671875,416.9664001464844
3,4,Gmin/E,G,6.0,150.4845733642578,418.787841796875,2362.880615234375,840.492431640625,1548.1798095703125,425.1567687988281,368.1822204589844,1565.1556396484375,371.3229675292969,395.3290710449219,1685.8026123046875,437.181884765625
4,5,Gmin,G,8.0,120.0508041381836,371.7507629394531,2242.387939453125,415.1737365722656,286.4698181152344,195.86582946777344,279.8815002441406,1483.0521240234375,308.5640869140625,358.4949951171875,1671.328125,361.3055725097656
5,6,Gmin/Gb,G,10.0,182.92059326171875,457.5439758300781,2368.94970703125,454.3110656738281,281.76690673828125,617.673828125,1782.3272705078125,1816.2738037109375,367.1591491699219,390.88818359375,1742.9058837890625,403.9605407714844
6,7,Gmin/F,G,12.0,184.669189453125,409.1473693847656,2391.74951171875,507.79150390625,690.9992065429688,1423.95361328125,511.8934326171875,1514.1256103515625,339.6244201660156,413.4795837402344,1707.2008056640625,423.200439453125
7,8,Gmin/E,G,14.0,577.20556640625,1835.9393310546875,10707.80859375,3655.371826171875,8037.26611328125,1909.2391357421875,1629.6500244140625,7479.78369140625,1710.3115234375,1690.04443359375,7701.89990234375,1940.7840576171875
8,11,Fmin7,F,20.0,2432.289794921875,537.8486328125,622.2762451171875,2636.304931640625,1183.8057861328125,1344.6085205078125,299.126708984375,731.0753784179688,1655.1380615234375,372.7038269042969,191.3345947265625,512.5116577148438
9,12,Bb9,Bb,22.0,2286.997802734375,720.9436645507812,1994.5059814453125,567.6399536132812,759.8906860351562,3147.4287109375,805.7763061523438,349.4222106933594,1419.0504150390625,854.9457397460938,1980.5025634765625,640.9125366210938
