,Measure,Clouds,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Ebmin7,Eb,2.0,375.359375,1928.3460693359375,1034.4378662109375,3335.7236328125,718.8483276367188,1384.1298828125,3515.482421875,754.426513671875,282.998046875,779.8892211914062,4348.81005859375,703.0022583007812
1,3,Dbmaj7/F,Db,4.0,10161.6650390625,3558.239501953125,2492.509521484375,732.7421264648438,990.4639282226562,3505.2138671875,828.6832885742188,884.2874145507812,1452.978515625,455.481689453125,307.2532653808594,1455.1947021484375
2,4,Bmaj7/F,B,6.0,1247.3206787109375,265.2790222167969,508.6183776855469,2160.1103515625,516.430419921875,1094.995849609375,4009.775634765625,1387.1427001953125,3328.83203125,1080.3546142578125,3162.440185546875,7943.91552734375
3,5,Gbmin7,Gb,8.0,512.9894409179688,2271.76611328125,1490.51416015625,1130.1156005859375,4411.841796875,1400.8179931640625,1708.6026611328125,1032.7833251953125,999.3574829101562,1743.5565185546875,415.1315002441406,265.47161865234375
4,6,F7(#9),F,10.0,2216.662353515625,1463.8134765625,2855.830810546875,3699.014404296875,1924.1890869140625,2285.65966796875,4362.77783203125,1370.6007080078125,2147.638916015625,3785.114990234375,839.420654296875,626.2823486328125
5,7,Bbmaj7,Bb,12.0,635.2642211914062,2785.0234375,13730.6640625,3663.977783203125,2540.481689453125,9424.501953125,2346.879638671875,516.3744506835938,911.5078125,4576.66796875,5627.478515625,928.3412475585938
6,9,Gmin7,G,16.0,1299.9520263671875,1581.5965576171875,6740.404296875,1423.6175537109375,1858.3895263671875,9339.939453125,2847.656982421875,4485.66552734375,1031.6971435546875,2057.259521484375,5234.03173828125,1081.8123779296875
7,11,Cmin7,C,20.0,1678.7052001953125,422.8031311035156,707.6449584960938,2375.27783203125,899.731689453125,275.9037780761719,311.04498291015625,1538.2486572265625,315.2431945800781,383.7223815917969,1960.0562744140625,726.560302734375
8,12,G7,G,22.0,489.0013122558594,383.3262634277344,1389.0504150390625,730.6821899414062,810.0167846679688,3675.748779296875,1338.1334228515625,1684.3310546875,352.0112609863281,295.65887451171875,427.4849548339844,1907.5731201171875
9,13,Cmin7,C,24.0,8502.376953125,1738.4451904296875,2765.222412109375,9145.76171875,2745.5205078125,949.998046875,908.3060913085938,4496.595703125,860.5017700195312,995.6532592773438,5345.6904296875,2800.014892578125
10,15,Cmin7,C,28.0,4919.65771484375,1214.6845703125,2162.596923828125,9016.4931640625,2764.113037109375,942.177734375,2714.749755859375,4860.83935546875,863.2202758789062,974.7655639648438,5360.515625,2009.5533447265625
11,17,Abmaj7,Ab,32.0,12776.0537109375,2421.912841796875,2102.836181640625,9293.8818359375,2589.873779296875,625.4696655273438,1055.8502197265625,5443.29443359375,4736.51904296875,917.3566284179688,801.5454711914062,3740.5263671875
12,19,Amin7,A,36.0,2810.550048828125,579.0601806640625,295.0423889160156,953.1206665039062,3121.228271484375,573.9336547851562,313.68182373046875,1601.9600830078125,692.3455200195312,1652.0108642578125,394.2666931152344,822.8862915039062
13,20,F7,F,38.0,2031.7442626953125,462.6080627441406,688.5494995117188,3335.444580078125,1858.5875244140625,1412.177734375,307.6440124511719,392.8426208496094,521.3626708984375,1672.7908935546875,423.2365417480469,472.7331848144531
14,21,Bbmaj7,Bb,40.0,5800.63134765625,2381.85693359375,4990.95458984375,1600.1376953125,2145.394775390625,9194.5205078125,1901.8448486328125,517.8113403320312,759.8445434570312,4000.043212890625,5181.09619140625,2666.110107421875
15,23,D7,D,44.0,1275.0543212890625,640.5545043945312,1264.3619384765625,338.7295227050781,318.55401611328125,574.5419921875,2438.146728515625,459.7109375,204.4457244873047,846.958740234375,264.9244079589844,253.6987762451172
16,24,Gmin7,G,46.0,484.1335754394531,285.01824951171875,750.0303344726562,221.63999938964844,422.2249450683594,1950.5308837890625,852.086669921875,1678.3260498046875,403.7593688964844,765.66845703125,3421.697509765625,626.8229370117188
17,25,C7,C,48.0,224.8015594482422,81.55281829833984,162.52389526367188,102.76795196533203,307.6802673339844,99.44031524658203,51.73215103149414,155.96728515625,46.239322662353516,50.906158447265625,137.52891540527344,97.32416534423828
18,25,F7,F,49.0,873.1718139648438,229.45220947265625,280.0117492675781,1075.7186279296875,850.6084594726562,572.609375,161.4836883544922,327.4598083496094,302.8193359375,967.0117797851562,903.44580078125,307.331298828125
19,26,Dmin7,D,50.0,189.41285705566406,93.47200775146484,174.9071502685547,251.41078186035156,199.50872802734375,423.0973205566406,103.44039916992188,43.33428955078125,40.159969329833984,129.89259338378906,38.415157318115234,43.17759704589844
20,26,G7,G,51.0,109.86792755126953,38.69511032104492,109.78204345703125,50.38201904296875,73.1810073852539,269.20001220703125,42.69894027709961,6.706161975860596,14.228802680969238,62.73482131958008,14.793330192565918,17.283113479614258
21,27,D7,D,52.0,1576.0462646484375,743.9518432617188,1585.5626220703125,507.7274475097656,572.8180541992188,2214.711181640625,2551.685791015625,854.2854614257812,331.87677001953125,1063.2437744140625,413.2942810058594,884.2134399414062
22,28,Gmin7,G,54.0,466.1223449707031,279.7652282714844,749.259033203125,258.4705505371094,467.5792541503906,2039.4403076171875,860.953857421875,1669.8687744140625,405.386474609375,747.298583984375,3254.781982421875,642.1384887695312
23,29,C7,C,56.0,1085.443603515625,294.4935607910156,323.4110107421875,526.0897827148438,2468.75439453125,675.810791015625,349.6285705566406,1537.7576904296875,357.7865905761719,488.4410705566406,2735.295166015625,796.82568359375
24,30,Cmin7,C,58.0,297.0494689941406,75.80735778808594,92.42919921875,255.7393798828125,121.95604705810547,44.08292770385742,38.557193756103516,144.8406524658203,37.307586669921875,47.42057800292969,201.0513458251953,110.01223754882812
25,30,F7,F,59.0,768.2588500976562,203.66864013671875,223.2352294921875,873.179443359375,522.9400024414062,383.4229431152344,225.61883544921875,598.959228515625,251.3336944580078,498.2815246582031,411.802001953125,220.4700927734375
