,Measure,Cold duck Lead,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F7,F,0.0,2000.83935546875,445.2809753417969,675.9785766601562,3316.730224609375,1707.2998046875,1385.1697998046875,299.4375305175781,367.0770568847656,519.485107421875,1674.564453125,424.366943359375,475.076171875
1,2,Bb7,Bb,2.0,241.18382263183594,426.927734375,2042.0548095703125,570.5272216796875,715.8276977539062,3132.771240234375,776.71875,282.94122314453125,1400.94580078125,902.052978515625,1960.1590576171875,358.1884765625
2,3,F7,F,4.0,2003.0321044921875,445.6601867675781,681.3941040039062,3371.088623046875,1763.306640625,1671.34326171875,337.25665283203125,370.5353698730469,524.1826782226562,1707.4114990234375,437.5250549316406,484.3466491699219
3,4,Bb7,Bb,6.0,241.54896545410156,432.0129089355469,2073.975341796875,577.353515625,722.5719604492188,3158.568359375,773.6575317382812,281.7400817871094,1397.3631591796875,900.4224243164062,1956.9678955078125,357.728515625
4,5,F7,F,8.0,2005.7803955078125,449.1455078125,673.7427368164062,3401.46484375,1762.0252685546875,1650.0594482421875,345.4269714355469,417.4477844238281,639.812255859375,1745.4285888671875,435.1780700683594,479.0799255371094
5,6,Bb7,Bb,10.0,261.2752380371094,432.1929016113281,2079.325439453125,588.0421142578125,716.8099975585938,3139.3017578125,791.455810546875,262.68817138671875,1231.8690185546875,872.2496948242188,1950.5191650390625,356.8155212402344
6,7,F7,F,12.0,2007.55615234375,454.3841552734375,689.6741333007812,3403.970458984375,1771.69140625,1711.96630859375,372.4091796875,425.6889953613281,648.7752685546875,2054.201416015625,2562.796142578125,795.7294311523438
7,8,Bb7,Bb,14.0,319.6011657714844,443.835693359375,2069.703125,639.9588012695312,837.3832397460938,3720.025390625,851.3834838867188,353.1352233886719,1449.72412109375,936.09716796875,2022.4766845703125,391.8003234863281
8,9,F7,F,16.0,2005.8111572265625,449.1537780761719,673.6889038085938,3401.50390625,1761.9544677734375,1649.7225341796875,345.369384765625,417.4361572265625,639.805419921875,1745.4359130859375,435.19580078125,479.0716857910156
9,10,Bb7,Bb,18.0,261.2756652832031,432.1946105957031,2079.33203125,588.0433349609375,716.8114624023438,3139.306884765625,791.4578247070312,262.68878173828125,1231.873046875,872.2518920898438,1950.51611328125,356.8151550292969
10,11,F7,F,20.0,2007.55078125,454.38134765625,689.677978515625,3403.9755859375,1771.6917724609375,1711.9688720703125,372.4085388183594,425.6904296875,648.77490234375,2054.2001953125,2562.800537109375,795.7321166992188
11,12,Bb7,Bb,22.0,319.6014099121094,443.8343811035156,2069.705322265625,639.9586791992188,837.3849487304688,3720.0302734375,851.3861694335938,353.13623046875,1449.7266845703125,936.095458984375,2022.47314453125,391.7991943359375
12,13,Dbmaj13(#11),Db,24.0,2159.966064453125,1055.6092529296875,920.2085571289062,2861.629150390625,1471.94189453125,2378.803955078125,4031.104736328125,1466.0362548828125,2392.136474609375,841.549072265625,2042.7186279296875,837.4169311523438
13,14,Ebmaj13(#11),Eb,26.0,662.6914672851562,244.0360565185547,491.9942321777344,477.2652587890625,393.0059814453125,1296.1273193359375,449.8269958496094,640.4255981445312,607.9030151367188,318.8677978515625,580.0308227539062,218.2855987548828
14,14,F7,F,27.0,11095.0693359375,2771.633544921875,5783.15283203125,21357.46875,9345.02734375,12166.3359375,2604.078857421875,2274.51953125,2804.3720703125,7786.10693359375,2347.361328125,2474.44384765625
