,Measure,Cousin Mary,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C7(#9),C,0.0,525.4998168945312,157.58786010742188,166.42076110839844,569.8499145507812,1151.559326171875,218.26763916015625,109.2608871459961,512.9719848632812,132.14663696289062,111.42041778564453,514.91357421875,258.1778564453125
1,1,Eb7(#9),Eb,1.0,243.0647735595703,612.6848754882812,358.3489685058594,392.0561218261719,333.9646911621094,557.4671020507812,1292.00439453125,802.02392578125,194.73951721191406,209.87139892578125,669.09033203125,172.51121520996094
2,2,Ab7,Ab,2.0,769.28759765625,395.3186340332031,419.14794921875,1351.57958984375,327.97723388671875,209.3106231689453,954.297119140625,325.70452880859375,250.5428924560547,68.9203109741211,115.03778076171875,149.48643493652344
3,3,C7(#9),C,4.0,524.010986328125,171.2371826171875,175.49639892578125,596.322265625,1159.1724853515625,229.38623046875,132.35487365722656,514.7447509765625,132.52821350097656,110.55480194091797,509.5747985839844,259.7060546875
4,3,Eb7(#9),Eb,5.0,244.16542053222656,621.2573852539062,354.5096740722656,382.9322509765625,331.7956848144531,559.251708984375,1281.2994384765625,796.5771484375,192.42686462402344,207.19554138183594,667.726318359375,173.5371551513672
5,4,Ab7,Ab,6.0,769.18017578125,395.1615905761719,417.6478576660156,1343.4395751953125,327.358154296875,209.69920349121094,956.612060546875,326.1673889160156,250.86395263671875,69.00727081298828,115.1843490600586,149.45762634277344
6,5,Ab7,Ab,8.0,526.3135375976562,190.9384002685547,236.17918395996094,811.5388793945312,247.81321716308594,242.87969970703125,1142.3905029296875,446.8538513183594,486.1557312011719,107.81574249267578,72.14049530029297,136.18348693847656
7,5,D7,D,9.0,531.5054321289062,139.17518615722656,203.796630859375,198.6842041015625,37.36578369140625,50.1502571105957,288.37652587890625,61.740447998046875,54.43239974975586,136.7246856689453,34.47981643676758,100.42188262939453
8,6,Db9,Db,10.0,343.351318359375,185.69203186035156,321.9397888183594,1305.5614013671875,342.404541015625,550.7799682617188,221.3946533203125,150.5497589111328,283.3296813964844,103.23208618164062,191.60992431640625,688.9027709960938
9,7,C7(#9),C,12.0,561.6302490234375,167.4263153076172,178.6275177001953,579.4105834960938,1149.1109619140625,228.4558868408203,116.94347381591797,507.5758056640625,132.2100372314453,110.28570556640625,517.3046264648438,272.03985595703125
10,7,Eb7(#9),Eb,13.0,244.8273162841797,630.8826293945312,378.5198669433594,381.8675842285156,340.6916198730469,559.4547729492188,1263.5653076171875,794.245361328125,188.79229736328125,207.74871826171875,676.6118774414062,179.15673828125
