,Measure,CrossRiver,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C#min11,C#,0.0,574.2555541992188,771.2250366210938,818.3668823242188,3379.180908203125,2028.99560546875,1055.6588134765625,4049.594970703125,1241.1519775390625,1965.6259765625,496.9841613769531,698.34765625,2372.924072265625
1,2,F#min9,F#,2.0,610.0125122070312,2037.7359619140625,481.1153259277344,990.507568359375,3088.911865234375,1264.0887451171875,1785.7457275390625,915.0413208007812,4687.87841796875,2248.422607421875,418.49462890625,278.347900390625
2,3,C#min11,C#,4.0,568.7941284179688,772.97021484375,849.227294921875,3412.712646484375,1959.1064453125,1044.306396484375,3945.018798828125,1266.7039794921875,1979.6888427734375,497.3106384277344,693.4548950195312,2316.667236328125
3,4,F#min9,F#,6.0,611.9788208007812,2052.059326171875,484.1543273925781,994.3603515625,3102.347412109375,1269.7476806640625,1791.70361328125,916.13427734375,4692.55078125,2249.25634765625,418.7462158203125,278.9918518066406
4,5,C#min11,C#,8.0,679.6602172851562,1543.0543212890625,982.8091430664062,3388.501220703125,1951.8746337890625,1093.7159423828125,3990.7060546875,1290.711181640625,2005.3978271484375,487.9031982421875,654.1355590820312,2285.818115234375
5,6,F#min9,F#,10.0,568.1543579101562,1911.1700439453125,438.0127868652344,901.5690307617188,3076.8974609375,1366.12646484375,2252.987060546875,852.3115844726562,3744.586181640625,2079.692626953125,423.7551574707031,275.53717041015625
6,7,C#min11,C#,12.0,679.644775390625,1542.0968017578125,980.4351196289062,3390.874267578125,1950.11865234375,1088.9853515625,3997.572021484375,1276.7083740234375,1943.97021484375,477.2846984863281,651.7775268554688,2286.941162109375
7,8,Bsus,B,14.0,364.9413146972656,165.5468292236328,160.002685546875,1168.053955078125,3678.192138671875,1270.310546875,4446.56787109375,935.9541015625,1706.0635986328125,355.4187927246094,483.1786804199219,1963.6778564453125
8,9,Amaj7,A,16.0,480.611083984375,1692.572265625,427.0715026855469,735.593994140625,2692.99853515625,753.4025268554688,257.5313720703125,321.8699951171875,1728.150390625,1721.9796142578125,323.30035400390625,241.37628173828125
9,10,Emaj7,E,18.0,502.6434631347656,576.2337646484375,458.9516906738281,2397.823974609375,3587.37890625,764.4867553710938,362.3804626464844,584.8224487304688,1429.669921875,318.1288757324219,560.5223388671875,2038.2720947265625
10,11,Amaj7,A,20.0,466.7662353515625,1744.9986572265625,426.5780334472656,700.5575561523438,2717.223876953125,738.0033569335938,208.4258270263672,320.8348083496094,1749.0650634765625,1725.0240478515625,321.4940490722656,215.425537109375
11,12,Emaj7,E,22.0,495.5910339355469,575.336669921875,469.224853515625,2438.55615234375,3590.7421875,765.531982421875,352.7156066894531,587.1257934570312,1448.5535888671875,316.3515319824219,541.3667602539062,1949.4986572265625
12,13,F#min9,F#,24.0,733.7080078125,2972.3857421875,680.2826538085938,864.7908325195312,3061.87109375,1307.9083251953125,1680.4912109375,557.81884765625,2247.34521484375,1939.8604736328125,429.2887878417969,273.4964599609375
13,14,A#min9,A#,26.0,3616.134765625,2140.78466796875,433.8531188964844,351.3058776855469,877.0568237304688,3346.554443359375,751.5921020507812,554.3585815429688,1442.2392578125,731.850341796875,1988.9659423828125,804.42822265625
14,15,F#min9,F#,28.0,745.4285278320312,2955.577880859375,660.7977905273438,847.832275390625,3124.961669921875,1458.3138427734375,1693.1876220703125,559.126953125,2252.791015625,1946.1431884765625,425.8310241699219,249.9012908935547
15,16,A#min9,A#,30.0,12955.2236328125,8271.2412109375,1530.9908447265625,1119.1043701171875,3299.621826171875,13899.5361328125,2818.783935546875,1713.9326171875,5028.63916015625,2447.563720703125,6988.94482421875,2765.7900390625
