,Measure,Days of Wine and Roses,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmaj7,F,0.0,2038.3836669921875,342.6197814941406,45.780120849609375,87.28716278076172,330.65350341796875,164.20077514648438,72.17144775390625,103.3519287109375,123.04873657226562,458.2391357421875,134.30409240722656,310.753662109375
1,2,Eb7,Eb,2.0,183.7203826904297,198.45240783691406,118.97982025146484,322.1921081542969,305.5891418457031,141.8461456298828,45.73749923706055,142.37232971191406,44.2819938659668,64.35762786865234,168.2330780029297,76.22327423095703
2,3,D7,D,4.0,782.6550903320312,235.4739227294922,346.9358215332031,330.4585266113281,158.12042236328125,108.78427124023438,388.3738708496094,328.8268737792969,152.74447631835938,539.9571533203125,125.57205200195312,129.73670959472656
3,4,D7,D,6.0,273.0237121582031,109.91842651367188,222.3501434326172,82.46639251708984,46.05745315551758,103.48502349853516,433.8604736328125,92.06969451904297,37.7269172668457,160.3043670654297,48.79727554321289,49.083370208740234
4,5,Gmin,G,8.0,75.89765930175781,88.65059661865234,269.9273986816406,75.17262268066406,193.29095458984375,96.05877685546875,125.56377410888672,157.0541229248047,692.2396850585938,4764.75341796875,844.3511352539062,61.69456100463867
5,6,Gmin7,G,10.0,25.24921989440918,109.20257568359375,509.1434326171875,114.4337387084961,73.5091781616211,266.2221374511719,138.2350616455078,162.1378631591797,57.363765716552734,92.75997924804688,186.66290283203125,41.02517318725586
6,7,Bbmin7,Bb,12.0,76.41938018798828,205.64703369140625,174.9542999267578,67.47819519042969,277.5686950683594,553.2401123046875,121.6645278930664,74.01451873779297,783.4656372070312,4657.06103515625,860.2697143554688,67.23628234863281
7,8,Eb7,Eb,14.0,115.36516571044922,650.95263671875,365.1571044921875,322.00531005859375,118.10637664794922,273.61346435546875,81.45832061767578,144.2051239013672,75.8651351928711,55.93964767456055,174.9884796142578,58.99748611450195
8,9,Amin7,A,16.0,174.8409881591797,151.82969665527344,331.3154602050781,355.4116516113281,327.2156066894531,139.40599060058594,545.7841186523438,3806.744384765625,712.7921752929688,590.1921997070312,135.6720733642578,93.82037353515625
9,10,Dmin7,D,18.0,589.9589233398438,258.05413818359375,779.8419799804688,235.65447998046875,471.8193054199219,402.2734375,168.02117919921875,415.701416015625,146.9968719482422,152.2301788330078,54.627166748046875,139.5799102783203
10,11,Gmin7,G,20.0,165.2984619140625,135.41810607910156,601.485107421875,143.9095916748047,165.78536987304688,509.9459533691406,212.87001037597656,184.30186462402344,161.05528259277344,764.1438598632812,270.7724304199219,74.24268341064453
11,12,C7,C,22.0,302.92864990234375,102.14313507080078,180.7884979248047,119.05876922607422,412.0477600097656,448.9390869140625,134.8734893798828,196.27345275878906,73.86178588867188,671.3455810546875,4608.1591796875,760.3917846679688
12,13,Emin7,E,24.0,33.6257209777832,13.293689727783203,74.32422637939453,33.432029724121094,69.64500427246094,32.335811614990234,170.64578247070312,1206.3956298828125,220.29457092285156,189.75640869140625,34.49953842163086,18.878522872924805
13,13,A7,A,25.0,39.857662200927734,46.395050048828125,202.98760986328125,93.79537200927734,393.23291015625,66.64412689208984,32.82133865356445,165.92259216308594,107.00061798095703,424.4208984375,86.00458526611328,162.73509216308594
14,14,Dmin7,D,26.0,154.1647491455078,537.1832885742188,189.67047119140625,239.99256896972656,969.646728515625,273.60107421875,141.71420288085938,538.9713745117188,320.1230773925781,543.4304809570312,135.5620574951172,126.93576049804688
15,14,G7,G,27.0,280.9642028808594,165.7086181640625,200.42750549316406,76.09553527832031,286.6424255371094,745.0540161132812,134.92919921875,143.92678833007812,64.98272705078125,164.58807373046875,28.05109405517578,53.96249771118164
16,15,Gmin7,G,28.0,268.05682373046875,320.0560607910156,1215.3321533203125,318.9690246582031,463.9871826171875,1546.3631591796875,489.1163635253906,828.6611938476562,217.79945373535156,201.23069763183594,322.4229736328125,716.3121948242188
17,16,C7,C,30.0,168.57691955566406,94.578857421875,245.93519592285156,118.9823989868164,405.9536437988281,307.9006042480469,85.76782989501953,180.5796356201172,50.33319091796875,46.005794525146484,169.7088623046875,131.25851440429688
