,Measure,Desafinado,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmaj7,F,0.0,6445.39453125,1490.974609375,1740.24365234375,2195.726318359375,10249.71875,5103.43115234375,916.0139770507812,1114.110595703125,1650.6585693359375,4230.29248046875,936.3845825195312,1479.09814453125
1,3,G7(b5),G,4.0,2088.845458984375,5943.27490234375,3834.864990234375,1673.2994384765625,2536.548583984375,13298.41015625,3934.8818359375,4591.9716796875,1045.5313720703125,857.697509765625,1222.6551513671875,5707.93115234375
2,5,Gmin7,G,8.0,214.9679718017578,386.5639953613281,1590.0645751953125,396.4024963378906,666.8121948242188,3052.998046875,1069.143798828125,1643.5582275390625,413.2909851074219,755.6232299804688,1937.5059814453125,391.91748046875
3,6,C7,C,10.0,1819.9169921875,384.7677001953125,344.8774108886719,800.4260864257812,4001.053955078125,1081.2740478515625,340.4292297363281,1469.1866455078125,422.0246276855469,353.9078674316406,1688.8814697265625,830.5990600585938
4,7,Aminor-seventh(b5),A,12.0,2071.550537109375,461.535888671875,269.46112060546875,857.0537109375,3112.544677734375,597.6546020507812,328.9953308105469,1649.4066162109375,744.61083984375,1666.7103271484375,418.7852478027344,605.6533813476562
5,8,D7(b9),D,14.0,1979.7706298828125,639.0200805664062,1274.3236083984375,3563.318603515625,2424.802001953125,852.53955078125,1914.3514404296875,681.083740234375,690.4428100585938,1919.7850341796875,556.9353637695312,507.2585144042969
6,9,Gmin7,G,16.0,341.7525329589844,410.1644592285156,1582.7801513671875,505.1396789550781,733.6874389648438,3038.498046875,1197.7403564453125,1708.1949462890625,432.0854187011719,853.5243530273438,1991.78515625,405.9454650878906
7,10,A7(b9),A,18.0,501.4681091308594,1873.5472412109375,626.302734375,769.5449829101562,2970.0615234375,974.9000854492188,361.0910949707031,1581.869140625,1247.1021728515625,3976.937255859375,4487.17529296875,784.5033569335938
8,11,D7,D,20.0,2074.553955078125,910.5369262695312,1979.1722412109375,481.2359619140625,425.5677490234375,906.8878784179688,4613.21728515625,827.6581420898438,507.5704650878906,3014.454345703125,588.6806030273438,361.3308410644531
9,12,D7(b9),D,22.0,1766.69580078125,655.4109497070312,1223.2203369140625,3403.898681640625,2293.480712890625,851.010986328125,1948.4296875,679.7596435546875,687.3795776367188,1940.0263671875,568.131591796875,472.6623840332031
