,Measure,DigDis,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bbmin7,Bb,0.0,506.4466552734375,1714.5220947265625,377.8688049316406,229.3654022216797,665.2544555664062,3193.2109375,587.6882934570312,251.91351318359375,1348.84423828125,712.1685180664062,1948.7379150390625,384.1719055175781
1,2,Gb7,Gb,2.0,150.00296020507812,583.1680908203125,135.09446716308594,221.59825134277344,1068.244384765625,600.5841674804688,452.5559387207031,110.09723663330078,133.53985595703125,196.52586364746094,578.3348388671875,150.8375701904297
2,2,F7,F,3.0,588.0503540039062,230.73980712890625,218.05796813964844,1112.85107421875,880.1513061523438,502.5783386230469,104.58281707763672,119.35726928710938,207.7257080078125,524.6485595703125,157.33872985839844,164.62326049804688
3,3,Bbmin7,Bb,4.0,823.478515625,1705.6837158203125,467.4487609863281,1035.0665283203125,1000.0715942382812,3724.96875,721.600341796875,301.7378234863281,1347.1051025390625,702.9015502929688,1957.03564453125,426.0511474609375
4,4,Bbmin7,Bb,6.0,503.2010803222656,1677.5771484375,393.730224609375,267.6644287109375,643.0404663085938,3091.125732421875,585.4567260742188,260.77056884765625,1367.3963623046875,712.7031860351562,1955.7508544921875,386.2190856933594
5,5,Gb7,Gb,8.0,1293.5654296875,5973.14599609375,1131.3565673828125,1974.70361328125,10702.828125,5098.97607421875,4697.10498046875,857.630615234375,1154.9638671875,1431.9195556640625,5304.875,1106.890380859375
6,7,Bbmin7,Bb,12.0,1337.4931640625,4998.64111328125,1044.6109619140625,619.1572875976562,1877.8564453125,9601.6904296875,1692.1627197265625,656.5182495117188,3590.9287109375,1818.408203125,5217.83740234375,952.9273071289062
7,9,Gb7,Gb,16.0,461.3876647949219,2031.1748046875,416.6429138183594,687.6987915039062,3565.397216796875,1670.1866455078125,1597.41357421875,321.8302307128906,421.5933532714844,571.2073974609375,1961.0931396484375,431.2128601074219
8,10,F7,F,18.0,1996.0277099609375,486.4160461425781,694.3987426757812,3324.4248046875,1846.4580078125,1554.2894287109375,331.9393005371094,367.1140441894531,536.3836669921875,1675.2379150390625,431.5042419433594,486.0691223144531
9,11,Bbmin7,Bb,20.0,515.0476684570312,1718.02392578125,376.8289794921875,297.6047058105469,725.7421875,3337.684326171875,611.0990600585938,255.661376953125,1341.0133056640625,718.317138671875,1956.4171142578125,392.9470520019531
10,12,Cmin7,C,22.0,498.8672790527344,157.96141052246094,297.5970153808594,969.5689086914062,313.0099792480469,85.41433715820312,91.6009750366211,433.9454040527344,101.69355010986328,114.3341064453125,558.8969116210938,237.62330627441406
11,12,F7,F,23.0,564.9407348632812,151.0458221435547,249.3189697265625,1098.864990234375,577.2868041992188,457.8520202636719,123.69522857666016,159.81443786621094,199.23289489746094,532.3413696289062,186.95689392089844,155.45594787597656
