,Measure,Doxy,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb7,Bb,0.0,28.390329360961914,21.568071365356445,47.20615768432617,21.555404663085938,44.27262878417969,213.7151641845703,49.80174255371094,30.4249324798584,54.75672912597656,67.2559585571289,117.76504516601562,28.137794494628906
1,1,Ab7,Ab,1.0,48.614749908447266,47.72794723510742,208.26121520996094,90.93243408203125,74.51566314697266,321.61614990234375,267.9366760253906,1105.6156005859375,271.0914611816406,100.7145767211914,353.1053161621094,71.66416931152344
2,2,G7,G,2.0,806.3896484375,302.06427001953125,895.125244140625,1340.1539306640625,592.3842163085938,2028.9276123046875,1811.6341552734375,4028.051025390625,813.5552368164062,438.4436340332031,2081.169677734375,1222.1407470703125
3,3,C7,C,4.0,69.95103454589844,32.23609924316406,45.46076583862305,49.64097595214844,113.91739654541016,188.80116271972656,64.78166961669922,111.87265014648438,38.133209228515625,39.52463912963867,48.06007385253906,60.855716705322266
4,3,F7,F,5.0,212.40289306640625,205.78961181640625,45.56711196899414,57.3372688293457,271.1537780761719,101.63223266601562,39.32109451293945,137.6182403564453,120.52800750732422,74.54395294189453,320.0940246582031,99.70763397216797
5,4,Bb7,Bb,6.0,245.9391326904297,81.62149047851562,149.1219940185547,382.351318359375,213.40745544433594,257.0013122558594,88.56998443603516,181.44346618652344,86.89520263671875,254.5962677001953,1227.2608642578125,241.0941619873047
6,4,F7,F,7.0,80.01061248779297,46.83958053588867,146.7685546875,161.4090118408203,131.69309997558594,313.8447265625,57.15482711791992,24.085180282592773,65.2820053100586,67.79744720458984,50.485164642333984,31.240234375
7,5,Bb7,Bb,8.0,216.1328125,57.62599563598633,106.84784698486328,325.0061340332031,205.4497528076172,422.0640869140625,90.79727172851562,45.92412185668945,70.88218688964844,96.65884399414062,132.46640014648438,68.24874877929688
8,5,Ab7,Ab,9.0,70.87796020507812,52.189701080322266,215.2866668701172,131.42987060546875,88.2489242553711,335.8624572753906,282.65911865234375,1172.890625,279.5196533203125,97.17626190185547,350.8047180175781,75.48040771484375
9,6,G7,G,10.0,774.2490234375,298.9278259277344,897.7117309570312,1365.5545654296875,602.0086059570312,2019.4283447265625,1810.3662109375,4023.638671875,810.97216796875,435.175048828125,2021.0655517578125,1206.5723876953125
10,7,C7,C,12.0,866.9453125,249.1805877685547,274.1664733886719,438.0303039550781,1756.1556396484375,809.7333374023438,375.4302673339844,1185.6397705078125,323.1402893066406,242.45518493652344,816.7279663085938,541.9669189453125
11,8,F7,F,14.0,993.5756225585938,236.6526336669922,349.8680114746094,1657.0023193359375,956.7288208007812,620.9494018554688,202.86964416503906,753.2189331054688,2914.7578125,1216.125,230.9498748779297,243.64813232421875
12,9,Fmin7,F,16.0,1015.1286010742188,260.1680603027344,344.515380859375,1237.7708740234375,592.7285766601562,675.3302612304688,190.51612854003906,521.5602416992188,791.1475219726562,187.93768310546875,105.54827880859375,244.49485778808594
13,10,Bb7,Bb,18.0,207.80226135253906,292.0596618652344,950.526611328125,395.4994201660156,355.0023193359375,1442.0660400390625,377.5370788574219,165.97764587402344,702.986083984375,441.5347595214844,897.4446411132812,188.2215118408203
14,11,Eb7,Eb,20.0,280.9519348144531,1445.0306396484375,618.790283203125,1492.9398193359375,359.2254638671875,389.3659362792969,214.21751403808594,716.9326782226562,347.7587890625,796.038330078125,4876.69189453125,786.2201538085938
15,12,Edim,E,22.0,190.15150451660156,98.56668090820312,142.49168395996094,464.7913818359375,1588.244140625,327.22796630859375,139.90354919433594,696.5685424804688,183.248046875,149.79469299316406,750.3820190429688,231.062744140625
16,13,Bb7,Bb,24.0,29.549081802368164,22.32868003845215,50.41961669921875,43.156341552734375,79.63146209716797,234.12379455566406,53.517425537109375,36.70829391479492,55.97488784790039,69.38970947265625,130.64463806152344,30.774370193481445
17,13,Ab7,Ab,25.0,49.50294876098633,49.38690185546875,215.78965759277344,97.29784393310547,85.68386840820312,313.6069030761719,267.4909973144531,1111.982177734375,273.39923095703125,94.03101348876953,308.5339660644531,67.93778228759766
18,14,G7,G,26.0,805.7129516601562,302.4694519042969,892.0415649414062,1351.134765625,602.5731201171875,2026.3323974609375,1815.076171875,4043.191162109375,815.7599487304688,440.9447937011719,2107.320556640625,1227.279052734375
19,15,C7,C,28.0,70.02007293701172,32.178558349609375,45.67695236206055,49.98342514038086,113.58060455322266,188.4276123046875,64.50948333740234,113.677001953125,38.852657318115234,39.58838653564453,48.8409309387207,60.99257278442383
20,15,C7,C,29.0,251.74732971191406,226.1283721923828,62.1533317565918,86.06195831298828,323.7793884277344,123.44366455078125,50.036224365234375,174.60986328125,130.66554260253906,82.94029998779297,355.9924621582031,129.634033203125
21,16,Bb7,Bb,30.0,86.7639389038086,14.490596771240234,15.245361328125,27.98465919494629,118.15630340576172,55.201480865478516,33.71555709838867,167.44029235839844,41.796630859375,99.6761245727539,661.49658203125,131.92965698242188
22,16,Cmin7,C,30.66666666666667,23.840965270996094,23.666067123413086,112.10704803466797,34.994361877441406,85.34980010986328,224.9739227294922,46.390899658203125,17.663715362548828,50.987274169921875,37.000308990478516,115.57427978515625,33.700130462646484
23,16,F7,F,31.33333333333333,5429.66162109375,1294.8387451171875,2187.179443359375,8387.13671875,3576.525634765625,3168.175048828125,1085.6654052734375,3207.410888671875,1255.9517822265625,2648.356689453125,4400.45849609375,1715.6014404296875
