,Measure,Driftin',chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Eb7,Eb,0.0,368.05810546875,2049.164306640625,1850.4715576171875,3239.912353515625,636.5097045898438,223.74366760253906,342.6669921875,1530.6361083984375,362.9375915527344,628.402587890625,1994.5352783203125,442.037109375
1,2,Eb7,Eb,2.0,149.3504638671875,144.5774688720703,393.8568115234375,479.6335754394531,292.7727355957031,1097.1773681640625,480.8502502441406,573.9437255859375,127.47586822509766,92.1763916015625,157.94886779785156,553.8110961914062
2,2,G7,G,3.0,252.58966064453125,115.87451934814453,147.62733459472656,502.3800964355469,143.22811889648438,286.5674133300781,531.9276733398438,183.98960876464844,118.81816864013672,32.6808967590332,54.17446517944336,123.96319580078125
3,3,Ab7,Ab,4.0,77.92681121826172,100.95687103271484,121.31441497802734,102.47374725341797,91.4031753540039,381.215087890625,120.9518051147461,162.11114501953125,37.13338851928711,47.01957702636719,151.9055938720703,179.0076446533203
4,3,G7,G,5.0,223.1900177001953,88.64645385742188,283.33709716796875,426.4052429199219,99.90363311767578,94.201416015625,75.55086517333984,178.0592803955078,39.412803649902344,112.42902374267578,162.88954162597656,95.21894073486328
5,4,Cmin7,C,6.0,82.19861602783203,190.25537109375,58.89524459838867,110.9771499633789,89.98770904541016,360.9751892089844,87.50777435302734,57.69091796875,124.87664031982422,83.88724517822266,247.89503479003906,71.32237243652344
6,4,Bbmin7,Bb,7.0,55.94498062133789,190.35182189941406,54.26576614379883,70.87295532226562,330.6409912109375,130.95713806152344,57.297454833984375,173.33946228027344,89.46794891357422,78.4098129272461,22.6787166595459,28.136672973632812
7,5,A7,A,8.0,544.0968627929688,195.58961486816406,213.2440185546875,776.2406616210938,310.1064453125,249.1925811767578,1019.9232788085938,511.925048828125,1359.6014404296875,272.9589538574219,63.71988296508789,134.5513458251953
8,5,Ab7,Ab,9.0,152.97032165527344,148.96080017089844,392.7095031738281,358.6225891113281,294.9191589355469,940.9988403320312,499.4312744140625,534.7998657226562,172.10877990722656,393.9229736328125,1689.7388916015625,326.9594421386719
9,6,Gmin7,G,10.0,235.59649658203125,144.3137664794922,262.0419616699219,284.2339782714844,501.2754211425781,789.4348754882812,399.3671875,299.4093322753906,399.1872253417969,228.04351806640625,248.86358642578125,121.8815689086914
10,7,C7,C,12.0,314.5011291503906,207.9932098388672,162.4410400390625,379.0166015625,368.3916015625,218.2388916015625,82.32593536376953,124.77059173583984,145.55955505371094,47.6573486328125,58.19462585449219,85.1065673828125
11,8,Fmin7,F,14.0,152.74473571777344,32.8228874206543,60.85905456542969,245.8307647705078,112.17693328857422,131.05075073242188,29.23225975036621,19.132707595825195,12.323494911193848,8.298216819763184,14.980304718017578,28.419212341308594
12,9,Bb7,Bb,16.0,431.7480773925781,569.5582885742188,2218.64892578125,1855.6580810546875,1010.8632202148438,3095.126220703125,810.8075561523438,473.1253356933594,1651.4605712890625,905.7506713867188,1944.8037109375,417.2425231933594
13,10,Fmin7,F,18.0,111.50121307373047,90.23361206054688,385.4071350097656,276.0198974609375,225.61431884765625,658.4196166992188,170.57632446289062,314.4121398925781,1474.171875,329.922119140625,337.4313659667969,117.17684173583984
14,10,Bb7,Bb,19.0,41.73603820800781,195.44805908203125,134.28053283691406,385.1708679199219,95.32865142822266,143.64952087402344,55.65786361694336,194.774658203125,43.25563430786133,30.318132400512695,143.2497100830078,30.564453125
15,11,Eb7,Eb,20.0,54.6534538269043,153.34967041015625,58.33753967285156,126.4098129272461,338.5701904296875,139.5792999267578,87.72415924072266,181.6454315185547,93.1515884399414,285.1741027832031,1487.7762451171875,237.33457946777344
16,11,A7,A,21.0,235.0091094970703,75.69637298583984,97.2942886352539,373.83984375,141.7080841064453,75.0580825805664,342.7403259277344,141.7369842529297,157.96751403808594,29.873987197875977,30.39714241027832,44.2768440246582
