,Measure,Ease Back,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C,C,0.0,1784.5205078125,363.5209655761719,204.8680419921875,744.6774291992188,3841.217529296875,682.6663818359375,310.1093444824219,1815.07470703125,483.7637634277344,180.64833068847656,124.44403839111328,564.2033081054688
1,2,A7,A,2.0,44.603057861328125,107.18863677978516,72.95146179199219,94.83911895751953,195.6144561767578,198.88929748535156,123.82881927490234,189.8553009033203,63.69197082519531,65.88809967041016,62.23453903198242,93.96602630615234
2,2,G7,G,2.4,48.1531982421875,82.62326049804688,37.2208251953125,41.94438171386719,142.35572814941406,112.48311614990234,59.29298400878906,63.522518157958984,56.047611236572266,29.876480102539062,67.79166412353516,76.42534637451172
3,2,Gb7,Gb,2.8,123.19251251220703,62.985931396484375,68.6921615600586,273.4970703125,194.2051239013672,126.159912109375,49.88124465942383,39.63560104370117,41.677001953125,111.24893951416016,71.74932861328125,65.26004791259766
4,2,F7,F,3.2,61.938663482666016,72.12873077392578,67.59800720214844,87.88236236572266,89.45427703857422,87.30963897705078,22.220617294311523,20.782365798950195,35.42008972167969,30.4108829498291,19.74466896057129,43.263973236083984
5,2,E7,E,3.6,34.278873443603516,38.868282318115234,91.1595458984375,93.10324096679688,102.3937759399414,30.598970413208008,13.934089660644531,7.699630260467529,29.659570693969727,16.62017250061035,15.833643913269043,51.48810958862305
6,3,C,C,4.0,1076.537109375,327.62646484375,663.2880249023438,977.7407836914062,2885.529296875,756.6502075195312,312.11962890625,1018.6029663085938,490.6219787597656,158.3719940185547,83.1755142211914,451.83447265625
7,4,A7,A,6.0,14.812527656555176,70.23047637939453,22.266454696655273,38.90268325805664,105.3601303100586,28.157217025756836,16.5327091217041,54.660579681396484,18.768798828125,39.735233306884766,19.256017684936523,10.306557655334473
8,4,G7,G,6.4,31.476778030395508,25.836929321289062,35.0372428894043,40.716793060302734,54.81657028198242,133.5633087158203,62.78786849975586,79.84434509277344,42.407196044921875,40.57009506225586,32.83213806152344,93.45682525634766
9,4,Gb7,Gb,6.8,129.49098205566406,145.55772399902344,77.60956573486328,205.5080108642578,298.4517517089844,146.1433868408203,98.42916870117188,77.9811782836914,52.549198150634766,97.36166381835938,140.4615020751953,69.07718658447266
