,Measure,FreightTrane,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Abmaj7,Ab,0.0,39.44911193847656,28.744070053100586,85.86075592041016,365.8355712890625,97.7244644165039,233.6970977783203,124.00916290283203,446.6732177734375,108.30998992919922,53.68856430053711,69.80628204345703,33.2320442199707
1,2,Gmin7,G,2.0,53.75450134277344,13.88990306854248,30.098236083984375,119.10401153564453,20.05047607421875,2.6035892963409424,4.080050468444824,17.042844772338867,6.025844573974609,2.6816787719726562,2.7642009258270264,11.215197563171387
2,2,C7,C,3.0,75.0678939819336,75.90074920654297,175.976806640625,118.42276000976562,159.06117248535156,578.5140991210938,185.08160400390625,531.2435302734375,1162.1107177734375,336.2610168457031,543.7527465820312,132.6805877685547
3,3,Fmin7,F,4.0,358.7450866699219,255.86834716796875,98.04195404052734,171.45399475097656,716.384033203125,274.3962707519531,101.27002716064453,312.59149169921875,172.30078125,101.0608139038086,410.7427673339844,183.37701416015625
4,3,Eaugmented-seventh,E,5.0,481.0328674316406,117.6380615234375,134.9826202392578,578.24462890625,339.7337341308594,307.457763671875,178.3700714111328,175.1442108154297,377.22802734375,115.20745849609375,81.87069702148438,260.9381103515625
5,4,Ebmin7,Eb,6.0,502.0662841796875,119.62210845947266,328.9880065917969,336.9234924316406,611.2894897460938,145.3075714111328,40.42435836791992,218.0707244873047,1363.824462890625,216.60646057128906,31.94458770751953,115.98578643798828
6,4,Ab7,Ab,7.0,121.4186019897461,341.2212219238281,203.26673889160156,625.468017578125,212.1251983642578,163.29074096679688,802.5411987304688,148.13613891601562,35.598487854003906,78.10714721679688,383.6681213378906,232.5478515625
7,5,Dbmaj7,Db,8.0,1093.5491943359375,344.6351013183594,379.6361999511719,1844.1956787109375,539.4713745117188,468.7027282714844,2463.407470703125,1068.0382080078125,4108.677734375,792.535888671875,722.5634155273438,299.7277526855469
8,6,Dbmin7,Db,10.0,48.91512680053711,209.8021697998047,37.98326110839844,37.446537017822266,44.03451156616211,154.93678283691406,46.02738952636719,16.68963050842285,93.1002197265625,23.1261043548584,7.979634761810303,8.662070274353027
9,6,Gb7,Gb,11.0,134.4524688720703,321.90716552734375,67.1378173828125,146.98455810546875,658.7562866210938,161.39549255371094,54.20589828491211,53.21236801147461,206.7601776123047,38.95241165161133,79.85301971435547,398.7312927246094
10,7,Cmin7,C,12.0,82.95060729980469,352.0215148925781,75.24071502685547,133.94664001464844,686.5435180664062,334.3104248046875,369.9869079589844,56.3284912109375,70.64051055908203,141.63914489746094,525.1340942382812,127.50389862060547
11,7,F7,F,13.0,327.7183532714844,121.48294067382812,119.2675552368164,560.575927734375,295.0888977050781,134.87429809570312,116.89358520507812,253.45677185058594,57.17869186401367,367.1744384765625,2328.72607421875,468.4561462402344
12,8,Bmin7,B,14.0,279.15374755859375,69.55304718017578,95.0805435180664,422.8191833496094,194.52659606933594,157.2041778564453,55.38900375366211,202.38011169433594,1095.5213623046875,258.7098388671875,87.80290985107422,63.20784378051758
13,8,E7,E,15.0,105.7706069946289,176.1448516845703,717.5870971679688,281.5447692871094,80.5750732421875,219.599609375,849.1908569335938,141.2946014404297,66.37628936767578,394.1869812011719,1460.8607177734375,605.4457397460938
14,9,Bbmin7,Bb,16.0,192.41188049316406,384.9526672363281,1180.281005859375,560.3988647460938,1427.3983154296875,286.49993896484375,312.2715759277344,586.9125366210938,3509.972900390625,633.2713012695312,361.6906433105469,550.0969848632812
15,10,Eb7,Eb,18.0,98.60797882080078,473.49853515625,102.89476776123047,79.4367904663086,166.3077850341797,471.0984802246094,107.85382843017578,81.3050765991211,491.2557373046875,111.33444213867188,31.853355407714844,42.19462203979492
16,11,Ab7(#9),Ab,20.0,8.57376766204834,29.803382873535156,33.21584701538086,119.30594635009766,29.085426330566406,17.37327766418457,8.887234687805176,31.588594436645508,156.85240173339844,473.8346252441406,77.27835083007812,6.586269378662109
17,11,F7(#9),F,21.0,424.2913818359375,107.9483413696289,101.90718841552734,488.040283203125,155.88404846191406,129.2641143798828,689.5191040039062,214.9435577392578,400.9613342285156,102.15850067138672,129.94583129882812,536.8837890625
18,12,Bbmin7,Bb,22.0,417.4541931152344,115.77188873291016,130.48585510253906,652.4669799804688,266.892822265625,273.6332702636719,224.05438232421875,160.08639526367188,261.6737365722656,242.2537384033203,91.44989776611328,89.84056854248047
19,12,Eb7,Eb,23.0,2306.463623046875,6402.66162109375,2789.8251953125,7281.48095703125,3293.036376953125,9737.59375,3493.84375,10345.3583984375,7906.03369140625,2400.765380859375,5839.544921875,1550.876953125
