,Measure,FullHouse,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Fmin7,F,1.5,10442.287109375,2118.47705078125,3471.400634765625,19251.666015625,5353.423828125,8446.5537109375,2237.567626953125,6940.71630859375,2459.75390625,950.7621459960938,801.9771118164062,2098.323486328125
1,11,Fmin7,F,15.0,295.8945617675781,53.32432556152344,101.47500610351562,536.8455200195312,155.8577423095703,181.69329833984375,39.5910758972168,44.82899475097656,64.90623474121094,24.44335174560547,18.33966636657715,67.55475616455078
2,12,Bb13,Bb,16.5,304.8093566894531,76.02182006835938,148.46607971191406,546.571533203125,218.1125030517578,338.8819580078125,116.10049438476562,275.72821044921875,129.64065551757812,60.92245864868164,118.04822540283203,93.0477294921875
3,13,Fmin7,F,18.0,336.3999328613281,70.6048355102539,113.69524383544922,584.5418701171875,229.13880920410156,483.7860107421875,105.707763671875,166.51292419433594,685.9341430664062,181.81695556640625,37.59990692138672,78.81375885009766
4,14,Bb13,Bb,19.5,330.6994323730469,81.6876449584961,156.11888122558594,591.9143676757812,232.64073181152344,346.7510681152344,121.3248062133789,357.242431640625,705.8761596679688,311.5527648925781,1139.212646484375,236.1463165283203
5,15,Fmin9,F,21.0,304.2873840332031,58.3736457824707,110.02648162841797,522.8409423828125,153.86241149902344,173.837890625,71.37348937988281,246.66114807128906,99.96078491210938,39.31417465209961,35.69395065307617,79.60638427734375
6,16,Bb7,Bb,22.5,19.51053810119629,51.42521286010742,269.6770935058594,75.33448028564453,110.6905517578125,603.4120483398438,86.48853302001953,25.71037483215332,104.9780044555664,73.9955825805664,114.38964080810547,22.593957901000977
7,17,Fmin7,F,24.0,329.5421142578125,68.87774658203125,126.18709564208984,608.4031372070312,244.3343963623047,527.2951049804688,99.1681137084961,166.06585693359375,677.8125610351562,177.4515838623047,28.659225463867188,73.35065460205078
8,18,C7(#9),C,25.5,1780.46044921875,289.5523986816406,84.04071044921875,467.0912170410156,1514.11083984375,311.9829406738281,114.66678619384766,571.3137817382812,177.0084686279297,137.90330505371094,620.7748413085938,444.6033020019531
9,19,Fmin7,F,27.0,288.6431579589844,53.60782241821289,104.43535614013672,564.5591430664062,217.4283447265625,194.91038513183594,37.367855072021484,39.95652389526367,62.18540573120117,25.2091064453125,29.358932495117188,69.24197387695312
10,20,Bb13,Bb,28.5,307.3064880371094,76.80602264404297,153.93360900878906,548.8479614257812,218.95570373535156,368.4163818359375,118.803955078125,271.5346984863281,128.6932373046875,58.83858108520508,111.95401000976562,93.93119049072266
11,21,Fmin9,F,30.0,340.51898193359375,71.44303894042969,114.89669799804688,578.10693359375,231.96388244628906,486.0752868652344,135.16673278808594,375.78955078125,719.674560546875,187.9849853515625,43.9581413269043,87.88494873046875
12,22,Bb7,Bb,31.5,39.97506332397461,56.797210693359375,279.6414794921875,112.88036346435547,123.97582244873047,614.5563354492188,95.22640991210938,123.60265350341797,732.9429321289062,324.7210998535156,1170.641357421875,169.2537078857422
13,23,Fmin7,F,33.0,293.8980407714844,56.2698974609375,119.18231201171875,547.3273315429688,176.5037384033203,248.5963897705078,45.20352554321289,40.565975189208984,64.85057830810547,26.06652069091797,19.93162727355957,66.50946044921875
14,24,Bb13,Bb,34.5,321.3663635253906,79.18305206298828,151.7759246826172,544.2007446289062,196.8618927001953,273.7256774902344,109.3062515258789,273.7975158691406,131.3391571044922,63.31668472290039,128.24659729003906,98.1582260131836
15,25,Fmin7,F,36.0,309.1504211425781,65.09844207763672,103.36923217773438,512.8976440429688,181.057373046875,222.23085021972656,91.86978912353516,339.181640625,135.08103942871094,39.89933395385742,83.55492401123047,89.61575317382812
