,Measure,Gillette,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb,Bb,0.0,850.0300903320312,3092.9990234375,17637.080078125,3327.2724609375,4515.90966796875,23992.8359375,4688.49560546875,463.9815673828125,858.062744140625,7117.47802734375,27699.556640625,4047.019287109375
1,5,F7,F,8.0,16230.48046875,3469.986083984375,5048.107421875,26582.208984375,11812.6201171875,10067.705078125,1977.29248046875,3191.750244140625,2996.475341796875,9411.29296875,2447.191650390625,3424.132568359375
2,9,Bb,Bb,16.0,392.8815612792969,1092.651611328125,5727.60986328125,1225.9775390625,1824.3038330078125,9247.462890625,1874.7147216796875,185.59857177734375,350.7312316894531,1982.5301513671875,5208.912109375,805.017333984375
3,11,Eb,Eb,20.0,1564.7247314453125,613.421875,2044.9849853515625,9170.1884765625,1782.6968994140625,617.8953247070312,813.152099609375,4810.71630859375,899.1860961914062,1169.648193359375,7212.14453125,1552.6790771484375
4,13,F,F,24.0,122.2835693359375,35.58513259887695,19.45441246032715,27.739423751831055,73.39015197753906,243.7159881591797,58.94084548950195,23.94431495666504,32.095550537109375,127.77752685546875,27.715049743652344,24.330963134765625
5,13,Edim,E,24.5,67.7705307006836,38.417991638183594,29.307527542114258,80.82029724121094,270.7792663574219,144.2811737060547,78.7372817993164,132.1100311279297,43.71226119995117,62.71931838989258,144.59246826171875,46.676395416259766
6,13,Cmin6,C,25.0,125.00177764892578,60.83506393432617,124.46847534179688,266.7133483886719,196.0603790283203,97.4579849243164,83.29468536376953,400.108154296875,93.31271362304688,118.86444091796875,98.12149047851562,66.54763793945312
7,13,Dmin7,D,25.5,259.1612243652344,93.5133285522461,187.06622314453125,136.79263305664062,169.6652374267578,278.1916809082031,89.43924713134766,125.1319351196289,323.188232421875,140.07568359375,27.86072540283203,50.99197769165039
8,14,Amin,A,26.0,330.33447265625,138.40005493164062,283.55645751953125,439.2574462890625,998.1422729492188,493.3027648925781,117.91802978515625,196.10919189453125,421.4609375,1802.8648681640625,316.3673400878906,98.30738067626953
9,14,F7,F,27.0,716.8271484375,190.10711669921875,426.7353515625,1140.3885498046875,894.03662109375,544.4859619140625,153.47547912597656,140.5882568359375,186.73362731933594,606.9989013671875,183.99005126953125,188.9579315185547
10,15,Bb7,Bb,28.0,1484.3858642578125,1490.5440673828125,6202.04638671875,3586.548583984375,2928.727294921875,10890.2060546875,2311.300537109375,782.755859375,3555.748779296875,3727.088623046875,15727.5595703125,2570.099609375
11,17,Bb7,Bb,32.0,1311.2396240234375,2653.517822265625,13440.7177734375,3197.072998046875,4679.95458984375,23447.244140625,4858.70654296875,1488.0797119140625,7722.57470703125,7689.01123046875,33631.16796875,5141.1005859375
