,Measure,Groovy Samba,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Gmin7,G,2.0,17.03434181213379,67.69371032714844,307.4507141113281,59.41108322143555,171.7107391357422,996.6123657226562,156.11683654785156,159.1149139404297,31.504661560058594,74.8503189086914,115.52155303955078,28.31732177734375
1,3,Ab7,Ab,4.0,632.2970581054688,189.69224548339844,559.2532958984375,1372.4388427734375,358.5252380371094,242.88539123535156,629.7052612304688,342.7676696777344,148.2502899169922,231.759765625,507.7184753417969,205.3791961669922
2,4,Gmin7,G,6.0,25.938186645507812,60.99419021606445,263.94134521484375,116.3682632446289,203.8463897705078,1004.096435546875,192.97117614746094,172.6736602783203,34.63899230957031,69.7387466430664,116.46875,30.376022338867188
3,5,Gmin7,G,8.0,74.61250305175781,254.75022888183594,1704.8892822265625,316.9504699707031,189.57826232910156,1006.958984375,417.5843811035156,1709.8707275390625,316.86773681640625,195.37921142578125,551.2640991210938,128.4396209716797
4,6,Adim7,A,10.0,367.7447814941406,89.650634765625,205.80101013183594,921.259033203125,283.3412780761719,208.9525604248047,581.7498168945312,139.1377716064453,32.533836364746094,314.12664794921875,1718.6109619140625,314.3692932128906
5,7,Daugmented-seventh,D,12.0,861.8197631835938,248.92579650878906,415.310791015625,148.27537536621094,124.43627166748047,271.3004150390625,636.3189697265625,386.0894470214844,109.6006088256836,543.2031860351562,3330.416259765625,639.9533081054688
6,8,Gmin7,G,14.0,21.465377807617188,64.3523178100586,279.7754211425781,73.57247924804688,170.43394470214844,986.7129516601562,251.3009033203125,634.8110961914062,96.65973663330078,70.99950408935547,119.8136978149414,29.916099548339844
7,9,Amin7,A,16.0,426.7825927734375,348.8442077636719,1335.40087890625,275.1918029785156,383.07763671875,381.7416687011719,1161.3675537109375,416.7779235839844,124.95291900634766,423.0594177246094,112.30680084228516,110.10104370117188
8,9,D7,D,17.0,58.83006286621094,22.26849365234375,66.76541900634766,27.54691505432129,60.409942626953125,52.39036178588867,122.27023315429688,28.32133674621582,9.239013671875,118.32538604736328,658.437255859375,96.74059295654297
9,10,Gmin7,G,18.0,134.53733825683594,197.8719482421875,577.0588989257812,174.04457092285156,463.72998046875,1943.0162353515625,545.8555908203125,892.5879516601562,259.44696044921875,400.0233154296875,1008.8993530273438,251.6725616455078
10,11,Cmin,C,20.0,331.2200927734375,72.72372436523438,224.23756408691406,903.1616821289062,210.41180419921875,138.3908233642578,150.87989807128906,836.89501953125,127.63180541992188,20.25954818725586,19.04875373840332,77.13260650634766
11,12,F7,F,22.0,470.6352844238281,129.65928649902344,218.64625549316406,949.436767578125,501.4421081542969,480.6732482910156,145.1267852783203,366.8321533203125,543.374755859375,3586.867431640625,2593.688720703125,422.1965637207031
12,13,Bbmaj7,Bb,24.0,23.889375686645508,76.9942855834961,403.4334411621094,129.1211700439453,200.9250030517578,1007.0011596679688,133.85861206054688,20.959455490112305,167.81971740722656,1179.852783203125,257.8511657714844,19.737180709838867
