,Measure,HappyPeople,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Amin7,A,0.0,4991.98779296875,1334.3228759765625,938.8302612304688,4211.51123046875,20392.171875,5704.9921875,1500.2603759765625,5305.94189453125,5052.9384765625,14341.8798828125,2652.75244140625,1769.0242919921875
1,3,Amin7,A,4.0,12197.9599609375,3132.813232421875,5400.94140625,6449.43310546875,28516.740234375,5190.5556640625,3471.7568359375,10412.1357421875,5345.2607421875,11087.1455078125,2701.96875,5987.23095703125
2,7,Fmaj7,F,12.0,3341.016357421875,624.08154296875,209.4639892578125,754.8303833007812,3493.015380859375,1737.2032470703125,404.97802734375,744.7908325195312,699.2106323242188,1702.5689697265625,405.7198791503906,783.3804321289062
3,8,Dmin7,D,14.0,2525.685302734375,843.7422485351562,1910.1517333984375,493.483154296875,893.8269653320312,3745.305908203125,890.4717407226562,215.7769775390625,250.28550720214844,1247.332275390625,252.4118194580078,461.6468200683594
4,9,Amin,A,16.0,8096.64697265625,1774.76416015625,1039.3458251953125,3618.8818359375,17338.052734375,3679.400146484375,2059.509521484375,1693.1590576171875,5974.01123046875,32856.21484375,5625.12646484375,4996.29150390625
5,12,A7,A,22.0,544.5171508789062,2631.413818359375,566.63818359375,657.5789184570312,2853.332763671875,817.41650390625,343.1222229003906,1702.3480224609375,1188.62548828125,1965.4810791015625,367.62744140625,270.86993408203125
6,13,D7,D,24.0,1989.9364013671875,993.9244995117188,2827.9892578125,600.0531616210938,363.9087219238281,746.0673217773438,3919.3291015625,725.2880249023438,350.5399169921875,1922.50732421875,400.7179870605469,354.0116271972656
7,14,C7,C,26.0,560.3779296875,140.9327392578125,108.96320343017578,260.2547302246094,1131.6827392578125,218.6351318359375,104.18773651123047,451.8902282714844,120.06744384765625,113.92459106445312,499.473388671875,249.05223083496094
8,14,D7,D,27.0,813.00732421875,279.5823669433594,630.1417846679688,158.54098510742188,240.49232482910156,261.1524353027344,919.027099609375,227.83270263671875,61.37590026855469,248.58155822753906,100.1193618774414,163.9089813232422
9,15,A7,A,28.0,498.1289978027344,1830.23095703125,537.0003051757812,655.1039428710938,2817.079345703125,813.723876953125,637.1862182617188,1753.3026123046875,1310.8541259765625,4277.7744140625,690.592041015625,288.2367248535156
10,16,A7,A,30.0,552.9366455078125,2640.4130859375,589.7498168945312,664.4246215820312,2858.204833984375,812.0949096679688,369.759033203125,1713.4085693359375,1214.9315185546875,2065.724365234375,385.197509765625,276.5085144042969
11,17,D7,D,32.0,2107.280029296875,1012.9729614257812,2857.842041015625,605.9297485351562,361.3066101074219,744.719970703125,3916.6669921875,725.5591430664062,349.9443054199219,1920.119140625,407.234130859375,372.0437316894531
12,18,Amin7,A,34.0,550.009521484375,140.55929565429688,82.01493072509766,212.88975524902344,904.388916015625,183.98973083496094,112.0038833618164,492.32177734375,251.96417236328125,520.5542602539062,133.2498321533203,180.22967529296875
13,18,D7,D,35.0,814.3696899414062,279.2102966308594,629.2531127929688,160.59243774414062,232.2853240966797,253.72259521484375,913.2600708007812,226.19020080566406,64.53498840332031,249.704833984375,67.3128890991211,157.88047790527344
14,19,Amin7,A,36.0,6235.419921875,1321.24755859375,873.233642578125,1945.5640869140625,9422.412109375,1694.0406494140625,1682.5460205078125,4888.80615234375,3056.292236328125,11601.8974609375,1888.2813720703125,1712.6297607421875
