,Measure,Harlem Nocturne,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Gmajor-minor(09),G,2.0,3815.117431640625,1104.6732177734375,1620.3419189453125,345.50341796875,342.94091796875,1844.4814453125,7316.2578125,3387.15625,806.305908203125,2398.130126953125,2872.255859375,1099.8031005859375
1,4,Cmin7,C,6.0,4735.705078125,993.2424926757812,1252.614501953125,5741.23828125,1528.7589111328125,281.1680603027344,598.2488403320312,2884.634521484375,496.7098083496094,493.8551025390625,2794.004638671875,1457.2877197265625
2,6,Cmin(maj7),C,10.0,1395.90087890625,279.7215881347656,310.3235168457031,1872.3712158203125,489.1932373046875,101.62371826171875,198.1757049560547,966.6212768554688,141.45022583007812,67.91500091552734,295.7275085449219,1413.54248046875
3,7,Eb7,Eb,12.0,157.63919067382812,278.7061462402344,196.4910125732422,443.6371154785156,113.78118896484375,40.056026458740234,52.31800842285156,272.25201416015625,69.039794921875,54.15004348754883,251.0634765625,84.7140121459961
4,7,A7,A,12.666666666666664,59.84941101074219,223.18133544921875,113.54256439208984,292.9507141113281,184.61329650878906,63.6463508605957,36.28450393676758,165.81271362304688,82.2475814819336,87.30538177490234,61.8927116394043,33.76264572143555
5,7,D7,D,13.333333333333336,66.06676483154297,175.71229553222656,74.26463317871094,75.13412475585938,155.535888671875,58.7940673828125,50.71427536010742,99.2565689086914,120.27826690673828,545.7761840820312,108.2252426147461,19.298049926757812
6,8,Gmin7,G,14.0,4495.18359375,4860.86865234375,10652.1298828125,4203.9541015625,8242.08203125,23355.845703125,15628.0234375,21968.203125,4814.41943359375,9740.806640625,9901.4619140625,3021.306640625
7,13,F7,F,24.0,12.81010913848877,19.93921661376953,173.18226623535156,65.31108856201172,15.016266822814941,26.88385772705078,435.0458068847656,3201.987548828125,506.5284118652344,20.06989097595215,12.7606201171875,27.051332473754883
8,14,Bb7,Bb,26.0,132.11460876464844,112.1956558227539,382.1225891113281,216.65977478027344,178.2266082763672,560.0735473632812,147.04408264160156,145.05020141601562,202.8388671875,206.15806579589844,551.3881225585938,140.88575744628906
9,14,Fmin7,F,27.0,272.7789611816406,57.115753173828125,109.7399673461914,360.4862060546875,145.5712127685547,296.2921447753906,54.95286178588867,77.85342407226562,210.38751220703125,47.457828521728516,23.7430477142334,52.22251892089844
10,15,Bb7,Bb,28.0,121.64781951904297,92.28385162353516,363.5848083496094,188.6632537841797,169.94459533691406,548.84033203125,149.85560607910156,148.9298858642578,198.15306091308594,207.8260040283203,568.3988647460938,144.26951599121094
11,15,Fmin7,F,29.0,272.957275390625,56.51570510864258,111.08489990234375,363.1601257324219,144.15292358398438,293.0585632324219,54.388458251953125,77.34734344482422,209.77931213378906,47.82151412963867,23.20998191833496,52.093353271484375
12,16,Bb7,Bb,30.0,121.4527359008789,91.76909637451172,363.4308776855469,189.8406524658203,169.5979766845703,547.4833984375,149.8167266845703,148.6294403076172,197.07513427734375,209.001220703125,569.391357421875,143.7725372314453
13,16,Fmin7,F,31.0,391.2380065917969,99.53365325927734,152.60638427734375,511.9306945800781,199.23968505859375,316.7316589355469,109.7711181640625,233.2474365234375,410.5538024902344,107.88631439208984,37.51131820678711,88.35855102539062
14,17,Bb7,Bb,32.0,378.693603515625,373.5469970703125,1937.3829345703125,784.9071655273438,559.4201049804688,2300.603515625,472.2542419433594,125.3477783203125,554.6461791992188,1049.5963134765625,5443.201171875,903.5021362304688
15,18,Eb7,Eb,34.0,91.17766571044922,355.2544250488281,198.49505615234375,564.8284301757812,112.21839141845703,110.49919891357422,64.74456024169922,268.2763977050781,61.7093505859375,348.3609313964844,2275.33935546875,369.9061279296875
16,18,Bbmin7,Bb,35.0,48.48599624633789,143.16505432128906,58.9619255065918,121.3861312866211,82.93314361572266,356.9305114746094,83.10494232177734,61.01887512207031,108.51046752929688,64.98958587646484,133.3903350830078,35.828433990478516
17,19,Eb7,Eb,36.0,69.95767974853516,245.7701873779297,174.0013427734375,557.4722900390625,127.09212493896484,159.31288146972656,74.70684051513672,264.7898864746094,73.69830322265625,362.6789855957031,2333.05029296875,377.7932434082031
18,19,Bbmin7,Bb,37.0,49.41238021850586,140.65948486328125,52.278629302978516,118.35086822509766,81.23465728759766,353.9580993652344,84.26716613769531,61.99760437011719,108.4518814086914,65.12562561035156,133.8419189453125,35.91958236694336
19,20,Bb,Bb,38.0,917.1875,2595.899169921875,6224.86181640625,3647.008544921875,2913.334228515625,11807.3017578125,2933.101806640625,1694.5693359375,7768.47705078125,5395.4638671875,17061.671875,3314.957275390625
20,23,Gmin(maj7),G,44.0,811.99462890625,2803.451416015625,13069.7705078125,2575.385498046875,1820.53076171875,5648.39501953125,19914.525390625,24173.294921875,5268.98095703125,13890.50390625,14145.5830078125,2637.7822265625
21,26,Cmin7,C,50.0,4813.55810546875,999.6900024414062,1226.0406494140625,5735.69677734375,1538.1572265625,286.2043151855469,576.658203125,3000.521484375,517.6045532226562,493.3472900390625,2858.605712890625,1470.5841064453125
22,28,Cmin(maj7),C,54.0,1396.490234375,280.6516418457031,312.5220031738281,1872.9305419921875,488.0357360839844,100.91921997070312,199.4336395263672,974.267333984375,142.768310546875,68.19213104248047,294.7596130371094,1413.5208740234375
