,Measure,Hippies,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Emin,E,0.0,347.8461608886719,101.06600189208984,149.06912231445312,667.4271850585938,3292.195556640625,586.9327392578125,385.8903503417969,1527.3895263671875,368.3522644042969,122.01802825927734,317.7676086425781,2043.2193603515625
1,2,A,A,2.0,357.9082336425781,1739.9920654296875,381.1734313964844,571.287109375,2676.418212890625,680.1113891601562,85.2482681274414,173.42286682128906,787.7565307617188,2010.5120849609375,341.8201599121094,155.28662109375
2,3,Emin,E,4.0,356.8653259277344,152.5363006591797,159.0625457763672,664.3801879882812,3347.800537109375,599.15576171875,398.7578125,1536.9693603515625,370.7478332519531,131.22438049316406,318.75823974609375,2031.1629638671875
3,4,A,A,6.0,361.0788879394531,1757.5032958984375,384.06005859375,572.2156982421875,2681.003662109375,683.8478393554688,85.57630157470703,173.48985290527344,788.126220703125,2009.2901611328125,341.662109375,155.2995147705078
4,5,Emin7,E,8.0,404.4925842285156,461.5134582519531,2330.9560546875,1016.1937866210938,3461.789306640625,674.7491455078125,343.3692626953125,1509.3968505859375,377.7987365722656,201.2471923828125,335.2884521484375,2013.2098388671875
5,6,A7,A,10.0,457.67041015625,1839.2889404296875,456.50830078125,639.3549194335938,2788.437744140625,998.0614624023438,368.74951171875,1688.9559326171875,930.3480834960938,1663.6627197265625,330.4809875488281,286.0381774902344
6,7,Emin7,E,12.0,402.1072692871094,463.5119934082031,2337.529052734375,1022.5831909179688,3459.306640625,699.3850708007812,347.9676818847656,1512.25927734375,378.6993408203125,195.69195556640625,331.2970275878906,1984.8099365234375
7,8,A7,A,14.0,427.5777587890625,1824.3240966796875,454.6814270019531,632.7780151367188,2761.070068359375,801.519287109375,332.0072021484375,1667.9295654296875,913.8707885742188,1638.2445068359375,325.489501953125,280.9690246582031
8,9,Emin,E,16.0,358.8686828613281,151.81748962402344,156.57691955566406,676.6818237304688,3418.977294921875,607.5909423828125,384.9728698730469,1537.0032958984375,374.7083740234375,131.37782287597656,321.7334899902344,2050.364013671875
9,10,A,A,18.0,360.614501953125,1758.4742431640625,385.7901611328125,572.2168579101562,2680.392822265625,683.8638305664062,85.64340209960938,173.42381286621094,787.8978881835938,2009.1749267578125,341.6699523925781,155.1622772216797
