,Measure,HustlerThe,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmin7,D,0.0,1993.0322265625,748.871826171875,1900.6998291015625,430.4610595703125,798.1605834960938,3602.398681640625,818.25244140625,193.265625,243.6563720703125,1251.61669921875,242.9145050048828,331.3802490234375
1,2,C#min7,C#,2.0,718.1668090820312,1700.7340087890625,401.9495544433594,766.8908081054688,3443.566162109375,985.4124145507812,252.8346405029297,253.6371307373047,1334.9384765625,285.3956298828125,339.0707092285156,1911.4588623046875
2,3,Cmin7,C,4.0,1749.86572265625,499.7677917480469,842.824951171875,3160.677001953125,959.6113891601562,248.82582092285156,288.5323486328125,1487.7882080078125,313.7048645019531,365.6164245605469,1944.5069580078125,763.5834350585938
3,4,Bmin7,B,6.0,405.8854064941406,574.25927734375,2053.360107421875,840.89501953125,302.7487487792969,749.1369018554688,4001.147216796875,694.9853515625,260.7190246582031,1263.5621337890625,597.6381225585938,1842.76708984375
4,5,Dmin7,D,8.0,42534.23828125,15706.46484375,46893.03125,10838.6884765625,16920.65234375,69741.84375,20826.181640625,43779.9375,22507.3515625,108230.8046875,73315.21875,16648.947265625
5,13,G7/G,G,24.0,505.0089111328125,353.1787414550781,1125.3548583984375,625.6382446289062,749.9838256835938,3545.109375,1406.1597900390625,2067.708251953125,436.96337890625,332.2535095214844,426.3794860839844,1927.9708251953125
6,14,G,G,26.0,557.5034790039062,1032.099365234375,6713.63916015625,1086.9473876953125,224.11712646484375,593.2765502929688,517.4216918945312,2030.4598388671875,479.1246032714844,364.2412414550781,395.6467590332031,2137.01611328125
7,15,G7,G,28.0,531.365966796875,609.1018676757812,2664.319091796875,845.8684692382812,725.2036743164062,3593.626953125,1435.5299072265625,2070.538330078125,448.7832946777344,366.7990417480469,471.7254943847656,2081.151611328125
8,16,G,G,30.0,556.7385864257812,1021.4501953125,6629.36865234375,1075.2310791015625,223.99913024902344,593.4422607421875,517.6395263671875,2040.0751953125,480.244384765625,363.4381103515625,394.3338623046875,2128.8203125
9,17,Bb,Bb,32.0,63.014041900634766,125.8438720703125,625.0851440429688,171.4094696044922,226.23545837402344,946.7924194335938,358.3653869628906,910.279541015625,224.17881774902344,238.44578552246094,531.5313110351562,128.15594482421875
10,17,F,F,33.0,355.8721923828125,177.13397216796875,384.0528259277344,104.97539520263672,240.802978515625,770.5274047851562,170.2472686767578,265.7228088378906,177.48040771484375,785.76904296875,167.46246337890625,73.01478576660156
11,18,G,G,34.0,185.21282958984375,139.3147430419922,713.3463745117188,141.50123596191406,81.12593078613281,324.5453186035156,241.0232391357422,1039.0848388671875,210.3855438232422,103.90435028076172,103.7182388305664,542.8945922851562
