,Measure,I Wish,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,9,Ebmin7,Eb,16.0,103.97045135498047,42.031192779541016,83.0931625366211,222.39576721191406,84.96588134765625,303.6753845214844,188.1124725341797,36.50094223022461,50.46421813964844,61.63425827026367,54.0408935546875,31.420312881469727
1,9,Ab7,Ab,17.0,26.638092041015625,33.21955871582031,157.43072509765625,54.7185173034668,63.33833312988281,316.8182067871094,86.88985443115234,218.9402618408203,106.25619506835938,39.7732048034668,46.93991470336914,20.18351173400879
2,10,Ebmin7,Eb,18.0,581.0554809570312,168.43080139160156,246.29754638671875,790.923828125,658.8013305664062,422.3950500488281,131.21144104003906,356.2298583984375,720.578857421875,211.71107482910156,180.9079132080078,180.25538635253906
3,10,Ab7,Ab,19.0,246.11805725097656,107.60641479492188,243.87571716308594,957.1530151367188,268.5013732910156,317.5447692871094,1144.0697021484375,367.1778259277344,501.9561767578125,137.63157653808594,182.43251037597656,574.2736206054688
4,11,Ebmin7,Eb,20.0,132.3009490966797,157.97784423828125,649.98486328125,459.6177062988281,288.53033447265625,1008.548583984375,402.9233093261719,122.6560287475586,491.2596740722656,352.0245056152344,579.9404907226562,203.33544921875
5,11,Ab7,Ab,21.0,553.8192749023438,131.59425354003906,172.80372619628906,322.1748352050781,1148.824951171875,411.1930847167969,145.09349060058594,557.3923950195312,175.1768798828125,125.38137817382812,528.6810913085938,281.65399169921875
6,12,Ebmin7,Eb,22.0,610.6542358398438,153.074951171875,194.09153747558594,853.3464965820312,608.2531127929688,488.9406433105469,134.83351135253906,268.4712829589844,690.4989624023438,198.8175811767578,114.31542205810547,176.81224060058594
7,12,Ab7,Ab,23.0,212.1519775390625,193.1031494140625,640.0208129882812,458.0562744140625,316.4789733886719,1015.4714965820312,282.7050476074219,117.60272216796875,484.7583312988281,299.1506652832031,553.6387939453125,153.7310028076172
8,13,Ebmin7,Eb,24.0,35.77192306518555,66.78722381591797,94.97979736328125,100.73212432861328,74.5724105834961,290.7933044433594,307.036376953125,68.88002014160156,53.68284606933594,31.96515464782715,74.68248748779297,29.32415771484375
9,13,Ab7,Ab,25.0,560.3539428710938,225.4901580810547,234.95079040527344,782.4931640625,252.2069549560547,298.6976623535156,1275.9683837890625,454.2463073730469,483.5808410644531,119.6773910522461,102.3670654296875,154.47109985351562
10,14,Ebmin7,Eb,26.0,191.76609802246094,585.343994140625,384.2577209472656,1096.5855712890625,224.05787658691406,297.5289611816406,1251.944580078125,261.39654541015625,100.12820434570312,128.54356384277344,630.502197265625,127.76496124267578
11,14,Ab7,Ab,27.0,570.2788696289062,141.8645477294922,145.1542205810547,632.4862670898438,222.74815368652344,225.02891540527344,927.0121459960938,364.923583984375,427.3410339355469,104.40081787109375,56.1286506652832,107.85704803466797
12,15,Ebmin7,Eb,28.0,181.48040771484375,572.8141479492188,311.4463195800781,909.115234375,183.61572265625,295.8697814941406,1212.3612060546875,229.6771240234375,54.296024322509766,108.01917266845703,575.3551025390625,115.326416015625
13,15,Ab7,Ab,29.0,518.80029296875,208.7966766357422,230.70745849609375,811.5411987304688,236.59259033203125,252.84814453125,1199.424072265625,415.302734375,477.6369934082031,111.8155746459961,93.05020141601562,131.5192413330078
14,16,Ebmin7,Eb,30.0,190.313720703125,559.9421997070312,354.6705322265625,1103.0968017578125,205.1654052734375,261.7440490722656,1153.6373291015625,232.46295166015625,58.01943588256836,109.9896011352539,577.5498657226562,114.35387420654297
15,16,Ab7,Ab,31.0,524.9593505859375,207.76116943359375,230.228515625,825.013916015625,244.1526336669922,255.41497802734375,1196.898681640625,417.6521301269531,479.8367004394531,111.60842895507812,92.43313598632812,136.1731414794922
16,17,Bb7,Bb,32.0,96.08456420898438,68.49024200439453,66.50968170166016,235.1237335205078,49.94581985473633,67.95649719238281,371.9662170410156,80.89041900634766,40.64228820800781,24.45037078857422,75.24732208251953,38.89326095581055
17,17,C7,C,33.0,559.5263061523438,229.32310485839844,243.52647399902344,800.0234375,248.6319122314453,280.9800720214844,1281.2562255859375,463.7322082519531,494.4935607910156,118.1460952758789,101.64391326904297,147.15403747558594
18,18,Fmin7,F,34.0,192.61451721191406,581.0387573242188,365.7537841796875,1090.2841796875,213.592041015625,286.868408203125,1255.8721923828125,260.9114685058594,97.03907012939453,126.33257293701172,618.546875,124.63282012939453
19,18,Abmin7,Ab,35.0,564.7053833007812,141.14535522460938,140.73057556152344,626.2727661132812,215.67755126953125,214.5755157470703,932.7802734375,358.2126770019531,416.3738098144531,102.95318603515625,55.52994155883789,105.94759368896484
20,19,Bb7,Bb,36.0,180.7941436767578,572.3684692382812,304.26727294921875,906.9700317382812,181.27020263671875,275.8927917480469,1207.14892578125,230.8437957763672,54.02193069458008,108.44756317138672,577.7936401367188,114.92218780517578
21,19,C7,C,37.0,518.0950927734375,206.9567108154297,225.2943878173828,810.3123168945312,236.48500061035156,253.832275390625,1203.58544921875,417.7921447753906,476.5303039550781,111.3807601928711,92.53105926513672,132.62646484375
