,Measure,IdleMoments,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin,C,0.0,485.9871520996094,134.42250061035156,242.994384765625,934.609130859375,280.8528747558594,55.56553268432617,90.26245880126953,463.0775451660156,82.43042755126953,32.290279388427734,54.21754837036133,153.26287841796875
1,1,Cmin(maj7),C,1.0,57.82521438598633,19.751462936401367,43.93367004394531,194.25733947753906,29.754484176635742,4.449517250061035,33.206520080566406,238.2625732421875,60.76982116699219,7.796253681182861,2.81626033782959,15.90364933013916
2,2,Cmin7,C,2.0,544.3966674804688,153.17266845703125,301.5140686035156,854.3189086914062,284.8511047363281,75.10259246826172,123.23853302001953,634.7680053710938,152.9303436279297,118.23491668701172,590.8621215820312,458.995849609375
3,2,Cmin6,C,3.0,495.5959167480469,181.36949157714844,301.1921081542969,1045.5738525390625,291.32037353515625,61.10687255859375,109.07006072998047,498.0955505371094,146.4889373779297,442.444091796875,149.5113067626953,174.8468780517578
4,3,Cmin,C,4.0,54.09127426147461,17.656673431396484,33.38529586791992,182.5805206298828,27.46647071838379,2.398839235305786,13.903453826904297,78.89287567138672,20.293209075927734,25.10349464416504,10.091954231262207,13.138167381286621
5,3,Cmin(maj7),C,5.0,177.4870147705078,42.852996826171875,87.88033294677734,361.5359802246094,92.17215728759766,17.922073364257812,57.85459518432617,352.8348693847656,75.79080200195312,17.21404457092285,17.120685577392578,47.59061050415039
6,4,Cmin7,C,6.0,546.0753173828125,153.6625213623047,295.5274353027344,842.766357421875,281.9706115722656,74.9331283569336,123.81151580810547,637.3453369140625,153.62017822265625,120.67591094970703,589.1375732421875,456.0479431152344
7,4,Cmin6,C,7.0,499.1591796875,185.6995849609375,317.94415283203125,1063.0364990234375,294.539306640625,62.58217239379883,127.0268325805664,616.5791625976562,217.1412811279297,476.336669921875,153.76316833496094,181.9527587890625
8,5,Dmin7,D,8.0,1969.1395263671875,816.4469604492188,2032.7275390625,1198.8416748046875,912.302001953125,3642.3916015625,852.4756469726562,320.46405029296875,242.4525146484375,1130.2525634765625,238.5827178955078,335.47955322265625
9,6,G7(#9),G,10.0,477.9717712402344,351.6528015136719,1116.8275146484375,636.1126098632812,801.1077270507812,3636.985107421875,1341.6141357421875,1695.2352294921875,418.6387023925781,541.4063110351562,2003.7900390625,2187.60888671875
