,Measure,InAllMy,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G#min7,G#,0.0,122.9658432006836,79.92877960205078,228.5264129638672,967.0175170898438,181.7844696044922,243.9509735107422,1113.3289794921875,364.783447265625,525.0408325195312,141.2161407470703,187.3761749267578,532.2335815429688
1,1,A,A,1.0,135.0161590576172,520.7537841796875,161.9274139404297,468.4393615722656,1185.3192138671875,290.16986083984375,152.51316833496094,68.21958923339844,256.0158996582031,493.0691223144531,112.64044952392578,126.61992645263672
2,2,F#min7,F#,2.0,150.2232208251953,399.6123352050781,98.5654067993164,235.033203125,900.5440063476562,407.062255859375,483.5688781738281,130.37583923339844,237.0442657470703,544.1124877929688,164.4255828857422,138.29258728027344
3,2,C#min7,C#,3.0,147.98838806152344,386.5390930175781,82.18810272216797,164.38706970214844,722.8661499023438,166.813232421875,131.21890258789062,68.46772003173828,234.51429748535156,49.32981491088867,75.90202331542969,381.2122497558594
4,3,G#7,G#,4.0,510.994140625,177.3184356689453,231.4037322998047,907.642333984375,411.8817443847656,285.46649169921875,1089.142822265625,410.5584411621094,507.2718200683594,126.89220428466797,98.48844146728516,160.60922241210938
5,3,A,A,5.0,64.33979034423828,28.840866088867188,37.01909255981445,215.6559295654297,144.37294006347656,40.651031494140625,144.60662841796875,32.31076431274414,19.076187133789062,5.255171298980713,6.889998912811279,22.01508140563965
6,4,E/G#,E,6.0,61.09030532836914,90.4706802368164,56.23469924926758,304.0212097167969,452.144287109375,92.66616821289062,59.50051498413086,169.8201141357422,687.4892578125,180.1780242919922,37.98060989379883,105.433349609375
7,4,F#min/A,F#,6.666666666666668,79.89453887939453,230.3762664794922,65.23681640625,85.74567413330078,222.3596954345703,174.3450469970703,626.2534790039062,124.25203704833984,150.68821716308594,250.40460205078125,81.86763000488281,59.439453125
8,4,E,E,7.333333333333332,66.70174407958984,52.678829193115234,14.259011268615723,50.28874206542969,232.0531768798828,50.49800491333008,86.02861785888672,32.79074478149414,76.89136505126953,27.83863639831543,55.9771614074707,240.56886291503906
9,5,E/G#,E,8.0,18.78902244567871,17.823429107666016,10.71568775177002,56.63106155395508,92.75338745117188,28.9028263092041,29.276918411254883,84.63717651367188,535.9000244140625,91.15872955322266,14.247015953063965,44.62382888793945
10,5,F#min,F#,8.666666666666666,56.192501068115234,114.2870101928711,45.341156005859375,119.15133666992188,421.5674743652344,137.21263122558594,236.852294921875,79.83792877197266,110.75821685791016,93.97286987304688,48.91704177856445,160.78848266601562
11,5,E,E,9.333333333333334,24.65601921081543,75.76895141601562,23.97071647644043,38.817710876464844,84.4665756225586,38.33500289916992,132.69613647460938,27.21158790588379,24.235862731933594,40.85484313964844,26.352357864379883,56.47285079956055
12,6,E,E,10.0,578.3998413085938,598.3103637695312,227.7053680419922,944.5048828125,3880.575439453125,691.2501831054688,393.0426025390625,553.80224609375,3582.248779296875,4137.37158203125,991.718505859375,2729.409912109375
13,7,D/E,D,12.0,62.10683059692383,331.9481201171875,1340.7750244140625,426.7713623046875,474.448486328125,325.98388671875,1154.4427490234375,219.3448486328125,128.8310089111328,471.23779296875,114.46289825439453,44.44633102416992
14,7,A,A,13.0,208.6944122314453,1006.4086303710938,326.5457763671875,220.59507751464844,749.8804321289062,218.2538299560547,144.71202087402344,75.15677642822266,254.5508575439453,540.3748168945312,140.6112518310547,202.98585510253906
15,8,E,E,14.0,561.3128051757812,689.798583984375,224.77320861816406,834.5886840820312,3616.5625,647.2102661132812,261.3072509765625,538.7842407226562,3605.905517578125,3653.204833984375,851.8776245117188,2247.991943359375
16,9,D/E,D,16.0,60.727996826171875,316.3381652832031,1347.565673828125,432.79345703125,480.3539733886719,333.11810302734375,1193.0172119140625,226.2407989501953,127.1939926147461,478.2711486816406,116.33016967773438,49.183258056640625
17,9,A,A,17.0,148.50726318359375,756.2988891601562,246.70941162109375,223.3332977294922,760.26953125,240.52049255371094,164.20770263671875,90.75137329101562,319.80145263671875,915.6806640625,183.59600830078125,195.53404235839844
18,10,G#min7,G#,18.0,150.27395629882812,141.44227600097656,222.9748077392578,1043.025634765625,375.1508483886719,289.3998718261719,1125.594970703125,355.7523498535156,551.5902099609375,171.99464416503906,221.2016143798828,622.6736450195312
19,10,A,A,19.0,127.57088470458984,481.6844177246094,155.11219787597656,472.9790344238281,1204.132080078125,292.8931579589844,154.20314025878906,70.98816680908203,261.3603820800781,498.544921875,113.0323486328125,128.10841369628906
20,11,F#min7,F#,20.0,239.01316833496094,329.0088806152344,96.06814575195312,238.8819122314453,903.7678833007812,415.7906799316406,504.6277770996094,144.18296813964844,275.8717346191406,757.782470703125,280.6902770996094,661.0263061523438
21,11,C#min7,C#,21.0,151.409912109375,460.1587219238281,99.68470001220703,165.27296447753906,724.22021484375,166.7025604248047,133.0458221435547,70.33311462402344,241.10870361328125,63.10908508300781,79.54375457763672,380.2106018066406
22,12,G#7,G#,22.0,513.9251098632812,195.7228546142578,239.1315460205078,907.76513671875,412.6068420410156,286.5283508300781,1090.2965087890625,412.0158996582031,507.4472351074219,128.15797424316406,99.22583770751953,162.89988708496094
23,12,A,A,23.0,208.79884338378906,531.1495971679688,159.6390838623047,479.5210876464844,1176.4105224609375,287.8384094238281,167.65158081054688,79.80309295654297,271.2608642578125,496.4236145019531,101.9203872680664,60.39090347290039
24,13,E/G#,E,24.0,97.88027954101562,305.35797119140625,99.98931884765625,296.0833435058594,478.3923034667969,84.7419662475586,54.90794372558594,157.38661193847656,668.5523071289062,193.41502380371094,43.77969741821289,118.87299346923828
25,13,F#min,F#,24.66666666666667,46.893672943115234,210.54669189453125,48.84535598754883,92.19515228271484,199.21759033203125,131.24130249023438,604.2036743164062,132.77798461914062,99.6443099975586,230.1243896484375,66.05213165283203,45.88035583496094
26,13,E,E,25.33333333333333,56.951602935791016,44.45991897583008,22.095624923706055,59.951045989990234,264.9001770019531,53.32557678222656,86.71813201904297,33.14212417602539,83.55943298339844,44.40248489379883,62.20628356933594,245.74317932128906
27,14,Amaj7,A,26.0,72.56680297851562,204.2703399658203,68.15074157714844,82.25077056884766,178.3848114013672,72.73434448242188,35.38035583496094,53.924556732177734,219.8765411376953,123.32360076904297,40.829830169677734,37.21963119506836
28,14,E,E,26.5,53.0966911315918,48.29158401489258,25.511550903320312,78.3402328491211,198.14967346191406,53.20136642456055,21.856225967407227,25.912994384765625,106.43209838867188,35.66246795654297,31.941736221313477,145.06576538085938
29,14,E/F#,E,27.0,45.738338470458984,42.993499755859375,9.709244728088379,49.22623825073242,184.06431579589844,78.9852523803711,149.13455200195312,43.75819396972656,88.26217651367188,25.826507568359375,35.270809173583984,112.09286499023438
30,14,E/G#,E,27.5,56.0504150390625,33.63037109375,31.71209144592285,145.2728729248047,266.3260192871094,67.36070251464844,85.27027893066406,76.95584869384766,155.57887268066406,52.11528015136719,59.03367233276367,191.26824951171875
31,15,D,D,28.0,40.321170806884766,87.00252532958984,152.49302673339844,97.07907104492188,200.79241943359375,96.4356689453125,305.8460388183594,67.71369934082031,70.97493743896484,131.5978240966797,41.267581939697266,78.77928924560547
32,15,E/F#,E,28.5,41.11989974975586,29.351394653320312,51.6810417175293,87.70874786376953,215.16065979003906,88.4742660522461,163.24293518066406,51.22129440307617,115.74361419677734,46.703189849853516,44.09263610839844,176.00978088378906
33,15,E7,E,29.0,39.82462692260742,43.638370513916016,200.0187530517578,137.8476104736328,228.87583923339844,72.72034454345703,119.9814682006836,44.16851806640625,121.55931854248047,42.31319808959961,29.919357299804688,95.22238159179688
34,15,Amaj7,A,29.5,50.84518051147461,145.6309356689453,100.19384002685547,89.08614349365234,173.9657440185547,68.1443862915039,39.0307502746582,42.899200439453125,161.61973571777344,119.24967193603516,43.73362350463867,61.45965576171875
35,16,A6,A,30.0,61.57429122924805,216.4901580810547,59.7672004699707,82.63615417480469,225.77650451660156,136.16629028320312,307.4004211425781,94.5840072631836,119.18070220947266,102.73785400390625,36.87681198120117,24.221778869628906
36,16,E/G#,E,30.5,45.288082122802734,53.93637466430664,41.33675003051758,119.87154388427734,217.79026794433594,51.618228912353516,133.97915649414062,46.4386100769043,128.11813354492188,98.4637680053711,51.633270263671875,172.95960998535156
37,16,E/F#,E,31.0,56.42344665527344,48.30522537231445,14.470473289489746,54.41630172729492,185.02366638183594,82.65419006347656,182.1053009033203,55.54052734375,100.39434814453125,26.44081687927246,40.949466705322266,162.2626495361328
38,16,G#7,G#,31.5,134.0745086669922,64.1665267944336,64.6238021850586,195.80995178222656,145.45709228515625,81.4953842163086,210.77239990234375,110.06478118896484,151.28082275390625,47.43807601928711,22.13239288330078,63.11962890625
39,17,D/E,D,32.0,55.0929069519043,93.06087493896484,211.1279296875,179.61505126953125,159.3716583251953,120.18472290039062,323.7966003417969,71.85913848876953,63.50893020629883,128.59510803222656,47.44468688964844,26.216459274291992
40,17,E/F#,E,32.5,54.50617599487305,45.638423919677734,86.47463989257812,166.3324432373047,333.38592529296875,118.0727310180664,170.5749969482422,101.9986343383789,167.35707092285156,60.51374435424805,29.372617721557617,91.16254425048828
41,17,E7,E,33.0,52.98270034790039,48.795108795166016,213.39105224609375,145.14370727539062,246.5157012939453,76.69676971435547,119.25691986083984,43.953983306884766,117.09576416015625,41.736026763916016,42.89870834350586,176.9425811767578
42,17,Amaj7,A,33.5,54.35505676269531,166.8629913330078,106.0615234375,95.73990631103516,193.6986541748047,71.35845184326172,49.34177780151367,47.486480712890625,161.2805633544922,118.1483383178711,50.68843078613281,86.22806549072266
43,18,A6,A,34.0,66.34175109863281,220.6885223388672,63.00776672363281,95.56446075439453,247.30108642578125,130.63540649414062,272.870361328125,96.81005859375,124.80748748779297,101.3683090209961,36.114906311035156,27.84100914001465
44,18,E/G#,E,34.5,61.996734619140625,71.3620834350586,39.33760070800781,131.5135040283203,221.6169891357422,83.55448150634766,107.88446044921875,86.7386474609375,131.72119140625,62.160430908203125,48.6806640625,138.1693878173828
45,18,E/F#,E,35.0,76.58871459960938,57.19200134277344,33.47580337524414,119.07706451416016,267.8667907714844,110.67218780517578,179.115966796875,96.1182632446289,185.5547332763672,47.699188232421875,45.46993637084961,131.42514038085938
46,18,D/E,D,35.5,21.225433349609375,74.21428680419922,154.35667419433594,125.36517333984375,210.2512664794922,110.60271453857422,337.7499694824219,86.53612518310547,60.81650924682617,126.44747924804688,46.93104934692383,37.99796676635742
47,19,G#7,G#,36.0,30.75287628173828,81.8431167602539,200.74769592285156,150.4130401611328,376.8273620605469,126.43579864501953,490.0185546875,94.32173919677734,73.6402359008789,135.9494171142578,76.81879425048828,74.23365020751953
48,19,C#min7,C#,37.0,398.7489318847656,524.2553100585938,276.8308410644531,647.2446899414062,1060.580078125,375.0780029296875,444.8970031738281,171.8497314453125,469.7370300292969,111.63704681396484,129.7370147705078,619.4012451171875
49,20,F#min7,F#,38.0,123.74344635009766,436.0877380371094,113.62276458740234,163.58404541015625,342.014892578125,199.4774169921875,179.52183532714844,63.30570602416992,188.65699768066406,236.0785675048828,73.57829284667969,74.29612731933594
50,20,E,E,38.66666666666666,101.77278900146484,106.3307113647461,42.59933853149414,135.2383575439453,346.5780944824219,104.86864471435547,84.31230926513672,73.79759979248047,344.843505859375,151.7382049560547,78.1713638305664,235.7440185546875
51,20,E/A,E,39.333333333333336,20.465112686157227,67.34561157226562,124.95830535888672,65.05030059814453,143.1830291748047,95.2088623046875,252.9960174560547,58.498653411865234,58.282867431640625,93.21587371826172,37.70656967163086,68.171142578125
52,21,D,D,40.0,21.15497398376465,71.02283477783203,191.09996032714844,143.89511108398438,378.6963806152344,105.018798828125,375.5396423339844,60.275115966796875,61.96580123901367,91.24967193603516,30.12580108642578,58.93452835083008
53,22,E/G#,E,42.0,74.27426147460938,32.3548469543457,45.52783203125,146.7823028564453,457.6356506347656,92.17127227783203,46.738372802734375,56.17057800292969,206.18983459472656,42.29732131958008,47.34764099121094,209.3345184326172
54,22,E/B,E,42.66666666666666,38.33510208129883,171.2833709716797,41.80498123168945,42.54862594604492,129.96206665039062,27.83819580078125,17.655366897583008,15.475150108337402,51.98588180541992,9.0635986328125,12.256186485290527,46.15156936645508
55,22,E,E,43.33333333333334,39.146453857421875,42.15251541137695,11.454829216003418,64.02498626708984,278.2444152832031,47.331390380859375,21.85325813293457,81.00902557373047,556.9764404296875,146.21990966796875,31.724061965942383,103.08878326416016
56,23,E,E,44.0,36.9926643371582,63.423519134521484,37.72745895385742,147.73983764648438,721.4877319335938,144.95188903808594,37.39565658569336,59.92686080932617,714.277587890625,3987.1865234375,597.8744506835938,122.77783966064453
57,24,D/E,D,46.0,214.0795135498047,1011.6618041992188,329.5373840332031,222.6847381591797,749.5501098632812,219.2659454345703,147.05532836914062,76.24768829345703,256.0659484863281,542.028564453125,145.50558471679688,243.2970733642578
58,24,A,A,47.0,173.51055908203125,224.4100341796875,74.86901092529297,264.6523742675781,1063.0032958984375,203.8871612548828,72.63615417480469,111.47064208984375,693.6293334960938,1268.0264892578125,292.12060546875,612.5397338867188
