,Measure,Instant Death,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C,C,0.0,1758.6136474609375,387.7261962890625,214.7974853515625,673.677001953125,3431.310546875,810.7311401367188,466.1914367675781,1592.9586181640625,449.0838623046875,164.55746459960938,143.55043029785156,652.6942138671875
1,2,C,C,2.0,183.031494140625,47.2651481628418,106.32830810546875,145.36260986328125,590.9371948242188,130.20664978027344,250.5883331298828,1629.7254638671875,274.749755859375,75.37065887451172,423.4176025390625,119.81085205078125
2,3,C,C,4.0,235.56471252441406,63.3013916015625,41.31787109375,213.46995544433594,1169.667724609375,418.0135498046875,199.40586853027344,242.25392150878906,145.99478149414062,78.6130142211914,41.29378128051758,130.1885528564453
3,4,C,C,6.0,182.90235900878906,47.12083053588867,106.31603240966797,144.26828002929688,584.4661254882812,128.76683044433594,249.73736572265625,1625.0341796875,274.2428283691406,75.35929870605469,423.3983154296875,119.64389038085938
4,5,C,C,8.0,169.80609130859375,47.34979248046875,17.885263442993164,122.9970703125,653.8206176757812,123.3977279663086,30.277503967285156,128.7056427001953,267.8305969238281,1676.4110107421875,440.1337585449219,72.08574676513672
5,6,C,C,10.0,212.98756408691406,53.84480667114258,38.62862014770508,124.93665313720703,650.2251586914062,544.0609130859375,160.6202850341797,550.6423950195312,126.47309112548828,78.76846313476562,23.923866271972656,55.420955657958984
6,7,C,C,12.0,169.99839782714844,34.31928634643555,17.82149887084961,116.40072631835938,586.1176147460938,117.6463851928711,33.01358413696289,124.22396087646484,28.643836975097656,67.92728424072266,417.3472595214844,104.08621978759766
7,8,C,C,14.0,892.6531372070312,144.1793670654297,27.365266799926758,128.7711944580078,650.0845336914062,146.92581176757812,59.19028854370117,312.2985534667969,77.05109405517578,183.7246551513672,975.1701049804688,271.1005554199219
8,9,C,C,16.0,575.4828491210938,126.28780364990234,94.19718170166016,634.7853393554688,722.9754028320312,147.33726501464844,52.50779724121094,303.8984680175781,76.0719223022461,26.29290008544922,46.584598541259766,118.15099334716797
9,10,C,C,18.0,180.677001953125,39.77880096435547,28.612831115722656,121.16403198242188,604.4172973632812,175.42823791503906,50.2603759765625,126.96424102783203,36.56535720825195,305.3160400390625,2054.48046875,349.7779235839844
10,11,C,C,20.0,310.533935546875,80.1740951538086,47.07563781738281,237.6597137451172,643.0167846679688,378.7596130371094,276.2379455566406,237.40333557128906,68.88639068603516,64.25354766845703,60.72848892211914,77.0492172241211
11,12,C,C,22.0,166.2632598876953,32.69797134399414,13.85333251953125,115.45458984375,588.8145141601562,100.66299438476562,27.206464767456055,123.90408325195312,25.3868408203125,4.539385795593262,5.2815327644348145,41.081607818603516
12,13,C,C,24.0,1899.7652587890625,304.86273193359375,35.642356872558594,125.0644302368164,612.4002075195312,121.1078109741211,61.91524887084961,188.31813049316406,47.63078689575195,21.931900024414062,49.84758377075195,287.4873046875
13,14,C,C,26.0,185.48158264160156,43.704254150390625,72.55598449707031,132.21258544921875,604.156982421875,137.95046997070312,41.52135467529297,153.38851928710938,103.97025299072266,280.9849548339844,1368.0155029296875,295.7013244628906
14,15,C9,C,28.0,322.8444519042969,80.96288299560547,94.72454071044922,134.7627716064453,653.2410888671875,548.7496948242188,147.49526977539062,546.0184936523438,140.53121948242188,94.4713363647461,119.40222930908203,85.01123046875
15,16,C,C,30.0,166.0110626220703,33.31687927246094,17.371461868286133,116.8813705444336,597.2340698242188,102.54193115234375,27.411020278930664,123.4970703125,27.470823287963867,6.604133129119873,14.426529884338379,44.15194320678711
16,17,C,C,32.0,466.6252746582031,88.2448959350586,41.48815155029297,314.1620178222656,1711.93310546875,267.591796875,64.61412811279297,312.2918395996094,62.41779708862305,14.141223907470703,26.830360412597656,119.2225570678711
