,Measure,Israel,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,C,C,2.0,150.42698669433594,41.025787353515625,24.628931045532227,72.1574935913086,329.97576904296875,73.13513946533203,31.066770553588867,131.4888153076172,34.139869689941406,12.938437461853027,14.325614929199219,55.17027282714844
1,3,F,F,4.0,5493.861328125,1115.306396484375,280.3599548339844,463.92578125,2498.32470703125,10509.787109375,1734.8817138671875,694.2451171875,706.5729370117188,3594.812744140625,720.743896484375,891.3622436523438
2,5,C,C,8.0,13480.4287109375,3085.709228515625,3811.0810546875,7385.28369140625,28969.3203125,7805.1171875,2921.773193359375,12417.5341796875,3083.237548828125,1872.4842529296875,2656.75146484375,4029.757568359375
3,9,Cmin7,C,16.0,151.53660583496094,51.83206558227539,95.39459991455078,291.6454772949219,108.05327606201172,123.04637908935547,55.83137893676758,137.24261474609375,34.737003326416016,48.5090446472168,172.32257080078125,80.98675537109375
4,10,Cmin,C,18.0,1658.02978515625,397.7359313964844,705.3098754882812,3158.1689453125,950.63720703125,255.8120574951172,337.0935974121094,1833.2275390625,332.4468688964844,111.69759368896484,189.14088439941406,484.5916748046875
5,11,Cmin6,C,20.0,1745.0244140625,532.9669189453125,796.87109375,3130.169921875,930.1729125976562,193.43846130371094,487.7880554199219,2870.390869140625,626.0678100585938,1357.6842041015625,383.8637390136719,533.1924438476562
6,12,C7,C,22.0,1714.697265625,360.645751953125,290.8720397949219,886.7233276367188,3863.9111328125,670.169189453125,466.4749450683594,2906.612060546875,611.6133422851562,361.4454040527344,1722.02978515625,765.9238891601562
7,13,Fmin7,F,24.0,2079.760009765625,492.4196472167969,630.4104614257812,2644.517822265625,1314.5623779296875,1626.63671875,372.2083435058594,754.5553588867188,1662.18603515625,422.3290710449219,188.52760314941406,470.2384033203125
8,14,Fmin6,F,26.0,651.7146606445312,194.6051788330078,613.0809326171875,167.6094512939453,285.9914245605469,1115.2081298828125,214.57867431640625,106.264892578125,435.1832275390625,119.9435806274414,64.46204376220703,107.74451446533203
9,14,G7,G,27.0,312.3269348144531,145.1934356689453,330.7798767089844,190.8185272216797,249.66539001464844,1050.171142578125,454.8840637207031,479.4500427246094,154.52113342285156,283.0794677734375,1495.7537841796875,760.9876098632812
10,15,Cmaj7,C,28.0,2045.9444580078125,411.3144836425781,472.4141845703125,896.008056640625,3878.599609375,1366.8341064453125,613.160400390625,2898.049560546875,572.2350463867188,180.1495361328125,583.6056518554688,3614.632568359375
11,16,Ebmaj7,Eb,30.0,205.81407165527344,379.0992736816406,2059.5458984375,3319.733154296875,667.6290283203125,239.78045654296875,294.0345153808594,1528.3179931640625,331.2548522949219,388.6424255371094,1920.07373046875,496.6544494628906
12,17,Abmaj7,Ab,32.0,1679.7369384765625,462.1749267578125,678.5520629882812,2523.063720703125,808.3803100585938,232.6686553955078,369.8346862792969,1937.85302734375,1752.55859375,347.7608642578125,200.0284881591797,511.1805419921875
13,18,G7,G,34.0,505.0459289550781,804.2765502929688,1186.650390625,727.7097778320312,859.6491088867188,3765.845947265625,1364.61328125,1718.5950927734375,655.950927734375,342.1206970214844,445.6218566894531,1923.11767578125
14,19,Cmin7,C,36.0,504.2784118652344,144.5927276611328,366.2095642089844,1018.389404296875,319.7981262207031,99.22945404052734,241.07061767578125,1451.4549560546875,280.8280334472656,128.25453186035156,579.674560546875,269.643310546875
15,19,Eb7,Eb,37.0,181.9913787841797,575.83154296875,408.9139404296875,1034.9324951171875,253.47271728515625,338.0482482910156,161.4351043701172,524.2727661132812,130.91600036621094,140.75111389160156,573.35498046875,155.95274353027344
16,20,Ab7,Ab,38.0,516.3145141601562,235.745849609375,414.0432434082031,930.2515258789062,285.4922180175781,261.58697509765625,1118.113037109375,473.5696105957031,495.3132019042969,188.464111328125,113.08448028564453,135.6477813720703
17,20,G7,G,39.0,2294.224609375,1178.3006591796875,3735.05078125,3899.889404296875,2450.760986328125,11095.3408203125,5976.82373046875,9587.7841796875,1761.1456298828125,845.6430053710938,1377.8236083984375,6514.42822265625
