,Measure,ItCouldHappenToYou,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Fmaj7,F,0.0,5368.7626953125,893.55224609375,217.611328125,730.8198852539062,3367.991455078125,1719.3626708984375,351.5372314453125,328.9164123535156,612.6982421875,1730.0887451171875,398.2275695800781,963.739501953125
1,2,Amin7(b5),A,2.0,524.7734985351562,172.0568389892578,174.01002502441406,356.5068664550781,914.2578735351562,214.28814697265625,117.93567657470703,514.8956909179688,238.34825134277344,531.0176391601562,166.68482971191406,182.9530029296875
2,2,D7,D,3.0,310.4892272949219,133.7454376220703,274.8594970703125,87.26040649414062,177.6387939453125,164.78976440429688,736.0016479492188,176.748779296875,156.4341278076172,962.0880737304688,147.3441925048828,57.85249328613281
3,3,Gmin7,G,4.0,277.9148864746094,681.1264038085938,3632.492919921875,732.3704223632812,822.1923828125,3008.6455078125,1250.1463623046875,1717.6080322265625,466.5072326660156,1000.0775756835938,1986.4111328125,389.1399230957031
4,4,Bmin7(b5),B,6.0,149.8731231689453,197.7266845703125,608.6924438476562,253.0532989501953,121.43094635009766,395.6835632324219,1162.8466796875,229.57000732421875,109.76042938232422,449.5409240722656,199.03611755371094,541.5609130859375
5,4,E7,E,7.0,88.47916412353516,54.1614990234375,307.85546875,173.17002868652344,647.8364868164062,175.18695068359375,212.588623046875,77.64055633544922,236.1986541748047,74.1830062866211,82.78726196289062,394.0243835449219
6,5,Fmaj7,F,8.0,3196.095703125,579.6845703125,212.70709228515625,708.8231811523438,3345.889892578125,1634.9232177734375,374.1935119628906,567.1991577148438,691.9208984375,1761.4990234375,404.8082580566406,851.3524780273438
7,6,Bb7,Bb,10.0,709.3093872070312,478.7303771972656,1966.8870849609375,561.6652221679688,806.1571655273438,3152.402099609375,832.147705078125,464.2378845214844,1444.2666015625,960.7014770507812,2380.261962890625,501.9568176269531
8,7,Amin7(b5),A,12.0,1817.7421875,420.7327880859375,231.33013916015625,651.6860961914062,3186.4951171875,718.3678588867188,305.8737487792969,1550.73876953125,1201.86572265625,5097.12744140625,890.5171508789062,592.5834350585938
9,8,D7,D,14.0,2356.729736328125,862.0501098632812,1928.4598388671875,456.7616882324219,331.9358215332031,733.4443359375,3762.510498046875,702.5226440429688,246.59385681152344,1236.3443603515625,281.6496887207031,393.7393493652344
10,9,Gmin7,G,16.0,241.52978515625,340.57855224609375,1052.228759765625,325.74932861328125,818.703369140625,3069.910400390625,1122.6759033203125,1645.63330078125,1093.784423828125,5705.259765625,2680.962158203125,393.8710021972656
11,10,Eb7,Eb,18.0,372.3636779785156,1919.9259033203125,1026.4986572265625,3118.287109375,776.243408203125,335.1014404296875,310.1308288574219,1487.345703125,960.2139282226562,4872.8544921875,2923.416259765625,488.2243347167969
12,11,Fmaj7,F,20.0,2082.08203125,439.9418640136719,189.4681854248047,774.552734375,3343.057861328125,1617.365234375,328.8551025390625,393.8441162109375,863.7988891601562,3608.474609375,628.934814453125,501.5579833984375
13,12,Emin7(b5),E,22.0,139.96763610839844,132.20899963378906,674.93310546875,339.1043395996094,1021.2841186523438,228.6914825439453,118.16018676757812,464.0079650878906,114.37744140625,92.80941009521484,104.69207763671875,557.4583740234375
14,12,A7,A,23.0,165.70265197753906,546.4673461914062,151.9917755126953,215.5853729248047,778.9429321289062,243.95648193359375,129.5009002685547,591.6720581054688,321.5667724609375,517.4371948242188,123.82708740234375,111.806884765625
15,13,Dmin7,D,24.0,2348.5595703125,1006.3087768554688,1834.2081298828125,477.7012939453125,1326.3927001953125,3541.807861328125,809.9976196289062,358.5872802734375,305.9355163574219,1285.1573486328125,263.0771789550781,434.1162109375
16,14,G7,G,26.0,563.105224609375,368.5576171875,1085.3507080078125,607.3258056640625,759.9871215820312,3503.038818359375,1404.9403076171875,2059.126220703125,437.6356506347656,338.79931640625,422.0163879394531,1942.6953125
17,15,Gmin7,G,28.0,194.61448669433594,329.7848815917969,1072.5631103515625,281.810791015625,781.609375,3967.811767578125,1187.4615478515625,1625.8275146484375,408.3641662597656,797.5889282226562,1966.8997802734375,414.4093017578125
18,16,C7,C,30.0,1823.3895263671875,750.9424438476562,2991.174560546875,1171.01123046875,3792.0634765625,777.8912963867188,311.6890563964844,1523.3739013671875,447.1904602050781,401.3059387207031,1686.775390625,766.154052734375
19,17,Fmaj7,F,32.0,607.248779296875,154.41110229492188,77.07618713378906,223.70533752441406,1018.1376953125,503.5855712890625,111.5587387084961,129.04759216308594,335.559814453125,1448.9384765625,277.4117431640625,180.03863525390625
20,17,Bb7,Bb,33.0,107.03954315185547,28.256887435913086,75.91856384277344,63.75410079956055,197.2821807861328,104.73668670654297,163.5580596923828,1067.3612060546875,186.42759704589844,27.268102645874023,12.963314056396484,38.34785079956055
21,18,Amin7(b5),A,34.0,650.3148803710938,198.61181640625,310.39434814453125,244.091552734375,932.7240600585938,505.1507568359375,199.65708923339844,586.4384155273438,359.0563049316406,527.8137817382812,219.10902404785156,212.9264678955078
22,18,D7,D,35.0,78.34117126464844,23.944618225097656,33.17851638793945,50.62007522583008,160.47885131835938,97.18244171142578,33.02884292602539,43.631771087646484,25.633752822875977,15.73709487915039,5.710798740386963,20.205854415893555
23,19,Gmin7,G,36.0,3254.453125,815.8755493164062,1099.857177734375,330.9032287597656,754.8312377929688,3227.605224609375,2083.876220703125,1965.1549072265625,479.555908203125,908.741943359375,2030.6116943359375,822.5055541992188
24,20,C7,C,38.0,1697.8341064453125,365.8934326171875,376.3793640136719,779.7503051757812,3851.733642578125,935.6943969726562,429.5061950683594,1797.9166259765625,492.2010803222656,752.9080200195312,4526.33056640625,1166.91845703125
25,21,Fmaj7,F,40.0,2234.342529296875,451.871337890625,198.3628387451172,721.573974609375,3359.6767578125,1795.2744140625,361.2960510253906,428.740478515625,660.5398559570312,1914.4381103515625,398.1594543457031,526.0822143554688
26,22,Gmin7,G,42.0,75.05046081542969,105.90489959716797,328.7513732910156,122.96844482421875,240.21527099609375,910.08642578125,346.9068298339844,478.1549072265625,141.67727661132812,245.1573944091797,548.3656616210938,124.91656494140625
27,22,C7,C,43.0,3516.260009765625,759.073974609375,827.0764770507812,1533.07861328125,7368.94140625,2524.778564453125,720.748046875,2993.364990234375,803.7677612304688,668.3054809570312,3278.394775390625,1424.2049560546875
