,Measure,Its your thing,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,F7(#9),F,0.0,2143.835693359375,491.0107116699219,737.566650390625,3338.68359375,1731.2916259765625,1560.123046875,428.572265625,672.1908569335938,2191.8486328125,2004.7261962890625,488.5016784667969,523.1674194335938
1,2,Bb7,Bb,2.0,386.25732421875,462.3084716796875,2034.99072265625,594.9158325195312,885.8307495117188,4123.39111328125,952.79248046875,405.2796325683594,1461.14990234375,960.1328125,1982.0382080078125,397.9820251464844
2,3,F7(#9),F,4.0,2148.138427734375,494.6001892089844,745.093017578125,3387.05078125,1785.5733642578125,1887.1265869140625,483.2379150390625,724.8046875,2198.535400390625,2037.2325439453125,500.6037292480469,535.1718139648438
3,4,Bb7,Bb,6.0,9398.8798828125,9170.7763671875,41319.5,16766.646484375,19820.78125,94398.96875,23992.806640625,50604.95703125,67335.1015625,31652.783203125,33577.5,6791.26171875
4,14,F7(#9),F,26.0,60987.25390625,11879.6669921875,11565.8984375,59402.65234375,28606.9296875,24433.5859375,6545.81640625,15794.9921875,61668.328125,72959.1796875,13023.4296875,11560.82421875
5,22,F7(#9),F,42.0,2138.966552734375,497.2071228027344,728.864990234375,3326.272216796875,1758.1658935546875,1567.4681396484375,427.4576416015625,633.6047973632812,1893.01220703125,2236.836181640625,533.214111328125,521.6235961914062
6,23,Bb7,Bb,44.0,2048.105712890625,2271.485595703125,10136.2646484375,3324.283203125,3865.070068359375,18418.740234375,5127.90380859375,3407.4287109375,19708.029296875,5805.43701171875,9225.935546875,1815.3089599609375
7,26,F7(#9),F,50.0,2136.607666015625,491.9302673339844,750.8458862304688,3347.407958984375,1744.1331787109375,1634.9459228515625,440.5926513671875,678.2822875976562,2187.321533203125,2006.24755859375,494.4900207519531,522.3561401367188
8,27,Bb7,Bb,52.0,386.2257080078125,460.6360168457031,2023.9873046875,594.0056762695312,887.216552734375,4121.33056640625,954.2356567382812,405.5992431640625,1461.1026611328125,960.4292602539062,1985.3079833984375,398.4522705078125
9,28,F7(#9),F,54.0,2148.143798828125,494.6041259765625,745.0966796875,3387.0458984375,1785.56884765625,1887.13037109375,483.2365417480469,724.80029296875,2198.527587890625,2037.2237548828125,500.6037292480469,535.1723022460938
10,29,Bb7,Bb,56.0,1197.8275146484375,1487.5501708984375,6949.51904296875,2112.30322265625,2967.369384765625,14684.7490234375,3376.5537109375,3484.555908203125,6990.37548828125,3317.035400390625,6163.1953125,1169.6602783203125
