,Measure,James Bond,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Emin,E,0.0,346.8143310546875,77.32251739501953,80.87845611572266,278.8109436035156,995.1524047851562,230.77398681640625,165.1611785888672,458.625732421875,113.22607421875,100.63056182861328,323.6965637207031,2095.649658203125
1,1,Cmaj,C,1.0,1204.2734375,225.5426025390625,98.9625244140625,254.05528259277344,1071.7579345703125,200.78977966308594,110.12097930908203,495.496826171875,106.4125747680664,37.60249710083008,55.371952056884766,314.4190673828125
2,2,Emin,E,2.0,265.9637756347656,548.3546142578125,137.36363220214844,252.74366760253906,953.7239379882812,196.16796875,124.61151885986328,559.1334838867188,136.42750549316406,48.1393928527832,99.19754791259766,600.9251708984375
3,2,Cmaj,C,3.0,1209.214111328125,249.53509521484375,105.3565444946289,248.91453552246094,1064.9610595703125,198.19659423828125,106.91944122314453,486.51171875,105.97220611572266,36.423587799072266,50.690643310546875,290.8778381347656
4,3,Emin,E,4.0,432.3041076660156,104.0765609741211,87.91487884521484,271.9292297363281,960.3931274414062,224.4682159423828,182.4597930908203,556.9824829101562,128.7304229736328,99.83341217041016,333.02276611328125,2157.871337890625
5,3,Cmaj,C,5.0,1212.7916259765625,226.6863555908203,98.84395599365234,252.24000549316406,1065.2286376953125,200.05755615234375,109.69078826904297,491.77490234375,105.92166137695312,37.542686462402344,55.2158088684082,315.5885009765625
6,4,Emin,E,6.0,265.9243469238281,548.3638305664062,137.3618927001953,252.62025451660156,953.230224609375,196.10020446777344,124.59912109375,559.0414428710938,136.41917419433594,48.138641357421875,99.19274139404297,600.8705444335938
7,4,Cmaj,C,7.0,1209.219482421875,249.5364532470703,105.35538482666016,248.9087677001953,1064.9271240234375,198.1905975341797,106.91329956054688,486.4793701171875,105.97008514404297,36.424415588378906,50.69089889526367,290.8754577636719
8,5,Emin,E,8.0,195.236328125,66.8752212524414,67.46739196777344,221.84666442871094,938.6976928710938,182.5989990234375,161.8493194580078,557.9617309570312,120.64199829101562,43.633941650390625,101.7398452758789,614.12841796875
9,5,Cmaj,C,9.0,307.2552795410156,75.52774810791016,23.979713439941406,140.1622314453125,732.4928588867188,141.55746459960938,128.91355895996094,321.8668518066406,83.89403533935547,21.487668991088867,36.202579498291016,142.20899963378906
10,6,Emin,E,10.0,137.6752166748047,43.3028564453125,64.12725067138672,207.5226287841797,903.0243530273438,181.212646484375,158.2754669189453,570.5820922851562,120.94464874267578,42.08871841430664,97.65599822998047,591.8431396484375
11,6,Cmaj,C,11.0,508.1606750488281,119.97928619384766,77.62779998779297,221.7277374267578,1043.14501953125,197.3926239013672,163.73338317871094,913.226318359375,164.3635711669922,32.917545318603516,40.406246185302734,199.78883361816406
12,7,Emin,E,12.0,62.60946273803711,19.255651473999023,15.945294380187988,89.0059585571289,454.0745544433594,100.95782470703125,66.79437255859375,94.06036376953125,46.47443771362305,14.567294120788574,20.02728271484375,75.91021728515625
13,7,Cmaj,C,13.0,304.3382263183594,69.16145324707031,23.348424911499023,148.09007263183594,757.79736328125,136.7923126220703,129.0259246826172,334.8804016113281,88.80599212646484,20.72998809814453,31.058374404907227,162.23712158203125
14,8,Emin,E,14.0,135.5504913330078,43.161075592041016,64.15685272216797,207.1657257080078,897.66015625,180.46827697753906,158.3207550048828,570.1084594726562,120.9986572265625,42.28041076660156,94.7652359008789,574.0896606445312
15,8,Cmaj,C,15.0,507.4996032714844,119.82738494873047,77.92498779296875,222.905029296875,1042.8089599609375,197.2100372314453,163.2236785888672,911.265869140625,164.24783325195312,33.10042953491211,40.33273696899414,199.63255310058594
16,9,Emin,E,16.0,156.02992248535156,58.424991607666016,68.74954986572266,224.91734313964844,934.1035766601562,187.2388458251953,180.6065673828125,547.1198120117188,120.82611083984375,44.12742233276367,102.8175048828125,605.9264526367188
17,9,Cmaj,C,17.0,519.2463989257812,119.99898529052734,67.02628326416016,220.7803955078125,1037.7838134765625,209.17982482910156,172.4779052734375,506.774658203125,103.3633041381836,33.0963020324707,43.24148941040039,206.10862731933594
18,10,Emin,E,18.0,155.8936309814453,54.54586410522461,71.12578582763672,214.21083068847656,901.3311157226562,177.44288635253906,165.60462951660156,606.259765625,126.05514526367188,42.198951721191406,99.38924407958984,610.1317749023438
19,10,Cmaj,C,19.0,517.9563598632812,122.21392059326172,77.44928741455078,218.8321990966797,1031.32861328125,195.94361877441406,163.9600067138672,915.2870483398438,164.83734130859375,32.9555549621582,40.24898910522461,201.22145080566406
20,11,Emin,E,20.0,510.0213317871094,208.89210510253906,513.6392211914062,1311.41015625,3662.5791015625,636.8438110351562,403.3134460449219,1832.33447265625,400.2528076171875,229.89137268066406,368.781982421875,2081.197998046875
21,12,Emin9,E,22.0,637.8472900390625,432.7132263183594,1168.8096923828125,1142.8416748046875,1568.0579833984375,931.0460815429688,4509.53369140625,2286.97119140625,581.9934692382812,1224.727783203125,845.8145141601562,3250.0107421875
22,13,Emin,E,24.0,359.8191223144531,85.0223617553711,91.10867309570312,269.8349304199219,1063.7996826171875,248.4994659423828,168.58822631835938,446.0054016113281,112.23110961914062,101.85094451904297,335.2749938964844,2146.328857421875
23,13,Cmaj,C,25.0,1205.0819091796875,230.9653778076172,114.86048126220703,262.7181091308594,1089.7325439453125,202.50518798828125,116.97345733642578,502.760009765625,106.60990142822266,37.62961196899414,52.869293212890625,300.9649963378906
24,14,Emin,E,26.0,267.3999328613281,548.199462890625,136.4718780517578,247.56939697265625,945.385009765625,196.80157470703125,130.3485107421875,559.1907958984375,136.63877868652344,50.459442138671875,102.26559448242188,618.3668823242188
25,14,Cmaj,C,27.0,1210.591064453125,246.2020263671875,105.17288208007812,247.2008819580078,1066.273193359375,199.8820343017578,106.57821655273438,485.8412780761719,105.94605255126953,36.19000244140625,52.48896789550781,305.6205749511719
26,15,Emin,E,28.0,417.77392578125,101.8587875366211,89.51394653320312,277.2215270996094,957.885986328125,223.0165557861328,184.90855407714844,561.1224975585938,128.5304412841797,99.79891204833984,318.787109375,2056.965576171875
27,15,Cmaj,C,29.0,1210.2449951171875,226.7102813720703,99.4938735961914,253.23973083496094,1069.58203125,202.44969177246094,111.63933563232422,487.981689453125,106.09723663330078,37.5152587890625,53.20530319213867,303.9812316894531
28,16,Emin,E,30.0,269.72003173828125,547.3906860351562,139.54441833496094,255.1354217529297,955.5763549804688,196.32106018066406,123.74114990234375,557.4213256835938,136.15338134765625,48.132659912109375,102.36812591552734,622.0374755859375
29,16,Cmaj,C,31.0,1209.8638916015625,250.49095153808594,106.4269790649414,249.47129821777344,1062.6695556640625,198.0696258544922,109.34152221679688,488.7943115234375,106.06600189208984,36.383567810058594,51.02830123901367,293.56072998046875
30,17,Emin,E,32.0,195.37828063964844,65.28162384033203,72.16509246826172,222.00001525878906,936.387939453125,181.85569763183594,162.0681915283203,606.1334228515625,129.3061981201172,42.30498123168945,98.57921600341797,612.2405395507812
31,17,C,C,33.0,527.8056640625,154.4580078125,303.83807373046875,260.1139831542969,1044.1602783203125,202.51971435546875,117.64644622802734,492.965087890625,105.67850494384766,99.20709991455078,53.426700592041016,201.16139221191406
32,18,Emin,E,34.0,149.31932067871094,56.603275299072266,68.09346771240234,224.5369873046875,959.86083984375,246.7581787109375,156.82257080078125,676.812255859375,150.99400329589844,240.8416748046875,1458.845703125,763.2356567382812
33,18,C,C,35.0,516.480712890625,117.32894134521484,63.898193359375,217.22845458984375,1045.0849609375,195.43768310546875,102.35819244384766,493.8466491699219,100.04049682617188,31.05617332458496,38.11077117919922,203.15997314453125
34,19,Emin,E,36.0,150.69332885742188,57.18234634399414,122.75454711914062,246.099853515625,956.4887084960938,194.4611358642578,191.498779296875,1072.0980224609375,203.9536590576172,43.77284622192383,98.24800872802734,596.9013061523438
35,19,Cmaj,C,37.0,55.428131103515625,21.58925437927246,17.378841400146484,63.67438888549805,232.04718017578125,52.48591232299805,44.94497299194336,88.91019439697266,18.307775497436523,8.795839309692383,19.5187931060791,75.53828430175781
36,20,Emin,E,38.0,851.7926635742188,1191.5108642578125,281.17425537109375,616.1355590820312,3157.1435546875,576.3729248046875,366.7978515625,1848.1436767578125,428.6600341796875,133.2622833251953,310.7054138183594,1969.9979248046875
37,21,Emin,E,40.0,112.36587524414062,43.15007400512695,68.25813293457031,227.4890899658203,960.0646362304688,187.87030029296875,147.21995544433594,526.3466186523438,117.74565887451172,42.545894622802734,96.60680389404297,582.5621948242188
38,21,Cmaj,C,41.0,307.7207946777344,101.04297637939453,221.77854919433594,184.22698974609375,721.4462890625,131.74874877929688,82.80496978759766,324.0676574707031,90.10059356689453,99.55860137939453,49.55048751831055,141.99606323242188
39,22,Emin,E,42.0,130.8790740966797,43.87666320800781,62.21102523803711,221.240966796875,991.6683959960938,254.1100311279297,148.7574920654297,626.5037231445312,140.664794921875,241.52784729003906,1462.6016845703125,752.3407592773438
40,22,Cmaj,C,43.0,165.57801818847656,25.588966369628906,3.6662609577178955,71.0149917602539,422.6481018066406,64.44792938232422,40.906227111816406,208.7401123046875,49.635833740234375,8.740547180175781,13.095925331115723,70.16825103759766
41,23,Emin,E,44.0,120.17849731445312,49.85483932495117,122.41585540771484,249.1808319091797,994.0839233398438,202.4542999267578,192.44140625,1099.8597412109375,207.4654998779297,44.34128952026367,95.04192352294922,568.9603881835938
42,23,Cmaj,C,45.0,515.5368041992188,120.56929779052734,65.55399322509766,216.9497833251953,1054.514404296875,198.78797912597656,120.69153594970703,493.9505310058594,101.41254425048828,35.316551208496094,47.18913269042969,220.9970703125
43,24,Emin,E,46.0,498.6013488769531,141.242919921875,140.37791442871094,815.7852172851562,4217.78857421875,721.8876953125,378.125244140625,1776.2294921875,385.5132751464844,117.6744613647461,307.9029235839844,1978.5281982421875
44,25,Emin7,E,48.0,132.66746520996094,131.72239685058594,680.0209350585938,333.046142578125,979.0094604492188,196.73658752441406,147.2131805419922,470.7366027832031,120.02310180664062,69.25293731689453,105.21863555908203,590.5838623046875
45,25,B9,B,49.0,178.9375457763672,634.2927856445312,379.1534118652344,1073.6734619140625,375.2352294921875,295.5328063964844,1120.975830078125,259.6398620605469,152.244140625,468.2908630371094,216.5860137939453,470.6896057128906
46,26,Emin7,E,50.0,180.2833709716797,156.8761749267578,767.3767700195312,592.00927734375,1045.6453857421875,230.51963806152344,321.18670654296875,1187.5517578125,238.88165283203125,87.84598541259766,175.31080627441406,974.1983032226562
47,26,B9,B,51.0,139.50575256347656,378.7156982421875,200.16847229003906,656.58203125,274.9225158691406,193.02760314941406,972.231201171875,399.549072265625,107.673095703125,217.22845458984375,174.96429443359375,521.3745727539062
48,27,Emin7,E,52.0,150.15599060058594,155.4410400390625,735.4932250976562,432.8041076660156,984.0216674804688,210.06640625,238.8679962158203,520.1041870117188,120.54550170898438,74.01604461669922,120.3344955444336,646.9718627929688
49,27,B9,B,53.0,178.5978240966797,627.8131713867188,383.7164001464844,1091.6837158203125,378.1947937011719,303.770751953125,1160.1319580078125,268.4302062988281,151.4665069580078,463.5511779785156,216.972412109375,474.6767272949219
50,28,Emin7,E,54.0,180.4915771484375,157.1343231201172,767.8646850585938,592.3699340820312,1045.4530029296875,230.67408752441406,320.9314880371094,1181.5611572265625,237.8479461669922,87.972412109375,175.7111053466797,975.4788208007812
