,Measure,Jean De Fleur,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G#min7,G#,0.0,396.70068359375,255.138916015625,718.9415893554688,3290.453857421875,601.1015014648438,782.7172241210938,4040.710693359375,1802.6451416015625,1803.6123046875,390.3320617675781,560.3381958007812,1878.09033203125
1,2,F#min7,F#,2.0,1087.987060546875,4886.5263671875,859.25390625,694.718994140625,3237.283935546875,3443.759521484375,1890.13671875,351.6405944824219,678.8329467773438,1642.1282958984375,370.78076171875,297.935791015625
2,3,G#min7,G#,4.0,442.6840515136719,300.0236511230469,749.0468139648438,3407.939208984375,645.3465576171875,768.097900390625,3983.0595703125,1249.3492431640625,2187.433837890625,465.7660217285156,544.3641967773438,1786.2718505859375
3,4,Amaj7,A,6.0,499.5996398925781,1755.4468994140625,391.5272521972656,836.3578491210938,3305.188720703125,836.14697265625,294.92626953125,318.9071350097656,1603.41357421875,1723.1593017578125,324.1916809082031,236.1407470703125
4,5,G#min7,G#,8.0,231.083984375,152.885986328125,342.8266296386719,1641.4947509765625,360.2091369628906,377.36669921875,1769.7930908203125,732.740478515625,2295.447021484375,458.7337646484375,292.14605712890625,844.9188842773438
5,6,F#min9,F#,10.0,1050.8292236328125,4866.26611328125,971.5223999023438,827.4052124023438,2837.521240234375,1181.096923828125,1660.6915283203125,622.3497924804688,2389.052001953125,1843.7314453125,401.9558410644531,269.5274658203125
6,7,G#min7,G#,12.0,400.719970703125,285.2724304199219,722.1558227539062,3381.369140625,635.6018676757812,729.0219116210938,3897.821533203125,1413.7467041015625,3543.107421875,669.0579223632812,554.6510620117188,1815.1884765625
7,8,Amaj7,A,14.0,167.9732208251953,522.8710327148438,132.88687133789062,272.2083435058594,972.483154296875,263.3068542480469,78.5787582397461,157.58224487304688,772.416748046875,564.9122314453125,119.06890106201172,76.67554473876953
8,8,Bb13,Bb,15.0,26.15900230407715,77.14175415039062,21.349945068359375,68.53646087646484,158.1011199951172,36.03085708618164,16.815217971801758,11.684016227722168,54.34407424926758,19.554424285888672,11.369610786437988,43.916507720947266
9,9,Bb13,Bb,16.0,2137.740966796875,751.4295043945312,1360.0513916015625,2582.455810546875,1409.6885986328125,1907.8446044921875,1033.3162841796875,3557.876953125,2106.266357421875,523.5029296875,473.2940368652344,627.1963500976562
10,10,Bb13,Bb,18.0,661.8567504882812,232.97344970703125,426.4428405761719,806.7887573242188,480.0908508300781,525.7750854492188,281.48272705078125,831.6710815429688,592.612548828125,172.7994842529297,136.74685668945312,257.8966369628906
11,10,A13,A,19.0,131.89215087890625,38.76029968261719,53.58645248413086,196.62701416015625,61.46177291870117,95.4987564086914,65.93929290771484,240.5723419189453,71.55787658691406,23.396699905395508,30.474998474121094,35.05734634399414
12,11,Ab13,Ab,20.0,1435.458984375,2399.5732421875,1578.51611328125,2442.884521484375,3373.823974609375,5733.21533203125,3764.859130859375,1463.9854736328125,712.8954467773438,1180.218994140625,3000.500732421875,2269.529541015625
13,12,Ab13,Ab,22.0,331.8788757324219,661.3511352539062,390.2735290527344,550.2252197265625,439.8336486816406,1257.2635498046875,728.820068359375,169.02838134765625,159.2552032470703,269.3659362792969,693.5846557617188,234.69287109375
14,12,A13,A,23.0,44.82426834106445,109.51859283447266,61.34371566772461,91.0068359375,64.42650604248047,293.590087890625,156.69895935058594,33.874629974365234,29.721071243286133,25.372472763061523,36.07806396484375,18.705766677856445
15,13,Bb13,Bb,24.0,2583.502197265625,1287.7855224609375,2691.660888671875,3632.830078125,2962.4443359375,2743.263427734375,4202.97607421875,5131.28955078125,2514.776123046875,756.90283203125,790.163330078125,1998.96875
16,14,Bb13,Bb,26.0,650.9548950195312,237.8061981201172,486.0526428222656,819.4215698242188,486.5762023925781,559.2402954101562,311.1975402832031,814.9542846679688,582.99462890625,178.57415771484375,144.16416931152344,283.1639709472656
