,Measure,JigAJugC,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,7,G7,G,12.0,461.2117614746094,346.7132263183594,1107.6322021484375,673.7500610351562,784.4469604492188,3722.196044921875,1354.475341796875,1680.8262939453125,346.6189270019531,282.4250793457031,430.5096130371094,1914.25439453125
1,8,C7,C,14.0,47495.15625,9276.9677734375,7366.60986328125,16111.3515625,66933.9140625,17753.130859375,11739.3662109375,42950.1796875,26956.185546875,136643.28125,129648.21875,35842.44140625
2,16,D#min7,D#,30.0,85.47967529296875,150.07896423339844,108.33245086669922,230.96568298339844,64.49556732177734,80.80304718017578,267.1253356933594,153.40869140625,48.19443893432617,117.578369140625,163.8101348876953,40.16519546508789
3,16,Dmin7,D,30.5,252.8474884033203,152.86244201660156,179.51141357421875,120.404541015625,138.96315002441406,277.91510009765625,171.8338623046875,79.26612091064453,38.41072082519531,130.36569213867188,71.1738052368164,50.40673828125
4,16,C#min7,C#,31.0,210.62152099609375,189.61656188964844,135.2993621826172,184.190185546875,284.40692138671875,166.99014282226562,82.45938110351562,73.53680419921875,142.46295166015625,63.21363830566406,48.540592193603516,149.64659118652344
5,16,Cmin7,C,31.5,218.9228973388672,78.4228744506836,118.3976821899414,265.99774169921875,197.0819091796875,106.27886199951172,52.630859375,183.0605010986328,65.57860565185547,44.639408111572266,150.03431701660156,149.45558166503906
6,17,Cmin7,C,32.0,10194.3095703125,2404.333251953125,2332.712646484375,9018.2763671875,4324.23779296875,1499.62158203125,1244.1378173828125,5451.83056640625,1309.6417236328125,1062.4869384765625,5056.37646484375,2940.148193359375
7,19,G7,G,36.0,495.3497314453125,368.9505310058594,1118.9627685546875,697.4811401367188,774.8385620117188,3689.229736328125,1367.0169677734375,1670.22607421875,345.6726989746094,289.62469482421875,432.7773132324219,1878.0758056640625
8,20,C7,C,38.0,6726.63720703125,1291.6292724609375,932.3130493164062,2326.82763671875,11250.6318359375,2328.5263671875,1349.3927001953125,4575.5673828125,1250.7626953125,1806.7352294921875,10895.4111328125,4156.44384765625
9,22,D#min7,D#,42.0,82.18929290771484,149.8813934326172,110.23560333251953,229.6275177001953,62.06877136230469,77.29774475097656,266.5437316894531,159.17970275878906,52.588741302490234,139.51255798339844,150.72146606445312,38.9256591796875
