,Measure,JoeAvery'sBlues,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,4,Bb7,Bb,6.0,501.4582214355469,1074.6790771484375,6392.30224609375,1144.5635986328125,903.7230834960938,4151.47998046875,812.7534790039062,510.55078125,802.2066040039062,1838.1676025390625,8145.56005859375,1247.8243408203125
1,8,Eb7,Eb,14.0,32.86667251586914,134.76805114746094,289.54779052734375,1301.9031982421875,227.68699645996094,114.65872192382812,221.3822021484375,1232.61474609375,206.2357940673828,168.96827697753906,1078.1102294921875,184.0555877685547
2,10,Bb7,Bb,18.0,76.28251647949219,162.5908966064453,909.711181640625,221.06382751464844,221.32627868652344,845.9529418945312,173.4986114501953,115.37296295166016,214.4132537841797,453.5942077636719,2379.632568359375,357.6880798339844
3,12,F7,F,22.0,697.5712890625,205.2373809814453,253.1976318359375,1021.546142578125,711.2926635742188,2799.601806640625,489.6413269042969,327.8919982910156,207.82470703125,397.6291809082031,158.84544372558594,140.15676879882812
4,14,Bb7,Bb,26.0,168.1547393798828,163.18629455566406,952.316162109375,364.9917297363281,387.6808166503906,2165.55029296875,1610.6171875,9236.8798828125,1715.6981201171875,2838.9296875,19036.72265625,2790.108642578125
5,17,Bb7,Bb,32.0,96.80045318603516,165.49281311035156,768.3749389648438,156.3376922607422,472.2483825683594,2910.437255859375,570.8828735351562,82.44854736328125,309.8840637207031,3594.5029296875,24722.947265625,3561.3203125
6,21,Eb7,Eb,40.0,32.85992431640625,134.78294372558594,289.56671142578125,1302.0155029296875,227.72132873535156,114.70001983642578,221.38946533203125,1232.55029296875,206.22837829589844,168.969482421875,1077.815673828125,183.96153259277344
7,23,Bb7,Bb,44.0,76.28028869628906,162.5896759033203,909.7103881835938,221.06468200683594,221.35438537597656,846.0226440429688,173.5062255859375,115.37686157226562,214.4038848876953,453.4239807128906,2378.497802734375,357.5301513671875
8,25,F7,F,48.0,697.6057739257812,205.23895263671875,253.20025634765625,1021.497802734375,711.2929077148438,2799.612548828125,489.6380920410156,327.8537902832031,207.8056640625,397.63525390625,158.8488006591797,140.16607666015625
9,27,Bb7,Bb,52.0,139.74728393554688,493.2652587890625,530.965576171875,177.91151428222656,162.62608337402344,880.6729125976562,859.9292602539062,5226.51416015625,948.942138671875,829.38037109375,5312.28076171875,831.7285766601562
