,Measure,JungleJuice,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Emin7,E,0.0,1415.4146728515625,1481.7930908203125,8604.81640625,3715.7587890625,13754.2744140625,2357.782470703125,1452.2408447265625,5849.70556640625,2420.110107421875,6812.662109375,2149.77685546875,7741.96630859375
1,3,Emin7,E,5.0,4903.90673828125,6320.31494140625,38747.9765625,15572.0185546875,55653.28515625,10725.84765625,10731.013671875,63930.59765625,17094.50390625,40742.45703125,48345.28125,31966.8125
2,9,C7,C,20.0,5528.162109375,1222.9344482421875,1451.4031982421875,2858.39453125,14653.65234375,2482.472412109375,2941.32421875,18382.626953125,3611.522216796875,1123.789306640625,5359.37353515625,2607.301025390625
3,11,Emin7,E,25.0,1412.9151611328125,1473.0401611328125,9009.8212890625,3858.78515625,13655.8671875,2381.369384765625,3035.468994140625,17880.990234375,3436.261962890625,663.5209350585938,1278.41357421875,7714.05712890625
4,13,Emin7,E,30.0,2919.410400390625,3049.533447265625,18174.95703125,8389.439453125,33256.265625,5428.32275390625,2602.034912109375,13117.4609375,3262.310791015625,1235.7274169921875,2622.163818359375,16553.13671875
5,17,Amin7,A,40.0,6637.67724609375,1389.2559814453125,730.260498046875,2813.011962890625,14613.55859375,2338.212158203125,1303.3831787109375,6261.49365234375,2752.266357421875,5583.84326171875,1223.8260498046875,2226.051025390625
6,19,Emin7,E,45.0,456.1418151855469,450.1733703613281,2543.140380859375,1252.559326171875,4788.71923828125,908.759521484375,1398.6346435546875,8391.4794921875,2198.156982421875,4098.73681640625,945.9379272460938,2089.458251953125
7,21,Dbmin11,Db,50.0,1.3467926979064941,1.0063508749008179,3.1863105297088623,3.711247682571411,16.497657775878906,2.7807323932647705,0.8129729628562927,4.709656238555908,1.03249990940094,0.24512392282485962,0.3190706670284271,1.7991546392440796
8,22,Ebmin11,Eb,52.5,293.373046875,274.8553771972656,430.6900329589844,2042.04150390625,1078.4613037109375,434.8001403808594,1665.61376953125,497.013427734375,467.589111328125,113.8961181640625,389.9559326171875,1252.7994384765625
9,23,Fmin11,F,55.0,996.9915161132812,3057.863037109375,1298.04931640625,2458.607666015625,1439.98486328125,5309.43798828125,3131.196533203125,1338.7625732421875,5760.34619140625,1680.90673828125,2934.627197265625,862.349365234375
10,24,Gmin11,G,57.5,716.3255004882812,447.1809997558594,361.4355163574219,878.1994018554688,576.3088989257812,1012.2653198242188,310.8869323730469,608.3510131835938,588.0676879882812,465.8786926269531,1891.6605224609375,501.4158630371094
11,25,Emin7,E,60.0,91992.6015625,26052.166015625,51437.02734375,28931.349609375,68444.640625,94875.0703125,32911.05078125,96309.9765625,36052.41015625,126721.25,59187.74609375,42497.57421875
12,35,C7,C,85.0,46.31959533691406,110.44274139404297,563.7616577148438,204.45106506347656,313.9058837890625,196.50537109375,1391.5191650390625,9933.3701171875,2848.58203125,9521.3798828125,5906.72802734375,719.9336547851562
13,37,Emin7,E,90.0,1303.0928955078125,234.1671142578125,530.135986328125,933.9020385742188,5143.12451171875,822.8671264648438,2000.3037109375,13933.81640625,2303.06494140625,183.98004150390625,733.339599609375,603.580322265625
14,39,Emin7,E,95.0,233.02171325683594,193.1741485595703,1263.329345703125,1039.7352294921875,4211.91259765625,742.64794921875,3123.3623046875,21743.42578125,3467.164794921875,144.45252990722656,211.1599578857422,975.7020874023438
