,Measure,JustFriends,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bbmaj7,Bb,0.0,102.66262817382812,278.014404296875,903.7267456054688,269.7880859375,568.9080810546875,1352.5926513671875,348.3962707519531,120.83837890625,844.008056640625,5701.60693359375,1672.8975830078125,185.8172149658203
1,2,Bbmaj7,Bb,2.0,83.98589324951172,230.7340850830078,893.3582153320312,237.056640625,349.9305725097656,1342.7176513671875,361.8432312011719,90.11233520507812,160.3967742919922,810.9719848632812,925.9889526367188,162.68536376953125
2,3,Bbmin7,Bb,4.0,392.7676696777344,1793.9136962890625,505.2056884765625,200.85340881347656,362.2383728027344,1503.9058837890625,578.8221435546875,2124.811279296875,1053.5269775390625,502.4620361328125,940.0153198242188,226.24127197265625
3,4,Eb7,Eb,6.0,189.59458923339844,974.6128540039062,495.7583923339844,1406.80517578125,320.105712890625,229.6623077392578,161.68312072753906,672.85400390625,178.22979736328125,175.7041473388672,842.8070678710938,214.81207275390625
4,5,Fmaj7,F,8.0,931.9920043945312,250.3787078857422,220.76271057128906,487.9601135253906,1497.7420654296875,755.1482543945312,491.8123474121094,2498.620849609375,635.8793334960938,813.3316040039062,209.10145568847656,258.1405944824219
5,6,Fmaj7,F,10.0,994.7097778320312,222.0407257080078,95.8614501953125,376.1427307128906,1574.8272705078125,863.072021484375,175.00901794433594,204.99810791015625,295.8885803222656,792.9568481445312,191.5251922607422,253.4346466064453
6,7,Abmin7,Ab,12.0,438.6241149902344,165.27130126953125,317.79388427734375,1298.618408203125,415.7506103515625,817.8926391601562,1755.2628173828125,528.5889282226562,809.647216796875,242.072998046875,377.1995544433594,1819.5716552734375
7,8,Db7,Db,14.0,404.5148620605469,763.0822143554688,206.1831817626953,242.64312744140625,374.05078125,1725.54541015625,369.1446838378906,139.15724182128906,601.5459594726562,155.55787658691406,174.178466796875,950.3682250976562
8,9,Gmin7,G,16.0,138.5620880126953,209.0453643798828,511.4515380859375,208.365234375,381.1502685546875,1736.7044677734375,596.4718627929688,776.1604614257812,235.7492218017578,369.6633605957031,901.1486206054688,210.6458282470703
9,10,C7,C,18.0,874.53955078125,479.5299987792969,1905.251953125,639.4044189453125,1717.56298828125,459.8837890625,235.1380615234375,674.6485595703125,238.77073669433594,224.52757263183594,792.8202514648438,463.9991149902344
10,11,Amin7,A,20.0,881.8388061523438,216.6112060546875,142.94705200195312,399.3670654296875,1868.9642333984375,377.0454406738281,204.89231872558594,744.9420776367188,403.5122985839844,845.3640747070312,228.253662109375,329.4400939941406
11,12,Dmin7,D,22.0,2465.737548828125,802.542724609375,2054.920654296875,468.1764831542969,608.1232299804688,1654.4285888671875,444.4912109375,185.19395446777344,170.8378143310547,604.4060668945312,199.94126892089844,427.1831970214844
12,13,G7,G,24.0,1289.8768310546875,1024.4996337890625,4029.866943359375,1577.2667236328125,1784.3013916015625,8355.3642578125,2936.085693359375,3620.849365234375,1551.3671875,6728.1875,1789.1630859375,4325.60205078125
13,15,Gmin7,G,28.0,116.069580078125,177.9323272705078,538.5297241210938,192.1175537109375,477.5506896972656,1755.5010986328125,539.8138427734375,746.7866821289062,553.3756103515625,2598.498291015625,1202.1224365234375,200.00347900390625
14,16,C7,C,30.0,37.47422409057617,19.821500778198242,35.37548065185547,30.106958389282227,91.0679931640625,60.017581939697266,36.92740249633789,159.0977325439453,28.72339630126953,10.378674507141113,39.41007995605469,30.656883239746094
15,16,F7,F,31.0,191.16375732421875,42.9813232421875,36.81621170043945,124.26074981689453,325.9283142089844,108.31995391845703,35.3297233581543,137.29090881347656,59.005523681640625,115.29312133789062,85.15977478027344,65.96746063232422
16,17,Bbmaj7,Bb,32.0,2289.3291015625,1417.7464599609375,5022.267578125,4293.49609375,3326.668212890625,8667.0595703125,1767.8048095703125,522.5681762695312,2178.490966796875,14269.9677734375,5880.23974609375,1059.8790283203125
