,Measure,KD Motion,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Eb7,Eb,2.0,19.86955451965332,71.67415618896484,180.32664489746094,1008.2183227539062,178.00926208496094,14.031689643859863,30.57549476623535,128.435302734375,32.5831184387207,11.836590766906738,69.96983337402344,25.982229232788086
1,3,Ab7,Ab,4.0,194.70372009277344,69.87854766845703,144.78028869628906,751.5143432617188,147.45370483398438,38.04289627075195,190.45301818847656,104.60518646240234,36.9918327331543,12.784782409667969,36.12554168701172,50.08933639526367
2,4,Dbmin7,Db,6.0,62.60435104370117,156.9733123779297,118.74227142333984,723.9810180664062,483.7719421386719,71.23039245605469,60.84946823120117,86.28491973876953,72.54679107666016,24.076522827148438,49.8751220703125,82.12335968017578
3,5,B7,B,8.0,123.82511138916016,341.9474792480469,662.6175537109375,351.2299499511719,236.5323486328125,874.7008666992188,323.4072570800781,151.7040557861328,621.957275390625,450.6354675292969,993.2294921875,217.4836883544922
4,5,Bb7,Bb,9.0,55.70951461791992,86.57647705078125,303.5817565917969,92.4692153930664,145.99888610839844,568.9402465820312,140.83071899414062,38.36589431762695,175.82568359375,147.1207733154297,324.1039123535156,119.25159454345703
5,6,Bb7,Bb,10.0,81.5804672241211,454.6155090332031,245.12286376953125,476.4925537109375,198.20501708984375,473.0939025878906,115.8708724975586,90.31038665771484,216.5458984375,175.44183349609375,659.4649658203125,121.72900390625
6,7,Bb7,Bb,12.0,46.00764846801758,63.79298400878906,272.6902770996094,445.966796875,151.44020080566406,517.3665161132812,322.99737548828125,1413.6474609375,287.72930908203125,151.0048065185547,824.985107421875,164.70347595214844
7,8,Eb7,Eb,14.0,19.207979202270508,66.78106689453125,199.1695556640625,1006.2738647460938,192.1329803466797,66.85944366455078,40.52910614013672,126.54923248291016,35.46043014526367,14.805418968200684,75.92444610595703,28.996109008789062
8,9,Ab7,Ab,16.0,197.7369842529297,72.62493133544922,148.43382263183594,720.6071166992188,135.9582977294922,60.82170104980469,197.42176818847656,105.64734649658203,40.503662109375,14.242480278015137,35.27123260498047,51.84194564819336
9,10,Db7,Db,18.0,89.23479461669922,366.5599670410156,116.35651397705078,420.8671875,732.7294311523438,407.5564880371094,376.0751953125,99.2654800415039,107.25272369384766,116.47663116455078,351.724365234375,105.13003540039062
10,10,Gb7,Gb,19.0,71.7269287109375,151.8238983154297,374.2115173339844,179.9263153076172,277.88214111328125,606.007080078125,389.0961608886719,94.4276123046875,189.6137237548828,146.7109832763672,345.1259765625,113.84820556640625
11,11,Bb7,Bb,20.0,372.7566223144531,337.05126953125,188.67393493652344,516.5421142578125,185.1907958984375,248.3857879638672,694.4889526367188,216.56105041503906,396.1849670410156,129.80758666992188,277.2713317871094,109.21891021728516
12,11,Ab7,Ab,21.0,95.04468536376953,98.73311614990234,356.8663330078125,209.9674835205078,178.91204833984375,579.9165649414062,191.7113800048828,49.889896392822266,198.01251220703125,164.90577697753906,312.5378723144531,88.00689697265625
13,12,Bb7,Bb,22.0,133.62132263183594,459.7267761230469,242.58872985839844,516.4724731445312,214.4596710205078,492.8377990722656,159.45779418945312,95.9469223022461,206.5636444091797,168.93423461914062,656.0821533203125,107.62393951416016
14,13,Fmin7,F,24.0,145.61497497558594,160.78880310058594,693.7614135742188,549.3226928710938,252.166015625,871.557861328125,283.8620910644531,229.36651611328125,490.2816162109375,305.360595703125,577.7947387695312,139.04104614257812
