,Measure,LikeYoung,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ab7,Ab,0.0,13007.3759765625,4733.89892578125,4875.76318359375,22557.4609375,6194.48681640625,4923.47509765625,26290.185546875,10229.220703125,29165.087890625,4970.84912109375,1857.2474365234375,6006.70703125
1,5,Db7,Db,8.0,2325.5888671875,5167.64990234375,1070.61767578125,988.0686645507812,2098.26708984375,11252.0166015625,2329.764892578125,1602.6925048828125,9818.984375,1776.8992919921875,1151.047607421875,6739.0546875
2,7,Ab7,Ab,12.0,5155.02392578125,1491.1617431640625,1817.6270751953125,8321.3974609375,2491.340576171875,2121.633544921875,10812.8525390625,3962.75,9754.8291015625,1686.2603759765625,671.6830444335938,1795.1473388671875
3,9,Bbmin7,Bb,16.0,540.8781127929688,1711.8509521484375,408.7187805175781,356.4535217285156,681.4723510742188,3190.572021484375,664.9219360351562,530.5455932617188,3176.162353515625,999.3516235351562,1960.3043212890625,444.4437255859375
4,10,Eb7,Eb,18.0,118.9097671508789,461.6799011230469,100.77994537353516,88.48348236083984,59.09725570678711,170.84510803222656,168.5923309326172,110.57671356201172,578.3970336914062,125.2083969116211,52.70986557006836,258.6665344238281
5,11,Ab7,Ab,20.0,5202.7470703125,1991.166015625,1967.8681640625,8681.5634765625,2547.952880859375,2134.525634765625,10841.3583984375,4389.70361328125,9808.7060546875,1727.6241455078125,904.970947265625,1846.54296875
6,13,Gmin7,G,24.0,208.264892578125,131.75978088378906,333.2437438964844,119.78304290771484,229.60406494140625,867.5881958007812,366.2811279296875,543.6329345703125,156.44232177734375,226.7808380126953,570.7343139648438,149.7405242919922
7,13,C7,C,25.0,14.11124038696289,28.02805519104004,55.603633880615234,19.744176864624023,36.714576721191406,208.9163055419922,41.0264892578125,19.89084243774414,15.242520332336426,10.742424011230469,12.09140396118164,6.345654010772705
8,14,Fmaj7,F,26.0,2177.587646484375,455.2958068847656,281.4216613769531,748.6017456054688,3610.503173828125,2230.046630859375,461.8083190917969,764.5068359375,676.2476806640625,2490.7939453125,5461.51171875,1282.2476806640625
9,15,Gmin7,G,28.0,225.872314453125,131.30764770507812,338.3905944824219,145.22230529785156,294.1045837402344,922.6870727539062,356.139892578125,561.8792114257812,225.59527587890625,606.3757934570312,634.7199096679688,155.70391845703125
10,15,C7,C,29.0,257.0168762207031,79.1302261352539,73.85651397705078,54.2191276550293,149.18096923828125,250.90843200683594,61.806026458740234,142.4274139404297,45.98307418823242,22.754186630249023,56.5039176940918,63.724185943603516
11,16,Fmaj7,F,30.0,2011.0836181640625,408.1829528808594,248.2885284423828,664.124755859375,3328.802001953125,2043.2012939453125,416.552001953125,632.4571533203125,873.8250122070312,3792.437744140625,884.1148071289062,633.6400146484375
12,17,Abmin7,Ab,32.0,177.81651306152344,215.060302734375,220.3414306640625,830.7478637695312,190.54429626464844,243.5414581298828,1109.826416015625,365.0353698730469,571.1433715820312,170.39263916015625,151.41209411621094,512.2033081054688
13,17,Db7,Db,33.0,22.325273513793945,16.022916793823242,48.811466217041016,190.8135986328125,44.729248046875,30.694944381713867,122.33698272705078,23.101423263549805,11.30517292022705,15.808213233947754,24.527681350708008,88.00424194335938
14,18,Gbmaj7,Gb,34.0,613.9741821289062,2188.815185546875,440.4038391113281,280.753173828125,827.1934204101562,3949.71875,2105.092041015625,406.0302734375,589.8231811523438,935.91064453125,4240.00146484375,1166.3670654296875
15,19,Amin7,A,36.0,516.3973999023438,231.5264434814453,343.5163269042969,258.16192626953125,909.3494262695312,228.39991760253906,142.35731506347656,486.2052917480469,255.8447265625,605.8584594726562,166.0122528076172,171.0209503173828
16,19,D7,D,37.0,593.3815307617188,344.5439758300781,901.9021606445312,221.7689666748047,247.02154541015625,340.80377197265625,1187.1788330078125,283.1115417480469,110.21084594726562,529.1294555664062,121.75634765625,120.44955444335938
17,20,Bbmin7,Bb,38.0,214.36607360839844,533.7356567382812,245.45433044433594,403.8740539550781,317.7557373046875,960.1638793945312,334.7646179199219,153.4716796875,476.773681640625,258.7926330566406,585.31591796875,150.45416259765625
18,20,Eb7,Eb,39.0,132.46852111816406,551.9808349609375,359.6156921386719,1075.6077880859375,321.8269348144531,279.1708068847656,136.2508087158203,498.3218078613281,153.07115173339844,129.3064727783203,581.8796997070312,153.23129272460938
19,21,Ab7,Ab,40.0,13845.0712890625,6429.009765625,5679.06884765625,23328.392578125,6845.01708984375,6189.09716796875,25891.912109375,11012.5390625,29396.048828125,5162.31005859375,2509.302490234375,6309.263671875
20,25,Db7,Db,48.0,2316.169677734375,5133.0029296875,1068.9718017578125,992.3964233398438,2104.541259765625,11237.9521484375,2328.623046875,1604.25,9821.8408203125,1776.0118408203125,1150.4962158203125,6720.96484375
21,27,Ab7,Ab,52.0,5155.1103515625,1491.68994140625,1815.9913330078125,8321.5966796875,2491.507568359375,2121.0576171875,10812.3671875,3965.163818359375,9754.578125,1685.60693359375,668.3466186523438,1794.2955322265625
22,29,Bbmin7,Bb,56.0,278.4564514160156,789.669921875,219.82139587402344,220.7531280517578,339.0641784667969,1448.0926513671875,351.9807434082031,343.6679382324219,1921.7764892578125,567.2178344726562,923.4086303710938,259.96551513671875
23,30,Eb,Eb,58.0,122.07312774658203,480.8025817871094,104.6036605834961,91.7423324584961,82.67863464355469,220.0034942626953,174.07086181640625,118.45730590820312,606.3727416992188,128.6060028076172,54.44796371459961,259.0669250488281
24,31,Ab7,Ab,60.0,8996.4697265625,2917.537353515625,3377.956298828125,15722.7578125,4444.4404296875,3827.455078125,18540.177734375,7551.63427734375,18403.447265625,3206.783935546875,1600.7431640625,3730.4833984375
